alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.05,30,19.93409365497064,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-23.61832618713379,26.0,0.0,0.4698880910873413,0.429999977350235,4.0,104.0,0.35288137197494507,16.0,0.15292775630950928,0.15292775630950928,0.05000000074505806,0.0,-24.59445571899414,0.38673096895217896
0.05,31,10.112438884971198,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-23.62531280517578,26.0,0.009999999776482582,0.5008440613746643,0.4699999988079071,4.0,104.0,0.10518445074558258,16.0,0.13593770563602448,0.13593770563602448,0.05000000074505806,0.0,-25.919036865234375,0.3235316872596741
0.05,32,10.145740940992255,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-23.418270111083984,26.0,0.0,0.47494345903396606,0.4899999797344208,4.0,104.0,0.08204261213541031,17.0,0.16313402354717255,0.16313402354717255,0.05000000074505806,0.0,-23.783803939819336,0.3981935679912567
0.05,33,10.05210035602795,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.379657745361328,26.0,0.0,0.5161528587341309,0.3199999928474426,4.0,104.0,0.4362865388393402,18.0,0.18241572380065918,0.18241572380065918,0.05000000074505806,0.0,-23.302949905395508,0.4782319664955139
0.05,34,10.05373443197459,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.872095108032227,26.0,0.0,0.49770447611808777,0.44999998807907104,4.0,104.0,0.3545028865337372,17.0,0.1591304987668991,0.1591304987668991,0.05000000074505806,0.0,-23.955598831176758,0.3796752989292145
0.05,35,10.17399993800791,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.39727020263672,26.0,0.0,0.5310090184211731,0.3100000023841858,4.0,104.0,0.4795019328594208,17.0,0.15783067047595978,0.15783067047595978,0.05000000074505806,0.0,-25.035808563232422,0.4393455982208252
0.05,36,10.062356457987335,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.390199661254883,26.0,0.0,0.49478256702423096,0.4699999988079071,4.0,104.0,0.14377178251743317,17.0,0.13309864699840546,0.13309864699840546,0.05000000074505806,0.0,-25.59980010986328,0.4161524176597595
0.05,37,10.059131518006325,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.160663604736328,26.0,0.0,0.5003691911697388,0.3799999952316284,4.0,104.0,0.013577122241258621,17.0,0.1324263960123062,0.1324263960123062,0.05000000074505806,0.0,-25.272716522216797,0.3505217432975769
0.05,38,10.197025807981845,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-23.391122817993164,26.0,0.009999999776482582,0.4712845981121063,0.44999998807907104,4.0,104.0,0.31287482380867004,16.0,0.1537800431251526,0.1537800431251526,0.05000000074505806,0.0,-24.89154815673828,0.39046424627304077
0.05,39,10.04760485200677,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.16749382019043,26.0,0.0,0.5300214886665344,0.32999998331069946,4.0,104.0,0.3408558964729309,16.0,0.13978783786296844,0.13978783786296844,0.05000000074505806,0.0,-24.376150131225586,0.3503982722759247
0.05,40,10.055801716051064,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-23.91244888305664,26.0,0.03999999910593033,0.4846419095993042,0.3799999952316284,4.0,104.0,0.3639351725578308,16.0,0.14237630367279053,0.14237630367279053,0.05000000074505806,0.0,-25.413410186767578,0.34446394443511963
0.05,41,10.196750917995814,hardzero_only,hardzero_only__c0p50__z1p05__lam0p000__nu0p50__psi0p00,0.5,1.05,0.0,0.5,0.0,100.0,-24.209611892700195,26.0,0.0,0.46599292755126953,0.47999998927116394,4.0,104.0,0.09762895852327347,17.0,0.1541961431503296,0.1541961431503296,0.05000000074505806,0.0,-25.084735870361328,0.43557968735694885
