seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.009584664536741214,1,3.0,3,1,0,0.27564034023961664,0.25202498,0.0,0.0,0.1352547713290735,0.14613591,-25.288614971246005,-25.371794,10.364217252396166,12.0,0.04
31,313,0.009584664536741214,1,3.0,3,1,0,0.2612008410741214,0.3717661,0.0,0.0,0.11955601413418532,0.11739895,-25.92498320447284,-26.525618,9.798722044728434,11.0,0.04
32,313,0.009584664536741214,1,3.0,3,1,0,0.28155414068785944,0.42766058,0.0,0.0,0.1342755537859425,0.13578655,-25.297871514376997,-24.752863,10.699680511182109,12.0,0.04
33,313,0.009584664536741214,1,3.0,3,1,0,0.27749003390415333,0.25670642,0.0,0.0,0.1297039914025559,0.1476413,-25.51873829392971,-25.021841,10.440894568690096,12.0,0.04
34,313,0.009584664536741214,1,3.0,3,1,0,0.27771473489872206,0.28407314,0.0,0.0,0.12916389650479232,0.13445163,-25.5966330543131,-24.483332,10.498402555910543,12.0,0.04
35,313,0.009584664536741214,1,3.0,3,1,0,0.27479266725335466,0.24459249,0.0,0.0,0.1361839903482428,0.143937,-25.23750761661342,-25.230015,10.34185303514377,12.0,0.04
36,313,0.009584664536741214,1,3.0,3,1,0,0.2764017098942492,0.3149488,0.0,0.0,0.13356659657188497,0.11854249,-25.34134049201278,-26.336994,10.514376996805112,12.0,0.04
37,313,0.009584664536741214,1,3.0,3,1,0,0.27521635212428114,0.26834747,0.0,0.0,0.129648113543131,0.12798992,-25.50006884025559,-25.452808,10.472843450479234,12.0,0.04
38,313,0.009584664536741214,1,3.0,3,1,0,0.2809810507252396,0.3915758,0.0,0.0,0.13329902761022364,0.1343587,-25.386797645367412,-25.898443,10.651757188498403,12.0,0.04
39,313,0.009584664536741214,1,3.0,3,1,0,0.2835500001853035,0.06067936,0.0,0.0,0.12262845022044729,0.12659104,-25.738543955271567,-25.306658,10.150159744408946,12.0,0.04
40,313,0.009584664536741214,1,3.0,3,1,0,0.27548752317380193,0.14644407,0.0,0.0,0.12958902966134186,0.13595419,-25.564805051118213,-25.582767,10.246006389776358,12.0,0.04
41,313,0.012779552715654952,1,4.0,4,1,0,0.27761487276677316,0.087745205,0.0,0.0,0.14201558549520768,0.14707902,-25.03143654313099,-25.272442,10.987220447284345,13.0,0.04
