alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.06,30,23.921646546048578,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-23.760631561279297,26.0,0.0,0.5124924182891846,0.2800000011920929,4.0,104.0,0.21766351163387299,3.0,0.10407819598913193,0.10407819598913193,7.07820959178207e-07,11.357664108276367,-26.934003829956055,0.18143178522586823
0.06,31,10.707960580999497,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-24.66822052001953,26.0,0.009999999776482582,0.5640829801559448,0.3199999928474426,4.0,104.0,0.16417734324932098,3.0,0.09907499700784683,0.09907499700784683,9.043313866641256e-07,11.112659454345703,-27.664695739746094,0.11662633717060089
0.06,32,10.763381141005084,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-23.6043643951416,26.0,0.019999999552965164,0.4950506389141083,0.4399999976158142,4.0,104.0,0.20281390845775604,3.0,0.10434474050998688,0.10434474050998688,7.591450525978871e-07,11.287662506103516,-25.99816131591797,0.127609521150589
0.06,33,10.762961172033101,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-24.081567764282227,26.0,0.0,0.5183428525924683,0.38999998569488525,4.0,104.0,0.19055910408496857,3.0,0.1151328831911087,0.1151328831911087,7.706175324528886e-07,11.272663116455078,-26.371849060058594,0.11737912893295288
0.06,34,10.775910697993822,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-24.58230209350586,26.0,0.0,0.5691339373588562,0.26999998092651367,4.0,104.0,0.2083946317434311,3.0,0.1050865575671196,0.1050865575671196,7.422542580570735e-07,11.310163497924805,-25.901477813720703,0.12032715231180191
0.06,35,10.68339206505334,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-25.72268295288086,26.0,0.0,0.6190738677978516,0.2199999988079071,4.0,104.0,0.21659959852695465,3.0,0.10882987082004547,0.10882987082004547,7.07820959178207e-07,11.357664108276367,-27.03813934326172,0.1412549614906311
0.06,36,10.70639042602852,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-22.952600479125977,26.0,0.009999999776482582,0.5047535300254822,0.3799999952316284,4.0,104.0,0.1262546330690384,3.0,0.0803396925330162,0.0803396925330162,1.1611912213993492e-06,10.862653732299805,-28.683134078979492,0.18043558299541473
0.06,37,10.679965218005236,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-23.6920108795166,26.0,0.009999999776482582,0.541115403175354,0.3700000047683716,4.0,104.0,0.19694052636623383,3.0,0.0997157022356987,0.0997157022356987,7.62949582622241e-07,11.282663345336914,-26.656143188476562,0.1861128956079483
0.06,38,10.72133755905088,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-23.29412078857422,26.0,0.009999999776482582,0.5894724726676941,0.19999998807907104,4.0,104.0,0.11839813739061356,3.0,0.09208037704229355,0.09208037704229355,1.2116072412027279e-06,10.820152282714844,-27.94401741027832,0.21040326356887817
0.06,39,10.682259558991063,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-25.073665618896484,26.0,0.0,0.670922040939331,0.20999999344348907,4.0,104.0,0.1641404777765274,3.0,0.10039187222719193,0.10039187222719193,8.953329029282031e-07,11.122659683227539,-26.543737411499023,0.1434599608182907
0.06,40,10.674319292011205,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-25.181476593017578,26.0,0.009999999776482582,0.6395074129104614,0.3199999928474426,4.0,104.0,0.18105244636535645,3.0,0.09431324899196625,0.09431324899196625,8.182710189430509e-07,11.212661743164062,-27.69576644897461,0.17398077249526978
0.06,41,10.70926736004185,hardzero_plus_depr,hardzero_plus_depr__c0p52__z1p10__lam0p010__nu0p50__psi1p00,0.52,1.1,0.01,0.5,1.0,100.0,-28.030302047729492,26.0,0.0,0.7770240306854248,0.1599999964237213,4.0,104.0,0.1361725777387619,3.0,0.09429226815700531,0.09429226815700531,1.0639035963322385e-06,10.950155258178711,-27.900070190429688,0.1614515483379364
