alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.067,30,21.787330368999392,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.638525009155273,26.0,0.0,0.6076921820640564,0.25999999046325684,4.0,104.0,0.47588369250297546,10.0,0.12083873152732849,0.12083873152732849,0.06700000166893005,0.0,-26.298532485961914,0.20799939334392548
0.067,31,10.868238087045029,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.807523727416992,26.0,0.0,0.5221850872039795,0.3400000035762787,4.0,104.0,0.4095712900161743,12.0,0.11821281909942627,0.11821281909942627,0.06700000166893005,0.0,-26.525270462036133,0.16617420315742493
0.067,32,10.879276251071133,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.243480682373047,26.0,0.0,0.47945520281791687,0.44999998807907104,4.0,104.0,0.12316115945577621,15.0,0.1427132934331894,0.1427132934331894,0.06700000166893005,0.0,-24.307819366455078,0.27579015493392944
0.067,33,10.86875310598407,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.400739669799805,26.0,0.0,0.5068976879119873,0.429999977350235,4.0,104.0,0.2534002959728241,16.0,0.15430116653442383,0.15430116653442383,0.06700000166893005,0.0,-24.281949996948242,0.3265642821788788
0.067,34,10.871670139953494,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.342451095581055,26.0,0.0,0.5129039287567139,0.25999999046325684,4.0,104.0,0.02583877369761467,16.0,0.150651216506958,0.150651216506958,0.06700000166893005,0.0,-23.996301651000977,0.3324013948440552
0.067,35,10.867571502923965,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.03911781311035,26.0,0.0,0.48903366923332214,0.44999998807907104,4.0,104.0,0.015313336625695229,15.0,0.14333684742450714,0.14333684742450714,0.06700000166893005,0.0,-25.349105834960938,0.24534684419631958
0.067,36,10.842742517008446,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.60987091064453,26.0,0.0,0.5184736847877502,0.4099999964237213,4.0,104.0,0.07531706988811493,6.0,0.0,0.09315306693315506,0.06700000166893005,0.0,-27.875286102294922,0.16438078880310059
0.067,37,10.873444864992052,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.046422958374023,26.0,0.009999999776482582,0.47341176867485046,0.5299999713897705,4.0,104.0,0.16978108882904053,15.0,0.12502190470695496,0.12502190470695496,0.06700000166893005,0.0,-25.678512573242188,0.328925222158432
0.067,38,10.859818394994363,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.1966552734375,26.0,0.0,0.4981568455696106,0.3499999940395355,4.0,104.0,0.18449783325195312,9.0,0.11780769377946854,0.11780769377946854,0.06700000166893005,0.0,-26.645587921142578,0.20816440880298615
0.067,39,10.859217399032786,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-25.06781005859375,26.0,0.0,0.5820812582969666,0.23999999463558197,4.0,104.0,0.2741815745830536,7.0,0.10831008106470108,0.10831008106470108,0.06700000166893005,0.0,-26.026350021362305,0.13614603877067566
