seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.003194888178913738,1,1.0,1,0,1,0.316856225256869,0.12916842,0.0,0.0,0.0656630513514377,0.10377758,-26.88052154313099,-27.002007,3.1789137380191694,4.0,0.028
31,313,0.003194888178913738,1,1.0,1,0,1,0.3464442101399361,0.11778531,0.0,0.0,0.03674243203514377,0.0,-27.082172332268367,-27.835258,2.319488817891374,3.0,0.028
32,313,0.006389776357827476,1,2.0,2,0,1,0.263508856328754,0.35077763,0.0,0.0,0.11012384401597444,0.119699456,-26.221029217252394,-25.414562,4.297124600638978,5.0,0.028
33,313,0.003194888178913738,1,1.0,1,0,1,0.31716775045239615,0.3637059,0.0,0.0,0.07585541420766774,0.12031527,-26.75183457188498,-26.082338,3.463258785942492,4.0,0.028
34,313,0.003194888178913738,1,1.0,1,0,1,0.31325585380191695,0.01673204,0.0,0.0,0.06285745021405752,0.10395682,-26.869316447284344,-26.014378,3.015974440894569,4.0,0.028
35,313,0.003194888178913738,1,1.0,1,0,1,0.293738691970607,0.28177735,0.0,0.0,0.07572503955271566,0.10859865,-26.71914338338658,-27.063074,3.389776357827476,4.0,0.028
36,313,0.0,0,0.0,0,0,0,0.1805845512460064,0.24305598,0.0,0.0,0.013634476111821085,0.0,-27.352381191693294,-29.087236,2.0,2.0,0.028
37,313,0.003194888178913738,1,1.0,1,0,1,0.29825126057565493,0.26433536,0.0,0.0,0.07456015545047924,0.10271363,-26.761081948881785,-26.611244,3.3322683706070286,4.0,0.028
38,313,0.0,0,0.0,0,0,0,0.296656890543131,0.4042924,0.0,0.0,0.02304127968370607,0.0,-27.26226679233227,-28.132088,2.0,2.0,0.028
39,313,0.0,0,0.0,0,0,0,0.29693278514377,0.3685155,0.0,0.0,0.01562779875399361,0.0,-27.231413130990415,-26.762548,2.0,2.0,0.028
40,313,0.003194888178913738,1,1.0,1,0,1,0.27314035486581467,0.19410719,0.0,0.0,0.07936408818210863,0.10335604,-26.75775688178914,-27.227953,3.246006389776358,4.0,0.028
41,313,0.003194888178913738,1,1.0,1,0,1,0.22623937979897765,0.44391698,0.0,0.0,0.0508948298370607,0.0,-26.991596984025556,-27.626322,2.987220447284345,3.0,0.028
42,313,0.003194888178913738,1,1.0,1,0,1,0.35764321997252396,0.177299,0.0,0.0,0.033705385182108624,0.100260474,-27.164282942492015,-27.541946,2.373801916932907,3.0,0.028
43,313,0.003194888178913738,1,1.0,1,0,1,0.33550356753801913,0.16836005,0.0,0.0,0.03770536470926518,0.0,-27.12469732268371,-26.724106,2.3961661341853033,3.0,0.028
44,313,0.003194888178913738,1,1.0,1,0,1,0.3355286059936102,0.54761994,0.0,0.0,0.09703292270287539,0.120065615,-26.476324718849842,-25.411339,4.610223642172524,5.0,0.028
45,313,0.003194888178913738,1,1.0,1,0,1,0.31728033133642175,0.41747397,0.0,0.0,0.07833669013738019,0.110691644,-26.74242319488818,-26.31455,3.5463258785942493,4.0,0.028
46,313,0.003194888178913738,1,1.0,1,0,1,0.2842778812830671,0.5316109,0.0,0.0,0.061027665130990415,0.1000435,-26.89043599361022,-27.10121,2.97444089456869,3.0,0.028
47,313,0.003194888178913738,1,1.0,1,0,1,0.2985954400766774,0.114889465,0.0,0.0,0.06733299966453675,0.1022041,-26.805730779552718,-27.77638,3.1405750798722045,4.0,0.028
48,313,0.003194888178913738,1,1.0,1,0,1,0.3545505524665176,0.14411072,0.0,0.0,0.0374349478402556,0.0,-27.10815870926518,-26.795368,2.319488817891374,3.0,0.028
49,313,0.003194888178913738,1,1.0,1,0,1,0.22712933947667735,0.39225233,0.0,0.0,0.047629102019169325,0.0,-27.010009926517576,-27.429623,2.9201277955271565,3.0,0.028
50,313,0.0,0,0.0,0,0,0,0.25623281803833864,0.4362059,0.0,0.0,0.041132838322683704,0.10539138,-27.07106841214057,-27.19881,3.0,3.0,0.028
51,313,0.003194888178913738,1,1.0,1,0,1,0.2769755343399361,0.19689977,0.0,0.0,0.03611952877316294,0.0,-27.14223,-27.480814,2.584664536741214,3.0,0.028
52,313,0.003194888178913738,1,1.0,1,0,1,0.3105031016061246,0.24644671,0.0,0.0,0.06578345529073482,0.11403563,-26.8373033801917,-26.594694,3.3546325878594248,4.0,0.028
53,313,0.006389776357827476,1,2.0,2,0,1,0.3211610086565495,0.061857365,0.0,0.0,0.10951361776996807,0.10698209,-26.315176354632587,-27.138685,4.728434504792332,6.0,0.028
54,313,0.003194888178913738,1,1.0,1,0,1,0.28793157558466453,0.5501827,0.0,0.0,0.0644176834345048,0.10514041,-26.90502895207668,-26.837126,2.952076677316294,3.0,0.028
55,313,0.003194888178913738,1,1.0,1,0,1,0.31413244111022365,0.5392736,0.0,0.0,0.10955176377316293,0.10778353,-26.27890217891374,-26.611769,4.546325878594249,5.0,0.028
56,313,0.006389776357827476,1,2.0,2,0,1,0.299404786142492,0.20897324,0.0,0.0,0.10779236864856231,0.106282525,-26.32857535782748,-26.902529,4.0,5.0,0.028
57,313,0.003194888178913738,1,1.0,1,0,1,0.29810347125239617,0.47544706,0.0,0.0,0.10656331125878596,0.11242232,-26.33268636421725,-26.313486,4.498402555910543,5.0,0.028
58,313,0.003194888178913738,1,1.0,1,0,1,0.3166157957686901,0.50901,0.0,0.0,0.10261271565814696,0.11058856,-26.451378223642166,-26.468157,4.543130990415335,5.0,0.028
59,313,0.003194888178913738,1,1.0,1,0,1,0.3293989334722045,0.4919894,0.0,0.0,0.09480253666453674,0.11606781,-26.56950374121406,-26.18557,3.5079872204472844,4.0,0.028
60,313,0.0,0,0.0,0,0,0,0.05678817709584665,0.09142685,0.0,0.0,0.007939759731629394,0.0,-27.482341948881785,-26.897638,2.0,2.0,0.028
61,313,0.003194888178913738,1,1.0,1,0,1,0.3094627774607029,0.014842085,0.0,0.0,0.06208195696805111,0.1049495,-26.89033530351438,-26.468912,3.0191693290734825,4.0,0.028
