alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.043,30,19.09292971296236,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.52784538269043,26.0,0.0,0.48537689447402954,0.5099999904632568,4.0,104.0,0.3867131471633911,8.0,0.1270304173231125,0.1270304173231125,0.0430000014603138,0.0,-25.998136520385742,0.18653307855129242
0.043,31,9.49120434303768,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-24.64404296875,26.0,0.0,0.5419315695762634,0.26999998092651367,4.0,104.0,0.24507927894592285,7.0,0.11546451598405838,0.11546451598405838,0.0430000014603138,0.0,-26.92837142944336,0.1172853633761406
0.043,32,9.488937059999444,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.975488662719727,26.0,0.0,0.5012696385383606,0.38999998569488525,4.0,104.0,0.46069812774658203,8.0,0.13857834041118622,0.13857834041118622,0.0430000014603138,0.0,-24.76691436767578,0.13575655221939087
0.043,33,9.491241368930787,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.80362892150879,26.0,0.0,0.5156042575836182,0.32999998331069946,4.0,104.0,0.5381721258163452,9.0,0.14602072536945343,0.14602072536945343,0.0430000014603138,0.0,-24.799150466918945,0.13133446872234344
0.043,34,9.498791762045585,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-22.962324142456055,26.0,0.0,0.49851542711257935,0.3700000047683716,4.0,104.0,0.0217458326369524,7.0,0.11339056491851807,0.11339056491851807,0.0430000014603138,0.0,-25.550947189331055,0.13243016600608826
0.043,35,9.499540596967563,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.717811584472656,26.0,0.009999999776482582,0.5079114437103271,0.3999999761581421,4.0,104.0,0.36718541383743286,7.0,0.13243483006954193,0.13243483006954193,0.0430000014603138,0.0,-26.043643951416016,0.12958097457885742
0.043,36,9.482045362936333,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-22.955976486206055,26.0,0.0,0.5511135458946228,0.25999999046325684,4.0,104.0,0.5099206566810608,3.0,0.0,0.07963576167821884,0.0430000014603138,0.0,-28.776161193847656,0.17547519505023956
0.043,37,9.483269389951602,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-25.521442413330078,26.0,0.0,0.5805822610855103,0.3199999928474426,4.0,104.0,0.4409109950065613,4.0,0.0,0.0985761433839798,0.0430000014603138,0.0,-26.843303680419922,0.1940450817346573
0.043,38,9.486857256968506,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-21.93902015686035,26.0,0.009999999776482582,0.551185131072998,0.3199999928474426,4.0,104.0,0.44755494594573975,3.0,0.0,0.09472575038671494,0.0430000014603138,0.0,-27.756938934326172,0.20985764265060425
0.043,39,9.473512932076119,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,100.0,-23.671640396118164,26.0,0.0,0.6091901063919067,0.23999999463558197,4.0,104.0,0.23570214211940765,4.0,0.0,0.09867826849222183,0.0430000014603138,0.0,-26.562776565551758,0.14152859151363373
