seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.003194888178913738,1,1.0,1,0,1,0.12224261992358468,0.16623795,0.933117405341853,1.4849988,0.030932131313099045,0.0,-27.185108996805116,-27.50619,1.9520766773162939,2.0,0.025
31,313,0.0,0,0.0,0,0,0,0.5402338031309903,0.54335904,5.465077401277955,6.2450953,0.01490819328115016,0.0,-27.357048067092652,-28.243717,1.0,1.0,0.025
32,313,0.0,0,0.0,0,0,0,0.20282022111821088,0.25527573,1.6249999490734826,2.4050076,0.034737516178913734,0.0,-27.106956370607026,-26.284124,2.0,2.0,0.025
33,313,0.0,0,0.0,0,0,0,0.2691132190415335,0.2937183,2.920019388178914,3.7000372,0.03070860796166134,0.10619451,-27.109556875399367,-26.824884,2.0,2.0,0.025
34,313,0.0,0,0.0,0,0,0,0.5702832983386581,0.5737451,5.465077401277955,6.2450953,0.014650055530351437,0.0,-27.39756859744409,-26.623798,1.0,1.0,0.025
35,313,0.0,0,0.0,0,0,0,0.17600587691054312,0.2604862,1.1699990982108628,1.9499984,0.043507380389776355,0.10123223,-27.052029750798724,-27.580948,2.0,2.0,0.025
36,313,0.0,0,0.0,0,0,0,0.5010379693290735,0.5033818,5.465077401277955,6.2450953,0.009875934121405751,0.0,-27.473348594249202,-29.332767,1.0,1.0,0.025
37,313,0.0,0,0.0,0,0,0,0.20582561571884986,0.2671447,1.8700016990415333,2.6500132,0.04292210727476039,0.0,-27.069994380191698,-26.781296,2.0,2.0,0.025
38,313,0.0,0,0.0,0,0,0,0.5004785790095847,0.5029146,5.465077401277955,6.2450953,0.00994320298083067,0.0,-27.50445204792332,-28.26887,1.0,1.0,0.025
39,313,0.0,0,0.0,0,0,0,0.5477176217252396,0.5510745,5.465077401277955,6.2450953,0.014537029479233228,0.0,-27.285574287539937,-26.973747,1.0,1.0,0.025
40,313,0.0,0,0.0,0,0,0,0.56235329,0.5657324,5.465077401277955,6.2450953,0.015605736025559105,0.0,-27.37603512140575,-28.267641,1.0,1.0,0.025
41,313,0.0,0,0.0,0,0,0,0.5702088376357827,0.5737167,5.465077401277955,6.2450953,0.0166186917571885,0.0,-27.37012322364217,-28.060936,1.0,1.0,0.025
42,313,0.0,0,0.0,0,0,0,0.571235994600639,0.574783,5.465077401277955,6.2450953,0.015898683814696484,0.0,-27.39365273482428,-28.019665,1.0,1.0,0.025
43,313,0.0,0,0.0,0,0,0,0.5518096815654953,0.5550188,5.465077401277955,6.2450953,0.01361883632907348,0.0,-27.43572346964856,-26.96071,1.0,1.0,0.025
44,313,0.0,0,0.0,0,0,0,0.39550923242811503,0.42603865,3.2800276178913736,4.0600452,0.04667169636421725,0.112275586,-27.026626667731634,-25.890549,2.0,2.0,0.025
45,313,0.0,0,0.0,0,0,0,0.30519925913738016,0.3309178,3.340028982428114,4.1200466,0.04012819640255591,0.1080966,-27.11549133546326,-26.332806,2.0,2.0,0.025
46,313,0.0,0,0.0,0,0,0,0.1729996419488818,0.26018614,1.069999187795527,1.8499985,0.04238931244728435,0.0,-27.083786520766772,-27.48106,2.0,2.0,0.025
47,313,0.0,0,0.0,0,0,0,0.573352844600639,0.57777894,5.465077401277955,6.2450953,0.018909787977635782,0.0,-27.30838084664537,-28.532825,1.0,1.0,0.025
48,313,0.0,0,0.0,0,0,0,0.5427386876357828,0.54622024,5.465077401277955,6.2450953,0.014236686290734824,0.0,-27.401900121405752,-27.314169,1.0,1.0,0.025
49,313,0.0,0,0.0,0,0,0,0.5564780101597444,0.5594761,5.465077401277955,6.2450953,0.012483965648562299,0.0,-27.42912021405751,-28.19806,1.0,1.0,0.025
50,313,0.0,0,0.0,0,0,0,0.359852836485623,0.41578913,2.315007206389776,3.0950234,0.051138865594249204,0.10330059,-27.008834910543133,-27.456596,2.0,2.0,0.025
51,313,0.0,0,0.0,0,0,0,0.5684850274121406,0.57087857,5.465077401277955,6.2450953,0.011573387265175717,0.0,-27.450034268370608,-27.661127,1.0,1.0,0.025
52,313,0.0,0,0.0,0,0,0,0.2179987853354633,0.28044,1.5849997493929713,2.3650067,0.040116523990415334,0.0,-27.14573880830671,-27.437563,2.0,2.0,0.025
53,313,0.003194888178913738,1,1.0,1,0,1,0.3177993477044729,0.42703357,1.20559653856869,1.1749991,0.0895387795654952,0.1008929,-26.595910894568693,-27.609158,2.753993610223642,3.0,0.025
54,313,0.0,0,0.0,0,0,0,0.5471122569009583,0.549504,5.465077401277955,6.2450953,0.010805071143769968,0.0,-27.49237009265176,-27.141232,1.0,1.0,0.025
55,313,0.0,0,0.0,0,0,0,0.4120910344408945,0.45760822,2.8550179,3.6350358,0.055467029348242804,0.0,-26.915362265175716,-27.276642,2.0,2.0,0.025
56,313,0.0,0,0.0,0,0,0,0.2361845701597444,0.27180752,2.3850083476038337,3.165025,0.034177221047923326,0.0,-27.144507242811503,-27.816938,2.0,2.0,0.025
57,313,0.0,0,0.0,0,0,0,0.3554434097444089,0.39675736,2.7450153932907346,3.5250332,0.048396944968051116,0.10427391,-26.969643904153358,-26.81338,2.0,2.0,0.025
58,313,0.0,0,0.0,0,0,0,0.43105596725239614,0.45968077,3.5800344386581475,4.360052,0.05061716283386582,0.0,-26.95241480191693,-27.066492,2.0,2.0,0.025
59,313,0.003194888178913738,1,1.0,1,0,1,0.2450882606957444,0.15037738,1.9497492618913737,1.0549992,0.02862484952396166,0.0,-27.22947411821086,-27.321232,1.6773162939297124,2.0,0.025
60,313,0.0,0,0.0,0,0,0,0.4827864969009585,0.4836468,5.465077401277955,6.2450953,0.0036284554696485623,0.0,-27.61370165495208,-26.984278,1.0,1.0,0.025
61,313,0.0,0,0.0,0,0,0,0.5581114920766773,0.56206244,5.465077401277955,6.2450953,0.016937226399361023,0.0,-27.3054654057508,-27.150774,1.0,1.0,0.025
