alpha,seed,runtime_sec,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,final_energy_E_post,final_update_counter,final_funding_g,final_funding_g_raw,final_funding_alpha_eff,final_depr_F_post,final_episode_return_end_mean,final_vartd_VarTD
0.085,30,19.323198435013182,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-22.91538429260254,26.0,0.0,0.5007921457290649,0.3100000023841858,4.0,104.0,0.16562680900096893,15.0,0.1527102291584015,0.1527102291584015,0.08269434422254562,0.059999991208314896,-24.528778076171875,0.32076361775398254
0.085,31,9.489731237059459,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.33447265625,26.0,0.0,0.4910580515861511,0.41999998688697815,4.0,104.0,0.37530800700187683,16.0,0.14090892672538757,0.14090892672538757,0.07905559241771698,0.14999999105930328,-25.542478561401367,0.3007963001728058
0.085,32,9.489132428076118,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.073637008666992,26.0,0.0,0.48952633142471313,0.429999977350235,4.0,104.0,0.44665589928627014,17.0,0.14977504312992096,0.14977504312992096,0.07826896756887436,0.16999997198581696,-24.003021240234375,0.37042754888534546
0.085,33,9.49389942002017,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.50486946105957,26.0,0.009999999776482582,0.5159574151039124,0.32999998331069946,4.0,104.0,0.11820784956216812,21.0,0.18209049105644226,0.18209049105644226,0.08373451977968216,0.034999996423721313,-23.622825622558594,0.6697841286659241
0.085,34,9.490344070945866,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.383617401123047,26.0,0.0,0.5277044773101807,0.26999998092651367,4.0,104.0,0.19625255465507507,16.0,0.1445673108100891,0.1445673108100891,0.08187152445316315,0.07999999821186066,-24.41181182861328,0.31247127056121826
0.085,35,9.499853029032238,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.369403839111328,26.0,0.009999999776482582,0.49154239892959595,0.4099999964237213,4.0,104.0,0.2634476125240326,18.0,0.14919644594192505,0.14919644594192505,0.08125978708267212,0.0950000062584877,-25.08370018005371,0.4767802953720093
0.085,36,9.473704659030773,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.26685905456543,26.0,0.0,0.5492637753486633,0.29999998211860657,4.0,104.0,0.03522429242730141,3.0,0.0,0.07814821600914001,0.08310884982347488,0.04999999329447746,-28.85674476623535,0.18062639236450195
0.085,37,9.491289714933373,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.506540298461914,26.0,0.009999999776482582,0.5216848850250244,0.35999998450279236,4.0,104.0,0.23185217380523682,19.0,0.1468949168920517,0.1468949168920517,0.08166711032390594,0.08500000089406967,-24.722156524658203,0.5536205172538757
0.085,38,9.468631390016526,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-24.162111282348633,26.0,0.0,0.6327590942382812,0.1899999976158142,4.0,104.0,0.3750799000263214,2.0,0.0,0.0872882604598999,0.009512674063444138,4.385052680969238,-28.199462890625,0.219265878200531
0.085,39,9.491833545034751,hardzero_plus_depr,hardzero_plus_depr__c0p58__z1p00__lam0p005__nu1p00__psi0p50,0.58,1.0,0.005,1.0,0.5,100.0,-23.359743118286133,26.0,0.0,0.5168547630310059,0.3100000023841858,4.0,104.0,0.5448423624038696,15.0,0.137167826294899,0.137167826294899,0.07614590972661972,0.22499991953372955,-24.52696418762207,0.31202811002731323
