seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.0,0,0.0,0,0,0,-0.5968836195207667,-0.6,0.0,0.0,0.044205163108626204,0.0,-27.01474468370607,-27.156565,3.0,3.0,0.087,borrow
31,313,0.0,0,0.0,0,0,0,-0.5906736408945686,-0.6,0.0,0.0,0.05276413986581469,0.0,-26.925999939297128,-27.920235,3.0,3.0,0.087,borrow
32,313,0.01597444089456869,1,5.0,4,1,0,-0.3262537991469649,-0.46721596,0.0,0.0,0.13498088204792333,0.14713696,-25.265325814696485,-24.295849,13.431309904153355,16.0,0.087,borrow
33,313,0.01597444089456869,1,5.0,4,1,0,-0.3267430008003195,-0.36604488,0.0,0.0,0.14225833393610224,0.15475167,-24.989976718849842,-24.27714,15.46964856230032,18.0,0.087,borrow
34,313,0.01597444089456869,1,5.0,4,1,0,-0.32053082094408947,-0.30132046,0.0,0.0,0.14462506062619807,0.15184665,-24.939100361022362,-24.044573,15.476038338658148,18.0,0.087,borrow
35,313,0.0,0,0.0,0,0,0,-0.5808820925559105,-0.5970146,0.0,0.0,0.06029383987539936,0.103280485,-26.903473833865814,-27.477638,3.0,3.0,0.087,borrow
36,313,0.012779552715654952,1,4.0,4,1,0,-0.33313206073162943,-0.4244782,0.0,0.0,0.1210583656198083,0.10843113,-25.922353182108623,-26.976315,7.8690095846645365,10.0,0.087,borrow
37,313,0.01597444089456869,1,5.0,4,1,0,-0.3254759116900958,-0.42421505,0.0,0.0,0.13690251932587857,0.13640508,-25.206864038338658,-25.043955,11.472843450479234,14.0,0.087,borrow
38,313,0.0,0,0.0,0,0,0,-0.594897527028754,-0.6,0.0,0.0,0.05152581237060702,0.0,-26.968897063897764,-27.604752,3.0,3.0,0.087,borrow
39,313,0.0,0,0.0,0,0,0,-0.5917840238019169,-0.59213245,0.0,0.0,0.057604278434504795,0.0,-26.797858878594248,-26.636917,3.0,3.0,0.087,borrow
40,313,0.0,0,0.0,0,0,0,-0.5398585106709265,-0.5119632,0.0,0.0,0.06497318482428115,0.0,-26.871097380191696,-27.456587,3.0,3.0,0.087,borrow
41,313,0.01597444089456869,1,5.0,4,1,0,-0.33759837247923324,-0.3951587,0.0,0.0,0.13434832035782746,0.13407627,-25.366949626198085,-25.742598,12.610223642172524,15.0,0.087,borrow
