alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,30,22.361277019954287,none,0.0,0.6,0.0,100.0,-21.757511138916016,26.0,0.009999999776482582,0.4891659915447235,0.4099999964237213,4.0,104.0,0.019999999552965164,25.0,-0.45835089683532715,0.0,1.2322416305541992,0.0,0.0,0.5970039963722229
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,31,10.611783831031062,none,0.0,0.6,0.0,100.0,-23.63521957397461,26.0,0.009999999776482582,0.4595484435558319,0.4599999785423279,4.0,104.0,0.02239999920129776,28.0,-0.5827732086181641,0.0,1.41000497341156,0.0,0.0,0.5973023176193237
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,32,10.621254338999279,none,0.0,0.6,0.0,100.0,-23.23564910888672,26.0,0.0,0.4608933627605438,0.5299999713897705,4.0,104.0,0.02319999970495701,29.0,-0.006464438512921333,0.0,1.7437976598739624,0.0,0.0,0.5973660945892334
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,33,10.61929964798037,none,0.0,0.6,0.0,100.0,-23.288549423217773,26.0,0.0,0.4962174892425537,0.3100000023841858,4.0,104.0,0.024000000208616257,30.0,-0.4901261031627655,0.0,1.8961021900177002,0.0,0.0,0.5895290374755859
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,34,10.614777382928878,none,0.0,0.6,0.0,100.0,-23.23647689819336,26.0,0.0,0.5451304316520691,0.26999998092651367,4.0,104.0,0.02239999920129776,28.0,-0.021124817430973053,0.0,1.5810856819152832,0.0,0.0,0.5987817645072937
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,35,10.621183671988547,none,0.0,0.6,0.0,100.0,-23.942129135131836,26.0,0.0,0.4962000250816345,0.32999998331069946,4.0,104.0,0.02160000056028366,27.0,-0.5083746314048767,0.0,1.481067419052124,0.0,0.0,0.5945374369621277
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,36,10.578577338019386,none,0.0,0.6,0.0,100.0,-24.49771499633789,26.0,0.0,0.4968836307525635,0.3700000047683716,4.0,104.0,0.018400000408291817,23.0,-0.46304383873939514,0.0,0.9655193090438843,0.0,0.0,0.5992741584777832
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,37,10.618917313986458,none,0.0,0.6,0.0,100.0,-23.82357406616211,26.0,0.009999999776482582,0.49713969230651855,0.35999998450279236,4.0,104.0,0.02160000056028366,27.0,-0.20088520646095276,0.0,1.5037195682525635,0.0,0.0,0.5975226759910583
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,38,10.59740134398453,none,0.0,0.6,0.0,100.0,-23.547504425048828,26.0,0.009999999776482582,0.4712948203086853,0.4899999797344208,4.0,104.0,0.019200000911951065,24.0,-0.4469563961029053,0.0,1.1089870929718018,0.0,0.0,0.5950058698654175
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,39,10.599712198949419,none,0.0,0.6,0.0,100.0,-23.12729835510254,26.0,0.0,0.48071596026420593,0.4099999964237213,4.0,104.0,0.02160000056028366,27.0,-0.4913780987262726,0.0,1.5047696828842163,0.0,0.0,0.597378134727478
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,40,10.605471157003194,none,0.0,0.6,0.0,100.0,-23.92316436767578,26.0,0.0,0.48473697900772095,0.3999999761581421,4.0,104.0,0.020800000056624413,26.0,-0.46443474292755127,0.0,1.3842476606369019,0.0,0.0,0.5899673700332642
0.09,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,41,10.585868687019683,none,0.0,0.6,0.0,100.0,-23.549978256225586,26.0,0.0,0.5098444819450378,0.3799999952316284,4.0,104.0,0.019999999552965164,25.0,-0.10350536555051804,0.0,1.2669343948364258,0.0,0.0,0.597690224647522
