seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.03194888178913738,1,10.0,4,1,0,-0.2882053475549521,-0.5641451,0.0,0.0,0.15237873047923323,0.17224711,-24.45037489456869,-24.026941,26.738019169329075,32.0,0.114,borrow
31,313,0.03194888178913738,1,10.0,4,1,0,-0.2896966735463259,-0.45633024,0.0,0.0,0.16016039923322684,0.15701424,-24.119137702875403,-24.629137,28.776357827476037,34.0,0.114,borrow
32,313,0.03194888178913738,1,10.0,4,1,0,-0.29555304698146967,-0.23678842,0.0,0.0,0.17167230900958466,0.16742004,-23.74411098722045,-23.513674,30.82747603833866,36.0,0.114,borrow
33,313,0.03514376996805112,1,11.0,4,1,0,-0.29027906135942494,-0.29504994,0.0,0.0,0.17791909936102235,0.19205303,-23.501888022364216,-22.899157,32.47923322683706,38.0,0.114,borrow
34,313,0.03514376996805112,1,11.0,4,1,0,-0.29052970710511183,-0.3908895,0.0,0.0,0.17234049623003195,0.19847141,-23.64629921086262,-22.540745,31.517571884984026,37.0,0.114,borrow
35,313,0.03194888178913738,1,10.0,4,1,0,-0.2863715639086262,-0.07913023,0.0,0.0,0.17009345939297124,0.17001225,-23.829868543130992,-24.297981,31.108626198083066,36.0,0.114,borrow
36,313,0.03194888178913738,1,10.0,4,1,0,-0.2902962155434505,-0.21497166,0.0,0.0,0.16848741137380194,0.16518943,-23.840772869009584,-24.267448,27.952076677316295,33.0,0.114,borrow
37,313,0.03194888178913738,1,10.0,4,1,0,-0.2901697792217252,-0.42843908,0.0,0.0,0.16337786635782747,0.16082886,-24.072556073482428,-24.325638,28.677316293929714,34.0,0.114,borrow
38,313,0.03514376996805112,1,11.0,4,1,0,-0.29177207063450483,-0.26400268,0.0,0.0,0.17701353578274762,0.1944193,-23.53968215974441,-23.364857,28.552715654952078,34.0,0.114,borrow
39,313,0.03194888178913738,1,10.0,4,1,0,-0.2910782792715655,-0.1516223,0.0,0.0,0.16572597009584666,0.16178815,-23.8477890543131,-23.459192,29.130990415335464,34.0,0.114,borrow
40,313,0.03194888178913738,1,10.0,4,1,0,-0.29795140594281155,-0.23131557,0.0,0.0,0.15630929392971246,0.1475895,-24.326813942492013,-24.898695,28.25878594249201,33.0,0.114,borrow
41,313,0.03514376996805112,1,11.0,4,1,0,-0.2962833546210863,-0.33521107,0.0,0.0,0.17167625690095845,0.1835081,-23.761099182108627,-23.953033,30.623003194888177,36.0,0.114,borrow
