n_seeds,late_window_updates,rho_mean,rho_sd,p_active_mean,p_active_sd,p_sustained_mean,p_sustained_sd,p_bursty_mean,p_bursty_sd,late_update_count_mean,late_update_count_sd,active_blocks_mean,active_blocks_sd,chi_rho,eval_return_end_mean_mean,eval_return_end_mean_sd,eval_CSR_post_mean,eval_CSR_post_sd,eval_dbar_post_mean_mean,eval_dbar_post_mean_sd,final_update_counter_mean,final_update_counter_sd,final_energy_E_post_mean,final_energy_E_post_sd,final_depr_F_post_mean,final_depr_F_post_sd,final_vartd_VarTD_mean,final_vartd_VarTD_sd,alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,support_mode,support_total,support_start_update,support_window_frac,borrow_limit,borrow_interest,total_timesteps
12,313,0.014376996805111819,0.001668475935677615,1.0,0.0,1.0,0.0,0.0,0.0,4.5,0.5222329678670935,4.0,0.0,2.7838119479352927e-06,-23.52393452326457,0.5702630356397407,0.004999999888241291,0.0067419984739370085,0.5117008512218794,0.026955981010269768,16.166666666666668,1.6422453217986943,-0.3151258962849776,0.14020080659846626,0.0,0.0,0.37167243162790936,0.08985444759562598,0.06,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.014110756123535675,0.0016451394586084256,1.0,0.0,1.0,0.0,0.0,0.0,4.416666666666667,0.5149286505444371,4.0,0.0,2.7064838382704236e-06,-23.70637321472168,0.8359076642050752,0.005833333202948173,0.007929614433746892,0.4933447018265724,0.019113415876972514,16.0,1.8586407545691703,-0.2918672636151314,0.11732433521391109,0.0,0.0,0.36139489710330963,0.10015193064754303,0.061,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.015441959531416397,0.001243608536999238,1.0,0.0,1.0,0.0,0.0,0.0,4.833333333333333,0.3892494720807615,4.0,0.0,1.5465621932973851e-06,-23.70534674326579,0.6004524187283689,0.0016666666294137638,0.0038924946338035784,0.49428654462099075,0.021504925385813434,16.916666666666668,2.0207259421636903,-0.2924895106504361,0.1647988067446625,0.0,0.0,0.42983294650912285,0.11651053673066077,0.063,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.015974440894568686,3.6237191571523546e-18,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,1.313134052991297e-35,-23.350927511850994,0.6971900568906015,0.0033333332588275275,0.004923659529120939,0.49143167585134506,0.023389453831987927,17.916666666666668,1.1645001528813153,-0.32520837771395844,0.18114073110729495,0.0,0.0,0.4772629290819168,0.10587084404448976,0.064,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.017039403620873264,0.0015730541978189487,1.0,0.0,1.0,0.0,0.0,0.0,5.333333333333333,0.4923659639173309,4.0,0.0,2.4744995092758164e-06,-23.594552516937256,0.5144339019487986,0.0041666665735344095,0.00514928639034885,0.5001586303114891,0.022091891195305004,18.333333333333332,1.5569978883230462,-0.35855987543861073,0.14714525237909043,0.0,0.0,0.5152218540509542,0.11943699031864413,0.066,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.016773162939297124,0.001985883579897959,1.0,0.0,1.0,0.0,0.0,0.0,5.25,0.621581560508061,4.0,0.0,3.943733592908333e-06,-23.869647820790608,0.7020651413301404,0.0024999999441206455,0.004522670067576898,0.4934307460983594,0.02016335568653611,18.583333333333332,1.3113721705515065,-0.3473617120956381,0.16062769137805274,0.0,0.0,0.5319674809773763,0.09208232766977797,0.067,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.01810436634717785,0.0015730541978189487,1.0,0.0,1.0,0.0,0.0,0.0,5.666666666666667,0.49236596391733095,4.0,0.0,2.474499509275816e-06,-23.66935650507609,0.614288480907697,0.0033333332588275275,0.006513389327203696,0.49652476360400516,0.017133249099357577,19.5,1.4459976109624424,-0.29759036377072334,0.1357166962111037,0.0,0.0,0.6074226622780164,0.09718274848553358,0.069,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.017571884984025555,0.00215399317080908,1.0,0.0,1.0,0.0,0.0,0.0,5.5,0.674199862463242,4.0,0.0,4.639686579892155e-06,-23.723365147908527,0.5783819977855919,0.007499999832361937,0.007537783445961498,0.49532400816679,0.02473404011703001,19.5,1.8829377433825436,-0.2950433436781168,0.16609460545113805,0.0,0.0,0.6091336359580358,0.1406797956899943,0.07,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.019169329073482427,0.0013623048968409612,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.4264014327112209,4.0,0.0,1.8558746319568619e-06,-23.756826718648274,0.4427892795086702,0.004999999888241291,0.0067419984739370085,0.5003516351183256,0.027023138290694675,20.333333333333332,1.6696942198734437,-0.3575810054317117,0.1887572134469996,0.0,0.0,0.6941787749528885,0.15659337964120135,0.072,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.01943556975505857,0.0009222847750632998,1.0,0.0,1.0,0.0,0.0,0.0,6.083333333333333,0.2886751345948129,4.0,0.0,8.506092063135615e-07,-23.715891043345135,0.5782063783284175,0.0008333333147068819,0.002886751281424208,0.4960910926262538,0.02065536776050821,20.833333333333332,0.9374368665610922,-0.3226987402886152,0.14764427225141977,0.0,0.0,0.7285722295443217,0.09424453156782589,0.073,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.019701810436634715,0.0026672431627371303,1.0,0.0,1.0,0.0,0.0,0.0,6.166666666666667,0.8348471099367218,4.0,0.0,7.11418608916797e-06,-23.853986581166584,0.5392171055754589,0.0041666665735344095,0.00514928639034885,0.49372096608082455,0.013059890529030822,21.083333333333332,2.539088359425425,-0.34806032571941614,0.21515163804598433,0.0,0.0,0.7735459705193838,0.2369273702201988,0.075,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.02050053248136315,0.0016451394586084256,1.0,0.0,1.0,0.0,0.0,0.0,6.416666666666667,0.5149286505444371,4.0,0.0,2.7064838382704236e-06,-23.757203420003254,0.5395810040060497,0.006666666517655055,0.008876253447586215,0.49019239594539005,0.015240235725075366,21.583333333333332,2.0652243256245835,-0.35687047087897855,0.14454518321232307,0.0,0.0,0.8266500135262808,0.20310425230270338,0.076,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.02050053248136315,0.0025334231983985913,1.0,0.0,1.0,0.0,0.0,0.0,6.416666666666667,0.7929614610987591,4.0,0.0,6.418233102184148e-06,-23.445347785949707,0.6954532713883417,0.0016666666294137638,0.005773502562848416,0.49241528908411664,0.014266893050159319,22.083333333333332,2.9987371079213068,-0.2704322631470859,0.15347408122725772,0.0,0.0,0.9084699352582296,0.31516360127111814,0.078,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.021299254526091587,0.0015730541978189487,1.0,0.0,1.0,0.0,0.0,0.0,6.666666666666667,0.4923659639173309,4.0,0.0,2.474499509275816e-06,-23.903780619303387,0.514408073391791,0.0041666665735344095,0.006685579084780874,0.5033616522947947,0.028176793244438603,22.75,1.815338686155987,-0.3281996948644519,0.15947793496321555,0.0,0.0,0.9564661284287771,0.2256222482820895,0.079,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.022896698615548453,0.002293100838866688,1.0,0.0,1.0,0.0,0.0,0.0,7.166666666666667,0.7177405625652734,4.0,0.0,5.258311457211108e-06,-23.723766644795734,0.8103581718424421,0.005833333202948173,0.006685579084780875,0.49482294420401257,0.021787165186818128,24.083333333333332,1.880924981991251,-0.36034363446136314,0.1473792350660245,0.0,0.0,1.104079619050026,0.22576956477765087,0.081,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
12,313,0.022630457933972312,0.0016451394586084256,1.0,0.0,1.0,0.0,0.0,0.0,7.083333333333333,0.5149286505444371,4.0,0.0,2.7064838382704236e-06,-23.65045229593913,0.5889523180971822,0.006666666517655055,0.008876253447586215,0.5021370326479276,0.03341664204061938,24.166666666666668,1.9462473604038075,-0.3089103043700258,0.18531844767115077,0.0,0.0,1.106696863969167,0.2387734831192416,0.082,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,none,0.0,0,0.1,0.6,0.0,4000000
