alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,30,22.8776365990052,none,0.0,0.3,0.0,100.0,-22.88407325744629,26.0,0.019999999552965164,0.5050379633903503,0.38999998569488525,4.0,104.0,0.024000000208616257,30.0,-0.25747227668762207,0.0,2.0585412979125977,0.0,0.0,0.29612183570861816
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,31,10.614541043993086,none,0.0,0.3,0.0,100.0,-24.36768913269043,26.0,0.0,0.5175623893737793,0.28999999165534973,4.0,104.0,0.02319999970495701,29.0,-0.07291756570339203,0.0,1.7509188652038574,0.0,0.0,0.29646456241607666
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,32,10.632978064008057,none,0.0,0.3,0.0,100.0,-23.51630401611328,26.0,0.0,0.48370426893234253,0.28999999165534973,4.0,104.0,0.0272000003606081,34.0,0.21686294674873352,0.0,2.429703950881958,0.0,0.0,0.28422117233276367
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,33,10.61367557500489,none,0.0,0.3,0.0,100.0,-22.81804084777832,26.0,0.0,0.47769492864608765,0.3700000047683716,4.0,104.0,0.026399999856948853,33.0,0.13060076534748077,0.0,2.3782308101654053,0.0,0.0,0.2852892577648163
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,34,10.616738431970589,none,0.0,0.3,0.0,100.0,-24.386669158935547,26.0,0.009999999776482582,0.5084524154663086,0.38999998569488525,4.0,104.0,0.02800000086426735,35.0,0.024769965559244156,0.0,2.798189878463745,0.0,0.0,0.2951614260673523
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,35,10.60421032703016,none,0.0,0.3,0.0,100.0,-23.781490325927734,26.0,0.009999999776482582,0.4744563698768616,0.4099999964237213,4.0,104.0,0.025599999353289604,32.0,-0.06538961827754974,0.0,2.3536036014556885,0.0,0.0,0.28619441390037537
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,36,10.609163635992445,none,0.0,0.3,0.0,100.0,-24.507299423217773,26.0,0.0,0.46381694078445435,0.429999977350235,4.0,104.0,0.024000000208616257,30.0,-0.09765149652957916,0.0,1.912283182144165,0.0,0.0,0.2911926805973053
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,37,10.610306326998398,none,0.0,0.3,0.0,100.0,-22.129220962524414,26.0,0.0,0.5183939933776855,0.3400000035762787,4.0,104.0,0.02239999920129776,28.0,0.2823336720466614,0.0,1.6130942106246948,0.0,0.0,0.2999024987220764
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,38,10.605321531998925,none,0.0,0.3,0.0,100.0,-23.186342239379883,26.0,0.009999999776482582,0.4736453890800476,0.41999998688697815,4.0,104.0,0.02319999970495701,29.0,0.08040736615657806,0.0,1.8950252532958984,0.0,0.0,0.29932108521461487
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,39,10.59966930700466,none,0.0,0.3,0.0,100.0,-23.52568244934082,26.0,0.009999999776482582,0.47278928756713867,0.4099999964237213,4.0,104.0,0.02239999920129776,28.0,-0.13322195410728455,0.0,1.7511041164398193,0.0,0.0,0.2980017066001892
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,40,10.624010446015745,none,0.0,0.3,0.0,100.0,-22.98451805114746,26.0,0.0,0.5187617540359497,0.2800000011920929,4.0,104.0,0.025599999353289604,32.0,-0.24063144624233246,0.0,2.2478256225585938,0.0,0.0,0.2880396246910095
0.108,borrow,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,41,10.61128221207764,none,0.0,0.3,0.0,100.0,-23.700077056884766,26.0,0.009999999776482582,0.4873274266719818,0.3700000047683716,4.0,104.0,0.024000000208616257,30.0,-0.06626468151807785,0.0,1.928866982460022,0.0,0.0,0.29512909054756165
