seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.08306709265175719,1,26.0,4,1,0,0.04281923835463259,-0.24225125,0.0,0.0,0.18704511817891373,0.2075091,-22.80865891693291,-21.818087,68.61661341853035,82.0,0.252,borrow
31,313,0.07987220447284345,1,25.0,4,1,0,0.0371942462968051,-0.1600532,0.0,0.0,0.18068207022364216,0.15678175,-22.889283974440897,-23.728712,75.69009584664536,88.0,0.252,borrow
32,313,0.08626198083067092,1,27.0,4,1,0,0.036265957076996806,-0.24966368,0.0,0.0,0.1928593919169329,0.1902572,-22.46244117252396,-21.824467,77.45047923322684,91.0,0.252,borrow
33,313,0.0670926517571885,1,21.0,4,1,0,0.030011104623322685,0.124703705,0.0,0.0,0.15474677066773163,0.11563723,-23.44137024600639,-24.469204,77.24281150159744,87.0,0.252,borrow
34,313,0.07667731629392971,1,24.0,4,1,0,0.03877744491645368,0.30104282,0.0,0.0,0.18174880546325878,0.18573797,-22.887383760383386,-22.200672,74.09265175718849,86.0,0.252,borrow
35,313,0.08306709265175719,1,26.0,4,1,0,0.03649987247827476,0.037143726,0.0,0.0,0.1938423748881789,0.19420922,-22.396108817891374,-22.439962,75.81150159744409,89.0,0.252,borrow
36,313,0.07667731629392971,1,24.0,4,1,0,0.033881508473051124,0.22116628,0.0,0.0,0.17784082600638976,0.16858017,-23.005007450479233,-23.210337,69.01277955271566,81.0,0.252,borrow
37,313,0.07348242811501597,1,23.0,4,1,0,0.027813524925111823,-0.060224652,0.0,0.0,0.16430345188498402,0.15065666,-23.554809357827473,-23.879124,68.78913738019169,80.0,0.252,borrow
38,313,0.06389776357827476,1,20.0,4,1,0,0.029762841754568694,0.23305719,0.0,0.0,0.1526932194089457,0.16306087,-24.093446980830674,-23.753992,63.453674121405754,73.0,0.252,borrow
39,313,0.08626198083067092,1,27.0,4,1,0,0.04439864237875399,-0.23498988,0.0,0.0,0.1940960782428115,0.18673392,-22.39241473482428,-22.127537,79.2076677316294,93.0,0.252,borrow
40,313,0.07987220447284345,1,25.0,4,1,0,0.0322311372743131,0.15797225,0.0,0.0,0.18265179354632585,0.19195151,-23.027669591054316,-22.848825,70.69968051118211,83.0,0.252,borrow
41,313,0.07667731629392971,1,24.0,4,1,0,0.028458682884664535,-0.03468568,0.0,0.0,0.17274166162939297,0.17124057,-23.189599945686904,-23.250032,72.16613418530352,84.0,0.252,borrow
