seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.03194888178913738,1,10.0,4,1,0,-0.015051779403418529,0.026425298,0.0,0.0,0.16976090076677317,0.1950559,-23.890002182108628,-23.070013,23.230031948881788,28.0,0.114,borrow
31,313,0.025559105431309903,1,8.0,4,1,0,-0.0042555855273801926,0.18423797,0.0,0.0,0.14993073169329074,0.14561242,-24.610498603833864,-25.156475,19.0926517571885,23.0,0.114,borrow
32,313,0.02875399361022364,1,9.0,4,1,0,-0.004550333054760384,0.19334573,0.0,0.0,0.16835744028753993,0.15940177,-23.927923610223644,-23.672503,26.594249201277954,31.0,0.114,borrow
33,313,0.03194888178913738,1,10.0,4,1,0,-0.006824529127028756,-0.23992655,0.0,0.0,0.17553894140575083,0.18408817,-23.59824128753994,-22.86447,27.5814696485623,33.0,0.114,borrow
34,313,0.02875399361022364,1,9.0,4,1,0,-0.00557825708338658,0.124365985,0.0,0.0,0.16735175920127798,0.17701384,-23.9648610543131,-23.125679,25.431309904153355,30.0,0.114,borrow
35,313,0.03194888178913738,1,10.0,4,1,0,-0.007012296344408945,-0.24360418,0.0,0.0,0.16391917284345048,0.15846215,-24.046255236421725,-24.55791,24.961661341853034,30.0,0.114,borrow
36,313,0.0,0,0.0,0,0,0,-0.29685267159744405,-0.29998478,0.0,0.0,0.027660857801916933,0.0,-27.185618463258784,-29.064949,2.0,2.0,0.114,borrow
37,313,0.03194888178913738,1,10.0,4,1,0,-0.007649581433226838,0.21559285,0.0,0.0,0.17385410715654953,0.17155845,-23.575927680511185,-23.568296,24.396166134185304,29.0,0.114,borrow
38,313,0.0,0,0.0,0,0,0,-0.2982453475399361,-0.3,0.0,0.0,0.02197250208626198,0.0,-27.284598338658142,-27.9971,2.0,2.0,0.114,borrow
39,313,0.025559105431309903,1,8.0,4,1,0,-0.014533325448945684,-0.034575026,0.0,0.0,0.14400927853035145,0.14979579,-24.744674389776357,-23.98617,18.971246006389777,23.0,0.114,borrow
40,313,0.022364217252396165,1,7.0,4,1,0,-0.008921973787859425,0.2340972,0.0,0.0,0.13961909104472844,0.13429144,-25.083307290734826,-25.62868,18.48562300319489,22.0,0.114,borrow
41,313,0.025559105431309903,1,8.0,4,1,0,-0.009859473855185305,0.1905387,0.0,0.0,0.14770706476038337,0.15861396,-24.681346482428115,-24.915516,21.182108626198083,25.0,0.114,borrow
