seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.012779552715654952,1,4.0,4,1,0,0.3018544357492013,0.09035511,0.0,0.0,0.1208623262460064,0.12881446,-25.915273840255594,-25.767458,7.94888178913738,10.0,0.052,base
31,313,0.009584664536741214,1,3.0,3,1,0,0.3198870996230032,0.58523285,0.0,0.0,0.12495688564217254,0.116631515,-25.713645290734824,-26.595198,7.693290734824281,9.0,0.052,base
32,313,0.012779552715654952,1,4.0,4,1,0,0.29172842772683705,0.4409071,0.0,0.0,0.13700127988178915,0.14699621,-25.21824649201278,-24.432766,10.303514376996805,12.0,0.052,base
33,313,0.012779552715654952,1,4.0,4,1,0,0.3007459313801917,0.1897184,0.0,0.0,0.1359285993769968,0.15905543,-25.245821801916932,-24.306211,9.87220447284345,12.0,0.052,base
34,313,0.012779552715654952,1,4.0,4,1,0,0.2883266384095847,0.2743756,0.0,0.0,0.13016652725559105,0.13691008,-25.558601869009586,-24.484224,9.130990415335463,11.0,0.052,base
35,313,0.009584664536741214,1,3.0,3,1,0,0.2942474863674121,0.5194157,0.0,0.0,0.1366219647827476,0.13686563,-25.218929865814697,-25.346062,9.456869009584665,11.0,0.052,base
36,313,0.006389776357827476,1,2.0,2,0,1,0.3056212191632588,0.09596774,0.0,0.0,0.04227004797444089,0.0,-27.058186731629398,-28.898903,2.9648562300319488,4.0,0.052,base
37,313,0.006389776357827476,1,2.0,2,0,1,0.31459484792651754,0.38772035,0.0,0.0,0.08072324094568689,0.1037882,-26.69909496485623,-26.506058,4.916932907348243,6.0,0.052,base
38,313,0.003194888178913738,1,1.0,1,0,1,0.30582921620766773,0.3805385,0.0,0.0,0.02934743689456869,0.0,-27.222432872204475,-27.894325,2.6389776357827475,3.0,0.052,base
39,313,0.006389776357827476,1,2.0,2,0,1,0.29571565308306713,0.23781148,0.0,0.0,0.05664061482747604,0.10761119,-26.807513664536746,-25.914656,3.9712460063897765,5.0,0.052,base
40,313,0.009584664536741214,1,3.0,3,1,0,0.2933611010638978,0.34680727,0.0,0.0,0.11939619525559106,0.11760774,-25.984286329073484,-26.348434,7.376996805111821,9.0,0.052,base
41,313,0.009584664536741214,1,3.0,3,1,0,0.2962696850319489,0.4053852,0.0,0.0,0.1225946559456869,0.11850133,-25.88148524920128,-26.45851,8.45367412140575,10.0,0.052,base
42,313,0.009584664536741214,1,3.0,3,1,0,0.30520638508178916,0.5657769,0.0,0.0,0.13459804022683708,0.14039274,-25.363031268370605,-25.702744,8.543130990415335,10.0,0.052,base
43,313,0.012779552715654952,1,4.0,4,1,0,0.2867750206549521,0.4100854,0.0,0.0,0.134077634115016,0.14492653,-25.367901057507986,-24.67921,8.309904153354633,10.0,0.052,base
44,313,0.012779552715654952,1,4.0,4,1,0,0.3108198320047923,0.039380554,0.0,0.0,0.12479891095846646,0.13572529,-25.72691895207668,-24.787945,8.757188498402556,11.0,0.052,base
45,313,0.012779552715654952,1,4.0,4,1,0,0.28779994579872203,0.2287392,0.0,0.0,0.12540357506389777,0.1337315,-25.74214859744409,-25.10059,10.146964856230031,12.0,0.052,base
46,313,0.009584664536741214,1,3.0,3,1,0,0.29623069283450476,0.36872005,0.0,0.0,0.11500765225559104,0.11880849,-26.137071722044727,-26.205164,8.492012779552716,10.0,0.052,base
47,313,0.009584664536741214,1,3.0,3,1,0,0.28997187312651757,0.41168848,0.0,0.0,0.10078859685623004,0.11268791,-26.34277299680511,-27.092419,6.696485623003195,8.0,0.052,base
48,313,0.009584664536741214,1,3.0,3,1,0,0.30358812559265175,0.34121022,0.0,0.0,0.10937836321086264,0.11262855,-26.300696009584662,-26.01787,7.4888178913738015,9.0,0.052,base
49,313,0.009584664536741214,1,3.0,3,1,0,0.31410280584025563,0.5472395,0.0,0.0,0.11648619692012782,0.0,-26.08840838977636,-26.515862,7.753993610223642,9.0,0.052,base
50,313,0.009584664536741214,1,3.0,3,1,0,0.30543390586677316,0.37754107,0.0,0.0,0.11264040930351438,0.12692657,-26.20558662300319,-26.354149,7.485623003194888,9.0,0.052,base
51,313,0.006389776357827476,1,2.0,2,0,1,0.3309899253386582,0.5324082,0.0,0.0,0.08657378647603835,0.1132703,-26.643972255591052,-26.852081,5.0,6.0,0.052,base
52,313,0.012779552715654952,1,4.0,4,1,0,0.31310873624440894,0.04907128,0.0,0.0,0.12668759037060703,0.14587148,-25.689580773162938,-25.307373,9.744408945686901,12.0,0.052,base
53,313,0.009584664536741214,1,3.0,3,1,0,0.2892962086504792,0.42090648,0.0,0.0,0.12864943601916934,0.12397122,-25.585871514376997,-26.231224,10.405750798722044,12.0,0.052,base
54,313,0.009584664536741214,1,3.0,3,1,0,0.3172183973335463,0.017571801,0.0,0.0,0.07438356438658147,0.12683588,-26.76086926198083,-25.900728,4.335463258785943,6.0,0.052,base
55,313,0.009584664536741214,1,3.0,3,1,0,0.30810302759265173,0.4977932,0.0,0.0,0.12469948797763578,0.12124445,-25.72566123003195,-26.23333,8.533546325878595,10.0,0.052,base
56,313,0.012779552715654952,1,4.0,4,1,0,0.2917557215686901,0.23039816,0.0,0.0,0.1279994635686901,0.12569767,-25.580083782747604,-25.848955,9.079872204472844,11.0,0.052,base
57,313,0.009584664536741214,1,3.0,3,1,0,0.281178565899361,0.2203803,0.0,0.0,0.1191919449968051,0.12781565,-25.99530189776358,-25.578716,8.191693290734824,10.0,0.052,base
58,313,0.012779552715654952,1,4.0,4,1,0,0.30275474770287536,0.17695758,0.0,0.0,0.13231090185303515,0.14636646,-25.388062607028754,-24.795828,9.900958466453675,12.0,0.052,base
59,313,0.009584664536741214,1,3.0,3,1,0,0.28519982332268373,0.3642591,0.0,0.0,0.125021994028754,0.13402359,-25.759205271565495,-25.399595,8.351437699680512,10.0,0.052,base
60,313,0.0,0,0.0,0,0,0,0.41538148884984033,0.4905695,0.0,0.0,0.008603977134185304,0.0,-27.43318912460064,-26.875854,2.0,2.0,0.052,base
61,313,0.009584664536741214,1,3.0,3,1,0,0.29756596381022365,0.32041335,0.0,0.0,0.11240338864536742,0.122293636,-26.171836028753994,-25.62875,6.415335463258786,8.0,0.052,base
