alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,30,21.688265651930124,none,0.0,0.0,0.0,100.0,-23.39507293701172,26.0,0.0,0.48387521505355835,0.429999977350235,4.0,104.0,0.01759999990463257,22.0,0.277599573135376,0.0,0.9156093597412109,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,31,10.467538675991818,none,0.0,0.0,0.0,100.0,-23.145151138305664,26.0,0.0,0.4901539981365204,0.3799999952316284,4.0,104.0,0.01360000018030405,17.0,0.487735778093338,0.0,0.34367015957832336,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,32,10.477692613028921,none,0.0,0.0,0.0,100.0,-23.149539947509766,26.0,0.009999999776482582,0.47837430238723755,0.5199999809265137,4.0,104.0,0.018400000408291817,23.0,0.20532044768333435,0.0,0.8928947448730469,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,33,10.483631188049912,none,0.0,0.0,0.0,100.0,-23.63176727294922,26.0,0.019999999552965164,0.5469592213630676,0.3100000023841858,4.0,104.0,0.018400000408291817,23.0,0.2764618694782257,0.0,0.914039134979248,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,34,10.495480928919278,none,0.0,0.0,0.0,100.0,-24.17350959777832,26.0,0.0,0.5393024682998657,0.28999999165534973,4.0,104.0,0.019200000911951065,24.0,0.28296956419944763,0.0,1.0169521570205688,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,35,10.470650084898807,none,0.0,0.0,0.0,100.0,-23.222745895385742,26.0,0.009999999776482582,0.5007290840148926,0.38999998569488525,4.0,104.0,0.019999999552965164,25.0,0.19477957487106323,0.0,1.2585400342941284,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,36,10.474354268983006,none,0.0,0.0,0.0,100.0,-23.703548431396484,26.0,0.009999999776482582,0.49457669258117676,0.35999998450279236,4.0,104.0,0.014399999752640724,18.0,0.5079228281974792,0.0,0.48905059695243835,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,37,10.459701462066732,none,0.0,0.0,0.0,100.0,-24.62143325805664,26.0,0.009999999776482582,0.5004674196243286,0.3700000047683716,4.0,104.0,0.015200000256299973,19.0,0.06252703070640564,0.0,0.5739224553108215,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,38,10.477305355016142,none,0.0,0.0,0.0,100.0,-21.599573135375977,26.0,0.0,0.46199390292167664,0.4099999964237213,4.0,104.0,0.01360000018030405,17.0,0.39406368136405945,0.0,0.4548768699169159,0.0,0.0,0.0
0.093,base,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,39,10.449610970914364,none,0.0,0.0,0.0,100.0,-23.528915405273438,26.0,0.0,0.5042339563369751,0.4099999964237213,4.0,104.0,0.012799999676644802,16.0,0.4866985082626343,0.0,0.33164435625076294,0.0,0.0,0.0
