seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.016187884402555912,0.0,-27.38114111501598,-27.642984,1.0,1.0,0.0,base
31,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.01490819328115016,0.0,-27.357048067092652,-28.243717,1.0,1.0,0.0,base
32,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.016911578146964857,0.0,-27.28929687859425,-26.595474,1.0,1.0,0.0,base
33,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.015080409479233229,0.10433066,-27.26351985942492,-27.032078,1.0,1.0,0.0,base
34,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.014650055530351437,0.0,-27.39756859744409,-26.623798,1.0,1.0,0.0,base
35,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.023943488396166137,0.0,-27.26931906389777,-27.98392,1.0,1.0,0.0,base
36,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.009875934121405751,0.0,-27.473348594249202,-29.332767,1.0,1.0,0.0,base
37,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.018667230734824285,0.0,-27.312763610223644,-27.021425,1.0,1.0,0.0,base
38,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.00994320298083067,0.0,-27.50445204792332,-28.26887,1.0,1.0,0.0,base
39,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.014537029479233228,0.0,-27.285574287539937,-26.973747,1.0,1.0,0.0,base
40,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.015605736025559105,0.0,-27.37603512140575,-28.267641,1.0,1.0,0.0,base
41,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.0166186917571885,0.0,-27.37012322364217,-28.060936,1.0,1.0,0.0,base
42,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.015898683814696484,0.0,-27.39365273482428,-28.019665,1.0,1.0,0.0,base
43,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.01361883632907348,0.0,-27.43572346964856,-26.96071,1.0,1.0,0.0,base
44,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.023003945712460065,0.11049887,-27.279526434504792,-26.085848,1.0,1.0,0.0,base
45,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.020587751658146965,0.103644505,-27.317707440894566,-26.632029,1.0,1.0,0.0,base
46,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.018263896747603835,0.0,-27.370731897763577,-27.54204,1.0,1.0,0.0,base
47,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.018909787977635782,0.0,-27.30838084664537,-28.532825,1.0,1.0,0.0,base
48,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.014236686290734824,0.0,-27.401900121405752,-27.314169,1.0,1.0,0.0,base
49,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.012483965648562299,0.0,-27.429044744408944,-28.19806,1.0,1.0,0.0,base
50,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.01887856622044728,0.0,-27.32632461022364,-27.871664,1.0,1.0,0.0,base
51,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.011573387265175717,0.0,-27.450034268370608,-27.661127,1.0,1.0,0.0,base
52,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.026325115753993614,0.0,-27.326395134185304,-27.510626,1.0,1.0,0.0,base
53,313,0.0,0,0.0,0,0,0,0.4200000199999999,0.42000002,0.0,0.0,0.026003561482428116,0.0,-27.217617469648566,-28.289751,1.0,1.0,0.0,base
