seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha,family
30,313,0.009584664536741214,1,3.0,3,1,0,0.2896324250083067,0.18894547,0.0,0.0,0.11185416832587859,0.12014325,-26.170622884984027,-26.184702,9.223642172523961,11.0,0.052,support
31,313,0.012779552715654952,1,4.0,4,1,0,0.29431318878881785,0.10603865,0.0,0.0,0.11808511366453674,0.11566601,-25.983775971246004,-26.580967,7.9904153354632586,10.0,0.052,support
32,313,0.012779552715654952,1,4.0,4,1,0,0.29782199779552715,0.2131288,0.0,0.0,0.13255386500638977,0.14078733,-25.361035166134183,-24.291107,11.984025559105431,14.0,0.052,support
33,313,0.009584664536741214,1,3.0,3,1,0,0.30586126290894566,0.5012935,0.0,0.0,0.12536104255910543,0.14514484,-25.706617875399363,-24.881987,10.55591054313099,12.0,0.052,support
34,313,0.012779552715654952,1,4.0,4,1,0,0.2972781341884984,0.43128696,0.0,0.0,0.14287186724920128,0.15757453,-24.96224113738019,-23.941494,13.198083067092652,15.0,0.052,support
35,313,0.012779552715654952,1,4.0,4,1,0,0.2897336182779553,0.4547323,0.0,0.0,0.1371403862140575,0.14235309,-25.222974782747603,-25.171394,12.34185303514377,14.0,0.052,support
36,313,0.012779552715654952,1,4.0,4,1,0,0.2786373604345048,0.3053009,0.0,0.0,0.12634927383706068,0.10879532,-25.679836185303515,-27.003387,10.274760383386582,12.0,0.052,support
37,313,0.009584664536741214,1,3.0,3,1,0,0.3114167830255591,0.56244797,0.0,0.0,0.1315180066230032,0.13198839,-25.417881201277954,-25.26744,12.559105431309904,14.0,0.052,support
38,313,0.009584664536741214,1,3.0,3,1,0,0.314059145456869,0.5439264,0.0,0.0,0.12355598694249202,0.12846328,-25.845995022364217,-26.201061,9.642172523961662,11.0,0.052,support
39,313,0.012779552715654952,1,4.0,4,1,0,0.3055718270670926,0.082454726,0.0,0.0,0.1358687316198083,0.13818607,-25.137176984025558,-24.693554,10.667731629392971,13.0,0.052,support
40,313,0.012779552715654952,1,4.0,4,1,0,0.2865677521230032,0.45544916,0.0,0.0,0.13579677941533544,0.13908438,-25.298858079872204,-25.277039,10.357827476038338,12.0,0.052,support
41,313,0.012779552715654952,1,4.0,4,1,0,0.29807627399840253,0.1740138,0.0,0.0,0.1253637463003195,0.12007584,-25.736683536741214,-26.167784,10.012779552715655,12.0,0.052,support
42,313,0.009584664536741214,1,3.0,3,1,0,0.30158710423482427,0.5278305,0.0,0.0,0.13290104406389777,0.13449539,-25.399313031948886,-25.809742,11.504792332268371,13.0,0.052,support
43,313,0.012779552715654952,1,4.0,3,1,0,0.2968364093386582,0.04431455,0.0,0.0,0.14278869808626196,0.16566187,-24.989526201277958,-23.980913,11.523961661341852,14.0,0.052,support
44,313,0.012779552715654952,1,4.0,4,1,0,0.3112539953178914,0.053856567,0.0,0.0,0.12849404838338657,0.14508587,-25.543408316293927,-24.539713,10.731629392971247,13.0,0.052,support
45,313,0.012779552715654952,1,4.0,4,1,0,0.30593969015335465,0.44889638,0.0,0.0,0.1485054154792332,0.1768346,-24.79253038338658,-23.885,13.108626198083067,15.0,0.052,support
46,313,0.012779552715654952,1,4.0,4,1,0,0.30603318262460066,0.059149165,0.0,0.0,0.13782882399361024,0.13977005,-25.189953693290736,-25.353168,12.613418530351439,15.0,0.052,support
47,313,0.009584664536741214,1,3.0,3,1,0,0.2929922678667732,0.4397121,0.0,0.0,0.1287857028402556,0.12671651,-25.543870507987222,-26.379938,11.424920127795527,13.0,0.052,support
48,313,0.012779552715654952,1,4.0,4,1,0,0.31352236739297124,0.034836404,0.0,0.0,0.12259588646006389,0.12581688,-25.816889367412138,-25.511549,10.782747603833865,13.0,0.052,support
49,313,0.009584664536741214,1,3.0,3,1,0,0.29919342613738015,0.5683488,0.0,0.0,0.1394970703003195,0.12311311,-25.122106779552716,-25.027985,12.492012779552716,14.0,0.052,support
50,313,0.012779552715654952,1,4.0,4,1,0,0.29724845138338657,0.5110358,0.0,0.0,0.1416355765175719,0.14802358,-25.010898150159743,-25.23344,13.373801916932907,15.0,0.052,support
51,313,0.012779552715654952,1,4.0,4,1,0,0.2940876631853035,0.1477242,0.0,0.0,0.1213718219201278,0.12462996,-25.896469830670927,-26.26859,10.022364217252397,12.0,0.052,support
52,313,0.012779552715654952,1,4.0,4,1,0,0.29686938081469644,0.20278981,0.0,0.0,0.12828556229392973,0.1379958,-25.613593897763575,-25.30244,11.019169329073483,13.0,0.052,support
53,313,0.009584664536741214,1,3.0,3,1,0,0.29527800295846646,0.5476105,0.0,0.0,0.13931617652076678,0.1233943,-25.110726555910542,-26.160637,13.47923322683706,15.0,0.052,support
54,313,0.012779552715654952,1,4.0,4,1,0,0.29891090436102236,0.25819027,0.0,0.0,0.1335947464632588,0.15224157,-25.392956498402555,-24.671656,12.022364217252397,14.0,0.052,support
55,313,0.009584664536741214,1,3.0,3,1,0,0.3038481256102236,0.54812354,0.0,0.0,0.13295194728434503,0.12821184,-25.410714923322683,-25.725164,11.527156549520766,13.0,0.052,support
56,313,0.012779552715654952,1,4.0,4,1,0,0.2925215419456869,0.37707528,0.0,0.0,0.13603465940894569,0.14004545,-25.25564103194888,-25.426077,12.210862619808307,14.0,0.052,support
57,313,0.012779552715654952,1,4.0,4,1,0,0.29542666782747606,0.13465981,0.0,0.0,0.14539040341853032,0.15446407,-24.85595854313099,-24.382313,13.648562300319488,16.0,0.052,support
58,313,0.01597444089456869,1,5.0,4,1,0,0.28942315554313097,0.13547446,0.0,0.0,0.15182808022364216,0.15873693,-24.612715083067094,-24.436884,13.584664536741213,16.0,0.052,support
59,313,0.009584664536741214,1,3.0,3,1,0,0.2962445106715655,0.23173492,0.0,0.0,0.11032320946645369,0.12645651,-26.229083670926517,-25.588701,9.287539936102236,11.0,0.052,support
60,313,0.0,0,0.0,0,0,0,0.34418467920127793,0.39314145,0.0,0.0,0.005947977309904153,0.0,-27.50788052396166,-26.863419,3.0,3.0,0.052,support
61,313,0.012779552715654952,1,4.0,4,1,0,0.3062604870415335,0.08905471,0.0,0.0,0.12850401583067095,0.14749214,-25.563561172523958,-24.820202,12.808306709265176,15.0,0.052,support
