alpha,family,mechanism,mechanism_tag,c_upd,z_cut,depr_lambda,depr_nu,depr_psi,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_dbar_post_mean,eval_occupied_post_mean,eval_episodes_per_env,eval_t_eval,mean_update_fraction,final_update_counter,final_energy_E_post,final_depr_F_post,final_vartd_VarTD,total_support_s,total_debt_charge,max_debt_level_post
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,30,21.596797059988603,frontload,0.6,0.0,0.0,100.0,-24.22756004333496,26.0,0.0,0.6388651132583618,0.17999999225139618,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1900845319032669,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,31,10.549373016110621,frontload,0.6,0.0,0.0,100.0,-26.225542068481445,26.0,0.0,0.6800426840782166,0.22999998927116394,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.12411649525165558,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,32,10.116870441939682,frontload,0.6,0.0,0.0,100.0,-24.443376541137695,26.0,0.0,0.5669325590133667,0.2800000011920929,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1289004236459732,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,33,10.282127583981492,frontload,0.6,0.0,0.0,100.0,-25.837324142456055,26.0,0.0,0.654044508934021,0.28999999165534973,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.12301865220069885,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,34,10.55440262099728,frontload,0.6,0.0,0.0,100.0,-25.740652084350586,26.0,0.0,0.6636600494384766,0.26999998092651367,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.12702113389968872,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,35,10.105074797058478,frontload,0.6,0.0,0.0,100.0,-24.257944107055664,26.0,0.0,0.4996641278266907,0.429999977350235,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.14642563462257385,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,36,10.275098382961005,frontload,0.6,0.0,0.0,100.0,-23.477792739868164,26.0,0.0,0.5473953485488892,0.26999998092651367,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.17632441222667694,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,37,10.665918737999164,frontload,0.6,0.0,0.0,100.0,-25.149049758911133,26.0,0.0,0.5948953628540039,0.28999999165534973,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.2009168565273285,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,38,10.0388669349486,frontload,0.6,0.0,0.0,100.0,-21.63479232788086,26.0,0.019999999552965164,0.5450737476348877,0.35999998450279236,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.2172534167766571,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,39,10.293393925065175,frontload,0.6,0.0,0.0,100.0,-24.04477882385254,26.0,0.0,0.636328935623169,0.26999998092651367,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.14407184720039368,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,40,10.599514901055954,frontload,0.6,0.0,0.0,100.0,-24.03243064880371,26.0,0.0,0.5731792449951172,0.3400000035762787,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.17856860160827637,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,41,10.056522352970205,frontload,0.6,0.0,0.0,100.0,-27.22994041442871,26.0,0.0,0.7268115282058716,0.1899999976158142,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.16160649061203003,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,42,10.325587289058603,frontload,0.6,0.0,0.0,100.0,-22.72362518310547,26.0,0.0,0.5925448536872864,0.2199999988079071,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.14803215861320496,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,43,10.563111627940089,frontload,0.6,0.0,0.0,100.0,-25.91853141784668,26.0,0.0,0.7503044009208679,0.20999999344348907,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.141181081533432,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,44,10.073921137023717,frontload,0.6,0.0,0.0,100.0,-24.97111701965332,26.0,0.0,0.5297412872314453,0.32999998331069946,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.12692292034626007,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,45,10.328405377920717,frontload,0.6,0.0,0.0,100.0,-24.21949577331543,26.0,0.0,0.6096457242965698,0.25,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1194395199418068,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,46,10.578375175013207,frontload,0.6,0.0,0.0,100.0,-26.871410369873047,26.0,0.0,0.708258330821991,0.1599999964237213,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.17172768712043762,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,47,10.10356329404749,frontload,0.6,0.0,0.0,100.0,-22.77674674987793,26.0,0.0,0.4998743236064911,0.4099999964237213,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.15877999365329742,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,48,10.358299506013282,frontload,0.6,0.0,0.0,100.0,-26.059858322143555,26.0,0.0,0.6915756464004517,0.1899999976158142,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1741769015789032,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,49,10.36776059505064,frontload,0.6,0.0,0.0,100.0,-25.283491134643555,26.0,0.0,0.661097526550293,0.1899999976158142,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1829543560743332,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,50,10.37689378997311,frontload,0.6,0.0,0.0,100.0,-24.764745712280273,26.0,0.0,0.6434659361839294,0.26999998092651367,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.1669124960899353,0.5999999642372131,0.0,0.0
0.0,support,hardzero_only,hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.58,1.0,0.0,0.5,0.0,51,10.358046808978543,frontload,0.6,0.0,0.0,100.0,-24.875368118286133,26.0,0.0,0.6187978982925415,0.2199999988079071,4.0,104.0,0.0015999999595806003,2.0,0.44000014662742615,0.0,0.15244191884994507,0.5999999642372131,0.0,0.0
