run_dir,seed,eval_return_end_mean,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/ref_full_ungated_32seed/seed30,30,-28.097065,0.964839,0.2,0.0,1.0,2.304908,22.22
runs/ref_full_ungated_32seed/seed31,31,-22.409775,0.480785,0.49,0.02,1.0,4.587701,19.41
runs/ref_full_ungated_32seed/seed32,32,-26.1313,0.797217,0.15,0.0,1.0,2.039057,21.98
runs/ref_full_ungated_32seed/seed33,33,-28.580698,1.237467,0.11,0.0,1.0,4.519232,19.53
runs/ref_full_ungated_32seed/seed34,34,-26.467976,0.634961,0.17,0.0,1.0,2.056661,22.9
runs/ref_full_ungated_32seed/seed35,35,-21.703754,0.474763,0.41,0.0,1.0,4.418283,19.43
runs/ref_full_ungated_32seed/seed36,36,-20.116421,0.468524,0.35,0.0,1.0,5.260092,22.89
runs/ref_full_ungated_32seed/seed37,37,-25.474365,0.603209,0.22,0.0,1.0,2.229696,22.92
runs/ref_full_ungated_32seed/seed38,38,-21.429028,0.481124,0.36,0.0,1.0,4.190198,19.3
runs/ref_full_ungated_32seed/seed39,39,-26.4163,0.656854,0.22,0.0,1.0,2.964985,22.96
runs/ref_full_ungated_32seed/seed40,40,-26.385473,0.651353,0.2,0.0,1.0,1.749314,23.12
runs/ref_full_ungated_32seed/seed41,41,-25.596123,0.659795,0.24,0.0,1.0,1.987298,19.67
runs/ref_full_ungated_32seed/seed42,42,-24.759497,0.642847,0.32,0.0,1.0,2.108237,22.57
runs/ref_full_ungated_32seed/seed43,43,-22.384077,0.470718,0.51,0.01,1.0,4.6085,19.45
runs/ref_full_ungated_32seed/seed44,44,-23.775049,0.501047,0.36,0.0,1.0,4.746519,23.02
runs/ref_full_ungated_32seed/seed45,45,-26.730709,0.784645,0.15,0.0,1.0,2.347404,19.28
runs/ref_full_ungated_32seed/seed46,46,-24.870308,0.705071,0.22,0.01,1.0,4.487773,23.07
runs/ref_full_ungated_32seed/seed47,47,-20.023287,0.454707,0.54,0.0,1.0,4.291734,22.55
runs/ref_full_ungated_32seed/seed48,48,-31.152824,1.079109,0.11,0.0,1.0,1.594085,19.33
runs/ref_full_ungated_32seed/seed49,49,-24.855513,0.570286,0.26,0.0,1.0,1.938265,22.88
runs/ref_full_ungated_32seed/seed50,50,-22.941824,0.583619,0.25,0.0,1.0,3.396972,19.51
runs/ref_full_ungated_32seed/seed51,51,-28.084789,0.913331,0.17,0.0,1.0,2.50362,22.72
runs/ref_full_ungated_32seed/seed52,52,-26.290094,0.669174,0.19,0.0,1.0,1.539612,22.95
runs/ref_full_ungated_32seed/seed53,53,-23.096533,0.499513,0.4,0.0,1.0,4.919938,19.74
runs/ref_full_ungated_32seed/seed54,54,-21.260027,0.4801,0.5,0.02,1.0,4.661465,23.3
runs/ref_full_ungated_32seed/seed55,55,-22.792179,0.485072,0.48,0.0,1.0,4.5624,19.34
runs/ref_full_ungated_32seed/seed56,56,-22.17382,0.463207,0.49,0.01,1.0,4.797786,22.99
runs/ref_full_ungated_32seed/seed57,57,-26.030174,0.924279,0.21,0.0,1.0,3.325979,22.88
runs/ref_full_ungated_32seed/seed58,58,-24.36841,0.608141,0.25,0.0,1.0,2.409954,19.93
runs/ref_full_ungated_32seed/seed59,59,-31.193098,1.200831,0.1,0.0,1.0,1.818919,23.51
runs/ref_full_ungated_32seed/seed60,60,-26.122875,0.671892,0.22,0.0,1.0,2.239176,19.86
runs/ref_full_ungated_32seed/seed61,61,-21.233721,0.489413,0.39,0.01,1.0,3.938938,23.05
