run_dir,alpha,c_upd,roles,notes,seed,eval_return_end_mean,I_R_short,learned_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_VarTD,wall_seconds
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed30,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,30,-23.230383,0.814886636022302,1,0.499215,0.41,0.0,0.072,0.156269,18.1
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed31,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,31,-24.024643,0.6541302190530335,1,0.483382,0.42,0.0,0.072,0.177541,20.4
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed32,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,32,-23.724422,0.7148942664165301,1,0.496734,0.38,0.0,0.072,0.138346,18.15
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed33,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,33,-23.61458,0.7371260373136398,1,0.499343,0.36,0.01,0.072,0.138085,20.25
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed34,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,34,-24.473688,0.5632445326808572,1,0.533876,0.33,0.0,0.072,0.155803,20.1
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed35,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,35,-24.13348,0.6321018578694364,1,0.529668,0.36,0.0,0.072,0.14357,18.59
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed36,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,36,-24.254642,0.607578944726598,1,0.493773,0.48,0.01,0.072,0.174441,20.53
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed37,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,37,-24.577011,0.5423321925522901,1,0.504139,0.32,0.0,0.072,0.168391,18.61
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed38,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,38,-23.577211,0.744689437894967,1,0.473264,0.52,0.01,0.072,0.144355,24.35
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed39,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,39,-23.896156,0.6801356955306735,1,0.52615,0.35,0.0,0.072,0.13554,17.74
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed40,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,40,-24.155107,0.6277246022732906,1,0.548547,0.34,0.0,0.072,0.146536,20.66
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed41,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,41,-24.115892,0.6356616290547604,1,0.498052,0.32,0.0,0.072,0.172976,17.53
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed42,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,42,-22.935356,0.8745994296027322,1,0.50189,0.43,0.0,0.072,0.171127,20.87
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed43,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,43,-24.220284,0.6145329257582883,1,0.508757,0.44,0.01,0.072,0.184761,17.84
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed44,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,44,-24.724226,0.5125362114829536,1,0.503841,0.34,0.0,0.072,0.181517,20.79
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed45,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,45,-23.599403,0.74019782758426,1,0.538676,0.31,0.0,0.072,0.146729,17.65
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed46,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,46,-25.179399,0.42041023185266574,0,0.522598,0.29,0.0,0.072,0.133613,21.34
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed47,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,47,-23.473396,0.7657013577041782,1,0.534536,0.4,0.0,0.072,0.154882,20.69
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed48,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,48,-24.88106,0.4807933666979233,0,0.575005,0.21,0.0,0.072,0.164719,17.56
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed49,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,49,-23.699579,0.7199224330959142,1,0.48879,0.33,0.01,0.072,0.154948,21.02
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed50,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,50,-23.484936,0.7633656879589746,1,0.488983,0.4,0.0,0.072,0.152483,17.99
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed51,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,51,-24.52771,0.5523106027869764,1,0.604514,0.2,0.0,0.072,0.160706,20.54
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed52,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,52,-22.876255,0.886561337541317,1,0.501142,0.36,0.0,0.072,0.167184,17.6
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed53,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,53,-24.192705,0.6201148526129647,1,0.501115,0.36,0.0,0.072,0.155722,20.69
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed54,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,54,-23.715162,0.71676846934899,1,0.508584,0.47,0.0,0.072,0.165359,17.87
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed55,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,55,-23.951023,0.669030739559263,1,0.491768,0.33,0.0,0.072,0.17494,20.68
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed56,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,56,-23.291889,0.8024379615553616,1,0.483795,0.44,0.0,0.072,0.180485,17.99
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed57,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,57,-23.709625,0.7178891455516929,1,0.510581,0.42,0.01,0.072,0.137555,20.62
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed58,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,58,-23.723019,0.7151782304245474,1,0.544892,0.31,0.0,0.072,0.18225,20.66
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed59,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,59,-24.239187,0.6107070015647367,1,0.508077,0.41,0.0,0.072,0.194796,17.79
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed60,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,60,-22.940517,0.8735548549445867,1,0.486397,0.41,0.0,0.072,0.159137,20.82
runs/stageB_completion_bridge_32seed/a0p0_c0p1_seed61,0.0,0.1,enabled_anchor,highest 8-seed P=1 point,61,-23.468754,0.7666408879431068,1,0.505043,0.38,0.0,0.072,0.138823,17.67
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed30,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,30,-24.588858,0.5399343867055463,1,0.653583,0.23,0.0,0.016,0.155645,17.76
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed31,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,31,-26.557138,0.14155899276367429,0,0.651541,0.21,0.0,0.016,0.162936,20.72
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed32,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,32,-24.095812,0.6397257753705046,1,0.518651,0.39,0.01,0.016,0.138574,17.75
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed33,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,33,-24.705679,0.5162900820864453,1,0.542162,0.4,0.01,0.016,0.139999,20.95
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed34,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,34,-25.282099,0.3996239855067039,0,0.608611,0.22,0.0,0.016,0.162229,20.14
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed35,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,35,-24.715258,0.5143513142797467,1,0.61005,0.29,0.0,0.016,0.130256,18.13
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed36,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,36,-24.668081,0.5238998317467711,1,0.616646,0.21,0.01,0.016,0.1668,20.2
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed37,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,37,-25.320045,0.39194380143811663,0,0.582328,0.43,0.0,0.016,0.185653,18.05
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed38,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,38,-22.378159,0.9873748347169581,1,0.548282,0.23,0.0,0.016,0.154376,20.78
runs/stageB_completion_bridge_32seed/a0p0_c0p5_seed39,0.0,0.5,boundary_proxy,closest current point above the 0.5 crossing,39,-23.465044,0.7673917835024403,1,0.591809,0.26,0.0,0.016,0.131383,17.79
