alpha,candidate_type,c_lo,c_hi,proposed_full_horizon_refine_c_values
0.0,in_domain,0.500,0.600,"0.520,0.540,0.560,0.580"
0.1,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.2,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.3,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.4,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.5,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.6,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.7,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.8,edge_censored,1.000,1.050,"0.900,0.950,1.000"
0.9,edge_censored,1.000,1.050,"0.900,0.950,1.000"
1.0,edge_censored,1.000,1.050,"0.900,0.950,1.000"
