alpha,c_upd,candidate_type,stageB_classification,n_seeds,successes_R_full_0p5,P_learn_R_full_0p5,bootstrap95_P_learn_lo,bootstrap95_P_learn_hi,mean_I_R_full,std_I_R_full,mean_eval_return_end_mean,std_eval_return_end_mean,bootstrap95_mean_return_lo,bootstrap95_mean_return_hi,mean_eval_dbar_post,mean_eval_occupied_post_mean,mean_eval_CSR_mean,mean_update_fraction,std_mean_update_fraction,mean_final_executed_updates,mean_final_energy,mean_final_VarTD,mean_wall_seconds
0.0,0.520,in_domain,in_domain_bracket_ready,32,23,0.71875,0.5625,0.875,0.5526303219642528,1.0412397355578697,-25.88770921875,2.5791008454695334,-26.82820390625,-25.079603625,0.6843533125,0.2390625,0.001875,0.003205,0.0,1.0,0.48,0.157271875,21.526875
0.0,0.540,in_domain,in_domain_bracket_ready,32,23,0.71875,0.5625,0.875,0.5526886093271085,1.0412759845710466,-25.88756484375,2.57919063253522,-26.85728028125,-25.0813655625,0.6843894375,0.2390625,0.001875,0.003205,0.0,1.0,0.46,0.15727190625,21.3709375
0.0,0.560,in_domain,in_domain_bracket_ready,32,23,0.71875,0.5625,0.875,0.5521533370448842,1.040946974753546,-25.8888906875,2.578375691009742,-26.84966965625,-25.09719709375,0.684416875,0.2390625,0.001875,0.003205,0.0,1.0,0.44,0.157271875,21.400625
0.0,0.580,in_domain,in_domain_bracket_ready,32,23,0.71875,0.5625,0.875,0.5521533370448842,1.040946974753546,-25.8888906875,2.578375691009742,-26.870104,-25.10008190625,0.684416875,0.2390625,0.001875,0.003205,0.0,1.0,0.42,0.157271875,21.376875
0.1,0.900,edge_censored,edge_censored_gt_1p0,32,31,0.96875,0.90625,1.0,1.2934333709333095,0.6185214521673759,-24.052775625,1.5320479479888842,-24.67026515625,-23.62560634375,0.56340359375,0.3296875,0.001875,0.012821,0.0,4.0,0.47624875,0.14790665625,21.4065625
0.1,0.950,edge_censored,edge_censored_gt_1p0,32,30,0.9375,0.84375,1.0,1.3299928702695902,0.4544517035583687,-23.9622195,1.125655056032307,-24.34382121875,-23.58773290625,0.5405916875,0.3446875,0.001875,0.012821,0.0,4.0,0.2531925625,0.147935,21.358125
0.1,1.000,edge_censored,edge_censored_gt_1p0,32,29,0.90625,0.8125,1.0,1.1030421915725463,0.9445818158584789,-24.5243654375,2.3396838179542883,-25.41341090625,-23.879457375,0.5842309375,0.32,0.00125,0.011819125,0.0015097986140007913,3.6875,0.34356021875,0.14927921875,21.4303125
0.2,0.900,edge_censored,edge_censored_gt_1p0,32,31,0.96875,0.90625,1.0,1.3745881657173826,0.3327403450469369,-23.85175909375,0.8241818631446994,-24.1412296875,-23.57150546875,0.51404884375,0.3746875,0.003125,0.025641,0.0,8.0,0.432078375,0.14866396875,21.4671875
0.2,0.950,edge_censored,edge_censored_gt_1p0,32,31,0.96875,0.90625,1.0,1.3011060695766419,0.3600308809695902,-24.03377071875,0.8917792106793873,-24.3478991875,-23.7503448125,0.53110159375,0.36375,0.001875,0.02323725,0.0014100120109303118,7.25,0.6476185625,0.148320125,21.5246875
0.2,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.336594633242793,0.25992449223409275,-23.94586725,0.6438204908882198,-24.164526156249998,-23.72517515625,0.5269090625,0.3459375,0.001875,0.02233584375,0.0005665693084257211,6.96875,0.42286406249999997,0.15029478125,21.4628125
0.3,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.3712468237172146,0.2926756432392302,-23.8600354375,0.7249435198726969,-24.1026376875,-23.6106779375,0.50608653125,0.371875,0.0034375,0.0398641875,0.0016153716927212636,12.4375,0.480430875,0.202656875,21.4178125
0.3,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.3670207754328718,0.2781487884629599,-23.87050315625,0.6889611978809046,-24.0997628125,-23.638350125,0.50561525,0.3821875,0.0034375,0.03715953125,0.0017950158052026785,11.59375,0.44926940625,0.187186375,21.44375
0.3,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.3064208551477794,0.28874740412285965,-24.02060625,0.7152134601369247,-24.257886625,-23.78165746875,0.5094181875,0.3815625,0.0046875,0.03455490625,0.0013461430772677197,10.78125,0.419489375,0.17162065625,21.5365625
0.4,0.900,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.428037778386502,0.32446633012295983,-23.719366968750002,0.8036875253307246,-24.00285009375,-23.45204825,0.497338875,0.3834375,0.00375,0.0550879375,0.0025008674100038476,17.1875,0.46090715625,0.393309875,21.560312500000002
0.4,0.950,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.38143189694431,0.2770948863402905,-23.8348075,0.6863507329103544,-24.06384565625,-23.58934078125,0.49784028125,0.38375,0.0053125,0.051282,0.0018203176787618424,16.0,0.57923421875,0.332728375,21.5503125
0.4,1.000,edge_censored,edge_censored_gt_1p0,32,32,1,1.0,1.0,1.3397479921895952,0.2511746958555042,-23.93805653125,0.6221476652486821,-24.1571333125,-23.721849,0.50574665625,0.38625,0.004375,0.0466748125,0.002144192056839336,14.5625,0.60337796875,0.27068053125,21.5871875
