run_dir,alpha,c_upd,candidate_type,stageB_classification,stageB_in_domain_bracket_lo,stageB_in_domain_bracket_hi_or_gateoff,seed,eval_return_end_mean,I_R_full,learned_R_full_0p5,eval_dbar_post,eval_occupied_post_mean,eval_CSR_mean,mean_update_fraction,final_executed_updates_mean,final_energy,final_VarTD,wall_seconds
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed30,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,30,-25.200226,0.8301824177456811,1,0.67245,0.18,0.0,0.003205,1.0,0.48,0.153091,25.97
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed31,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,31,-28.074459,-0.3302086596752796,0,0.778742,0.17,0.0,0.003205,1.0,0.48,0.163497,22.78
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed32,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,32,-23.693556,1.4384582341522976,1,0.522487,0.38,0.0,0.003205,1.0,0.48,0.18601,22.05
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed33,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,33,-25.313137,0.7845977637031318,1,0.67821,0.22,0.0,0.003205,1.0,0.48,0.163067,21.97
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed34,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,34,-25.095242,0.8725667675433364,1,0.635235,0.26,0.0,0.003205,1.0,0.48,0.170927,21.39
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed35,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,35,-25.02706,0.9000933405249688,1,0.63455,0.29,0.0,0.003205,1.0,0.48,0.156915,21.24
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed36,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,36,-29.639109,-0.9618922772827271,0,0.943182,0.12,0.0,0.003205,1.0,0.48,0.156775,21.88
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed37,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,37,-25.096781,0.8719454393948697,1,0.593634,0.34,0.0,0.003205,1.0,0.48,0.177303,21.68
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed38,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,38,-24.877289,0.96055918725918,1,0.68459,0.19,0.0,0.003205,1.0,0.48,0.151203,21.2
runs/stageC_subset_refine_full_32seed/a0p0_c0p52_seed39,0.0,0.520,in_domain,in_domain_bracket_ready,0.500,0.600,39,-25.976641,0.5167266059253467,1,0.706573,0.25,0.0,0.003205,1.0,0.48,0.131356,21.23
