condition,horizon_label,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_post,funding_z,funding_g,funding_income,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0
disabled_short,short,0.0,0.6,32,0,1.0,1,16,1.0,0.39999998,1.0896366,0.081351094,0.0,-27.649183,26.0,2.3972483,0.79908276,0.11,0.0,100,0.14627017,-0.00047311583,54.939728,1.6093731,27.453299,1.0
disabled_short,short,0.0,0.6,32,1,0.0,1,16,0.39999998,0.39999998,1.032696,0.09274787,0.0,-27.181986,26.000002,2.2719765,0.75732553,0.224,0.0,125,0.12728252,,,,,
disabled_short,short,0.0,0.6,32,2,0.0,1,16,0.39999998,0.39999998,0.96812916,0.1076145,0.0,-25.859322,26.000002,2.1299267,0.7099756,0.16800001,0.0,125,0.13966624,,,,,
disabled_short,short,0.0,0.6,32,3,0.0,1,16,0.39999998,0.39999998,0.97747767,0.10532278,0.0,-26.234444,26.000002,2.1504939,0.7168313,0.296,0.0,125,0.15139149,,,,,
disabled_short,short,0.0,0.6,32,4,0.0,1,16,0.39999998,0.39999998,1.0631022,0.08647643,0.0,-28.573265,26.000002,2.3388717,0.7796239,0.17600001,0.0,125,0.17896935,,,,,
disabled_short,short,0.0,0.6,32,5,0.0,1,16,0.39999998,0.39999998,1.0573081,0.08763788,0.0,-28.22383,26.000002,2.3261242,0.77537477,0.096,0.0,125,0.1796972,,,,,
disabled_short,short,0.0,0.6,32,6,0.0,1,16,0.39999998,0.39999998,1.0522563,0.08866326,0.0,-27.163889,26.000002,2.31501,0.77167004,0.096,0.0,125,0.16679008,,,,,
disabled_short,short,0.0,0.6,32,7,0.0,1,16,0.39999998,0.39999998,1.0577364,0.0875515,0.0,-27.68938,26.000002,2.3270667,0.7756889,0.104,0.0,125,0.15295088,,,,,
disabled_short,short,0.0,0.6,32,8,0.0,1,16,0.39999998,0.39999998,1.0063065,0.09855835,0.0,-26.877203,26.000002,2.2139184,0.73797286,0.16000001,0.0,125,0.1636968,,,,,
disabled_short,short,0.0,0.6,32,9,0.0,1,16,0.39999998,0.39999998,1.059772,0.08714208,0.0,-27.793196,26.000002,2.3315449,0.7771816,0.128,0.0,125,0.13959591,,,,,
disabled_short,short,0.0,0.6,32,10,0.0,1,16,0.39999998,0.39999998,1.0407195,0.091050096,0.0,-27.979042,26.000002,2.2896287,0.7632096,0.16800001,0.0,125,0.16920692,,,,,
disabled_short,short,0.0,0.6,32,11,0.0,1,16,0.39999998,0.39999998,1.0766861,0.08381347,0.0,-28.066284,26.000002,2.3687568,0.7895856,0.18400002,0.0,125,0.14015202,,,,,
disabled_short,short,0.0,0.6,32,12,0.0,1,16,0.39999998,0.39999998,1.0185889,0.09581005,0.0,-26.934145,26.000002,2.2409403,0.74698013,0.16800001,0.0,125,0.16786273,,,,,
disabled_short,short,0.0,0.6,32,13,0.0,1,16,0.39999998,0.39999998,1.0565708,0.08778679,0.0,-28.120693,26.0,2.3245022,0.7748341,0.17,0.0,100,0.15690964,,,,,
disabled_short,short,0.0,0.6,32,14,0.0,1,16,0.39999998,0.39999998,1.0533131,0.08844776,0.0,-27.095716,26.000002,2.3173351,0.7724451,0.128,0.0,125,0.1796831,,,,,
disabled_short,short,0.0,0.6,32,15,0.0,1,16,0.39999998,0.39999998,1.0636245,0.0863725,0.0,-28.031008,26.000002,2.3400207,0.7800069,0.128,0.0,125,0.15580826,,,,,
disabled_short,short,0.0,0.6,32,16,0.0,1,16,0.39999998,0.39999998,1.0560559,0.087890945,0.0,-27.679014,26.000002,2.3233695,0.7744565,0.104,0.0,125,0.17614296,,,,,
disabled_short,short,0.0,0.6,32,17,0.0,1,16,0.39999998,0.39999998,1.0640286,0.08629216,0.0,-27.262606,26.000002,2.3409097,0.78030324,0.16800001,0.0,125,0.13495758,,,,,
disabled_short,short,0.0,0.6,32,18,0.0,1,16,0.39999998,0.39999998,1.0447581,0.090207346,0.0,-27.909767,26.000002,2.2985137,0.7661712,0.16800001,0.0,125,0.20266019,,,,,
