condition,horizon_label,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_post,funding_z,funding_g,funding_income,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0
enabled_full,full,1.0,0.9,49,0,1.0,1,16,1.0,0.19271179,1.0328652,0.09271176,0.09271176,-27.297817,26.0,2.2723486,0.75744957,0.17999999,0.0,100,0.16603203,-0.0008407938,52.63091,1.6092911,26.298523,1.0
enabled_full,full,1.0,0.9,49,1,0.0,1,16,0.19271179,0.2957326,0.98707503,0.1030208,0.1030208,-26.107037,26.000002,2.1716084,0.7238695,0.16000001,0.0,125,0.15918753,,,,,
enabled_full,full,1.0,0.9,49,2,0.0,1,16,0.2957326,0.39230496,1.0151471,0.09657237,0.09657237,-26.696472,26.000002,2.2333682,0.74445605,0.16800001,0.0,125,0.15605912,,,,,
enabled_full,full,1.0,0.9,49,3,0.0,1,16,0.39230496,0.47696438,1.0723246,0.08465943,0.08465943,-28.266445,26.000002,2.3591614,0.78638715,0.16000001,0.0,125,0.15040734,,,,,
enabled_full,full,1.0,0.9,49,4,0.0,1,16,0.47696438,0.5662228,1.0493507,0.089258425,0.089258425,-27.94502,26.000002,2.3086178,0.7695393,0.2,0.0,125,0.16749924,,,,,
enabled_full,full,1.0,0.9,49,5,0.0,1,16,0.5662228,0.6505104,1.0742363,0.084287606,0.084287606,-27.958933,26.000002,2.363367,0.78778905,0.15200001,0.0,125,0.20982733,,,,,
enabled_full,full,1.0,0.9,49,6,0.0,1,16,0.6505104,0.7401028,1.0477284,0.08959248,0.08959248,-27.645096,26.000002,2.3050485,0.7683495,0.14400001,0.0,125,0.17023987,,,,,
enabled_full,full,1.0,0.9,49,7,0.0,1,16,0.7401028,0.82520497,1.0700597,0.08510211,0.08510211,-27.67993,26.000002,2.3541782,0.7847261,0.08800001,0.0,125,0.15233828,,,,,
enabled_full,full,1.0,0.9,49,8,0.0,1,16,0.82520497,0.91015583,1.0708321,0.08495089,0.08495089,-28.082134,26.000002,2.3558776,0.78529257,0.136,0.0,125,0.18352345,,,,,
enabled_full,full,1.0,0.9,49,9,1.0,2,32,0.91015583,0.09759713,1.0582834,0.08744127,0.08744127,-27.145067,26.000002,2.32827,0.77609,0.08800001,0.0,125,0.17073177,-0.00030528195,48.858757,1.6087191,24.412987,1.0
enabled_full,full,1.0,0.9,49,10,0.0,2,32,0.09759713,0.18671831,1.050019,0.089121185,0.089121185,-27.18726,26.000002,2.310088,0.7700293,0.16800001,0.0,125,0.16599225,,,,,
enabled_full,full,1.0,0.9,49,11,0.0,2,32,0.18671831,0.281143,1.0249144,0.094424695,0.094424695,-28.043146,26.000002,2.2548566,0.75161886,0.208,0.0,125,0.16127367,,,,,
enabled_full,full,1.0,0.9,49,12,0.0,2,32,0.281143,0.36966896,1.0529294,0.088525936,0.088525936,-27.046303,26.000002,2.316491,0.7721636,0.136,0.0,125,0.14209077,,,,,
enabled_full,full,1.0,0.9,49,13,0.0,2,32,0.36966896,0.46478742,1.0217351,0.09511848,0.09511848,-27.354198,26.0,2.247862,0.74928737,0.22999999,0.0,100,0.14919367,,,,,
enabled_full,full,1.0,0.9,49,14,0.0,2,32,0.46478742,0.5588727,1.0264783,0.0940853,0.0940853,-27.561422,26.000002,2.2582974,0.75276583,0.14400001,0.0,125,0.15989989,,,,,
enabled_full,full,1.0,0.9,49,15,0.0,2,32,0.5588727,0.6510611,1.0353236,0.092188425,0.092188425,-26.61128,26.000002,2.2777574,0.7592525,0.096,0.0,125,0.16265292,,,,,
enabled_full,full,1.0,0.9,49,16,0.0,2,32,0.6510611,0.74657154,1.0199491,0.09551045,0.09551045,-26.196404,26.000002,2.2439327,0.7479776,0.16000001,0.0,125,0.14199153,,,,,
enabled_full,full,1.0,0.9,49,17,0.0,2,32,0.74657154,0.84227294,1.0190817,0.095701404,0.095701404,-26.859415,26.000002,2.2420244,0.7473415,0.136,0.0,125,0.16207929,,,,,
enabled_full,full,1.0,0.9,49,18,0.0,2,32,0.84227294,0.9480414,0.975644,0.10576842,0.10576842,-27.536472,26.000002,2.1464596,0.7154865,0.17600001,0.0,125,0.16371708,,,,,
enabled_full,full,1.0,0.9,49,19,1.0,3,48,0.9480414,0.1478786,1.0007076,0.0998372,0.0998372,-26.479849,26.000002,2.2016008,0.73386693,0.2,0.0,125,0.14028023,-0.00024596637,43.4601,1.6083771,21.713718,1.0
enabled_full,full,1.0,0.9,49,20,0.0,3,48,0.1478786,0.24020992,1.0346509,0.09233132,0.09233132,-28.161858,26.000002,2.2762775,0.7587592,0.15200001,0.0,125,0.17424536,,,,,
enabled_full,full,1.0,0.9,49,21,0.0,3,48,0.24020992,0.3293022,1.0501599,0.08909227,0.08909227,-28.250221,26.000002,2.3103979,0.77013266,0.120000005,0.0,125,0.14594577,,,,,
enabled_full,full,1.0,0.9,49,22,0.0,3,48,0.3293022,0.42357165,1.025629,0.09426944,0.09426944,-27.039005,26.000002,2.256429,0.752143,0.14400001,0.0,125,0.14364663,,,,,
enabled_full,full,1.0,0.9,49,23,0.0,3,48,0.42357165,0.5238943,0.99860096,0.10032267,0.10032267,-27.292904,26.000002,2.196966,0.732322,0.16800001,0.008,125,0.15605828,,,,,
enabled_full,full,1.0,0.9,49,24,0.0,3,48,0.5238943,0.62209964,1.007865,0.09820531,0.09820531,-26.887554,26.000002,2.2173471,0.7391157,0.136,0.0,125,0.17923091,,,,,
enabled_full,full,1.0,0.9,49,25,0.0,3,48,0.62209964,0.7210282,1.0046782,0.09892858,0.09892858,-27.740257,26.000002,2.2103362,0.73677874,0.192,0.0,125,0.1805584,,,,,
enabled_full,full,1.0,0.9,49,26,0.0,3,48,0.7210282,0.81796753,1.0135,0.09693933,0.09693933,-27.405962,26.0,2.2297444,0.74324816,0.11,0.0,100,0.14740095,,,,,
enabled_full,full,1.0,0.9,49,27,0.0,3,48,0.81796753,0.9159002,1.0090725,0.097932644,0.097932644,-27.35185,26.000002,2.2200038,0.7400013,0.16000001,0.0,125,0.16394414,,,,,
enabled_full,full,1.0,0.9,49,28,1.0,4,64,0.9159002,0.09579713,1.0974699,0.079896934,0.079896934,-28.618694,26.000002,2.414482,0.8048274,0.14400001,0.0,125,0.16621302,-0.0002533353,54.01912,1.6078981,26.993229,1.0
enabled_full,full,1.0,0.9,49,29,0.0,4,64,0.09579713,0.1980339,0.99039286,0.10223676,0.10223676,-26.273943,26.000002,2.1789079,0.7263026,0.18400002,0.0,125,0.13978219,,,,,
enabled_full,full,1.0,0.9,49,30,0.0,4,64,0.1980339,0.28981566,1.0372436,0.091781765,0.091781765,-27.524343,26.000002,2.2819815,0.7606605,0.120000005,0.0,125,0.18125898,,,,,
enabled_full,full,1.0,0.9,49,31,0.0,4,64,0.28981566,0.38380727,1.0269109,0.0939916,0.0939916,-26.518044,26.000002,2.2592492,0.7530831,0.120000005,0.0,125,0.16440563,,,,,
enabled_full,full,1.0,0.9,49,32,0.0,4,64,0.38380727,0.49176377,0.9667511,0.107956514,0.107956514,-26.146431,26.000002,2.126895,0.708965,0.2,0.0,125,0.12242711,,,,,
enabled_full,full,1.0,0.9,49,33,0.0,4,64,0.49176377,0.5903693,1.0060987,0.09860553,0.09860553,-27.549438,26.000002,2.2134614,0.7378205,0.15200001,0.0,125,0.13052504,,,,,
enabled_full,full,1.0,0.9,49,34,0.0,4,64,0.5903693,0.68906546,1.0056998,0.09869615,0.09869615,-27.339846,26.000002,2.2125835,0.73752785,0.128,0.0,125,0.16165769,,,,,
enabled_full,full,1.0,0.9,49,35,0.0,4,64,0.68906546,0.76930285,1.0956233,0.080237366,0.080237366,-28.584412,26.000002,2.4104192,0.8034731,0.192,0.0,125,0.21307994,,,,,
enabled_full,full,1.0,0.9,49,36,0.0,4,64,0.76930285,0.86105967,1.0373615,0.09175684,0.09175684,-27.262358,26.000002,2.2822409,0.76074696,0.136,0.0,125,0.14767754,,,,,
enabled_full,full,1.0,0.9,49,37,0.0,4,64,0.86105967,0.95258814,1.0384439,0.09152845,0.09152845,-27.136658,26.000002,2.2846222,0.7615408,0.224,0.0,125,0.17404442,,,,,
enabled_full,full,1.0,0.9,49,38,1.0,5,80,0.95258814,0.14682974,1.0257574,0.094241574,0.094241574,-28.61239,26.000002,2.2567115,0.7522372,0.14400001,0.0,125,0.17831376,-0.00020868573,57.792713,1.6072979,28.880075,1.0
enabled_full,full,1.0,0.9,49,39,0.0,5,80,0.14682974,0.25052875,0.98422533,0.10369903,0.10369903,-26.362068,26.0,2.165339,0.7217797,0.14999999,0.0,100,0.1593518,,,,,
enabled_full,full,1.0,0.9,49,40,0.0,5,80,0.25052875,0.33442336,1.0762658,0.083894625,0.083894625,-28.415749,26.000002,2.3678322,0.78927743,0.136,0.0,125,0.14798142,,,,,
enabled_full,full,1.0,0.9,49,41,0.0,5,80,0.33442336,0.42565858,1.0398375,0.09123522,0.09123522,-27.43517,26.000002,2.2876883,0.76256275,0.08800001,0.0,125,0.15471424,,,,,
enabled_full,full,1.0,0.9,49,42,0.0,5,80,0.42565858,0.5286837,0.98705685,0.10302513,0.10302513,-25.805225,26.000002,2.1715684,0.72385615,0.18400002,0.0,125,0.13773702,,,,,
enabled_full,full,1.0,0.9,49,43,0.0,5,80,0.5286837,0.6252551,1.0151515,0.09657139,0.09657139,-27.505123,26.000002,2.233378,0.74445933,0.192,0.0,125,0.15587857,,,,,
enabled_full,full,1.0,0.9,49,44,0.0,5,80,0.6252551,0.732919,0.9679301,0.10766385,0.10766385,-26.41606,26.000002,2.1294887,0.70982957,0.16800001,0.0,125,0.14470421,,,,,
enabled_full,full,1.0,0.9,49,45,0.0,5,80,0.732919,0.8395809,0.9719906,0.10666193,0.10666193,-26.387749,26.000002,2.138422,0.71280736,0.16000001,0.0,125,0.1551355,,,,,
enabled_full,full,1.0,0.9,49,46,0.0,5,80,0.8395809,0.94130015,0.9925967,0.101719275,0.101719275,-26.700758,26.000002,2.1837564,0.7279188,0.16000001,0.0,125,0.1660725,,,,,
