condition,horizon_label,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_post,funding_z,funding_g,funding_income,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0
fragile_full,full,0.0,0.58,52,0,1.0,1,16,1.0,0.42000002,1.0538915,0.08833004,0.0,-26.992056,26.0,2.3186078,0.7728693,0.11,0.0,100,0.17894058,-0.0009352554,52.940056,1.6092724,26.453001,1.0
fragile_full,full,0.0,0.58,52,1,0.0,1,16,0.42000002,0.42000002,1.0726534,0.08459537,0.0,-27.706867,26.000002,2.3598845,0.7866282,0.2,0.0,125,0.16503273,,,,,
fragile_full,full,0.0,0.58,52,2,0.0,1,16,0.42000002,0.42000002,1.0504526,0.08903226,0.0,-27.475306,26.000002,2.3110418,0.7703473,0.16000001,0.0,125,0.18851225,,,,,
fragile_full,full,0.0,0.58,52,3,0.0,1,16,0.42000002,0.42000002,1.0389229,0.09142756,0.0,-27.232668,26.000002,2.285676,0.761892,0.18400002,0.0,125,0.18302497,,,,,
fragile_full,full,0.0,0.58,52,4,0.0,1,16,0.42000002,0.42000002,0.968158,0.10760737,0.0,-26.716658,26.000002,2.12999,0.7099967,0.14400001,0.0,125,0.18071365,,,,,
fragile_full,full,0.0,0.58,52,5,0.0,1,16,0.42000002,0.42000002,0.99794877,0.10047342,0.0,-26.402058,26.000002,2.1955311,0.7318437,0.17600001,0.0,125,0.18449563,,,,,
fragile_full,full,0.0,0.58,52,6,0.0,1,16,0.42000002,0.42000002,0.9745571,0.10603345,0.0,-26.484488,26.000002,2.1440685,0.7146895,0.2,0.0,125,0.17024255,,,,,
fragile_full,full,0.0,0.58,52,7,0.0,1,16,0.42000002,0.42000002,0.9939391,0.10140537,0.0,-26.796774,26.000002,2.1867096,0.72890323,0.192,0.008,125,0.17882498,,,,,
fragile_full,full,0.0,0.58,52,8,0.0,1,16,0.42000002,0.42000002,1.0198331,0.09553596,0.0,-27.72282,26.000002,2.2436776,0.74789256,0.136,0.0,125,0.16729067,,,,,
fragile_full,full,0.0,0.58,52,9,0.0,1,16,0.42000002,0.42000002,1.0687276,0.08536352,0.0,-28.185213,26.000002,2.3512478,0.7837493,0.104,0.0,125,0.18217331,,,,,
