condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,30,24.46357999599968,none,0.0,0.0,0.0,4000000,100.0,-23.752553939819336,26.0,0.0,0.0,0.4998038411140442,0.5091925263404846,0.38999998569488525,0.32999998331069946,0.6991784572601318,0.7206898927688599,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.5600335001945496,0.0,0.0,0.0,0.32493266463279724,-25.142152786254883,1.4146394682580312,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,31,11.054973995998807,none,0.0,0.0,0.0,4000000,100.0,-24.21120262145996,26.0,0.0,0.0,0.4869272708892822,0.48785603046417236,0.5,0.5299999713897705,0.7127525210380554,0.7143881916999817,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.04117802903056145,0.0,0.0,0.0,0.26264315843582153,-26.162607192993164,1.2294729080499103,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,32,10.996664379999856,none,0.0,0.0,0.0,4000000,100.0,-23.924747467041016,26.0,0.009999999776482582,0.009999999776482582,0.4707368016242981,0.4759577512741089,0.5,0.5,0.6816264390945435,0.6914376616477966,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.30298885703086853,0.0,0.0,0.0,0.3292314112186432,-24.396347045898438,1.345121154127729,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,33,11.265826073999051,none,0.0,0.0,0.0,4000000,100.0,-24.312458038330078,26.0,0.0,0.0,0.5041499137878418,0.5065579414367676,0.41999998688697815,0.4099999964237213,0.7390927076339722,0.7490959763526917,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.6574286818504333,0.0,0.0,0.0,0.2748132646083832,-24.344640731811523,1.1885938692675206,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,34,11.828379395999946,none,0.0,0.0,0.0,4000000,100.0,-24.53076171875,26.0,0.0,0.0,0.5282793641090393,0.5312002897262573,0.35999998450279236,0.3999999761581421,0.7873860597610474,0.7879495620727539,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.16982656717300415,0.0,0.0,0.0,0.29143479466438293,-24.28743553161621,1.100459872153357,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,35,11.626959630000783,none,0.0,0.0,0.0,4000000,100.0,-24.287137985229492,26.0,0.0,0.019999999552965164,0.5038602352142334,0.5031789541244507,0.3400000035762787,0.3700000047683716,0.6949024796485901,0.6949123740196228,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.9004358649253845,0.0,0.0,0.0,0.2900407612323761,-25.307764053344727,1.198816131588545,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,36,10.999613292000504,none,0.0,0.0,0.0,4000000,100.0,-23.865509033203125,26.0,0.0,0.009999999776482582,0.48754072189331055,0.49031585454940796,0.4599999785423279,0.41999998688697815,0.7134640216827393,0.7136573791503906,4.0,104.0,4.0,4.0,0.01119999960064888,14.0,0.9524760246276855,0.0,0.0,0.0,0.26650702953338623,-26.632732391357422,1.3690370127466651,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,37,11.133385698998609,none,0.0,0.0,0.0,4000000,100.0,-23.45989227294922,26.0,0.0,0.009999999776482582,0.48742300271987915,0.489383339881897,0.3700000047683716,0.3700000047683716,0.6919847726821899,0.6880762577056885,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.7595898509025574,0.0,0.0,0.0,0.3035563826560974,-25.389280319213867,1.5327934199172144,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,38,11.186023356000078,none,0.0,0.0,0.0,4000000,100.0,-23.146867752075195,26.0,0.0,0.0,0.4902157485485077,0.4805251359939575,0.5199999809265137,0.5299999713897705,0.7291156053543091,0.7192801237106323,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.542090117931366,0.0,0.0,0.0,0.33724167943000793,-25.26658058166504,1.659168303594421,1.0
anchor_edge_full_probe__base__t4m__a0p10__c1p00,baseline_4m,base,long4m,0.1,1.0,39,11.13202680500035,none,0.0,0.0,0.0,4000000,100.0,-24.22138786315918,26.0,0.0,0.0,0.4947649836540222,0.48827052116394043,0.38999998569488525,0.35999998450279236,0.6997895836830139,0.6898937225341797,4.0,104.0,4.0,4.0,0.012000000104308128,15.0,0.48428964614868164,0.0,0.0,0.0,0.3216775953769684,-24.790618896484375,1.2253609019637128,1.0
