condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,0,1.0,1,16,1.0,0.19187543,0.19187543,1.0368007,0.091875404,0.091875404,0.0,0.0,0.0,0.0,-27.319387,26.0,2.281007,0.7603357,0.14,0.0,100,0.12762055,-0.000748994,51.936684,1.6093044,25.9515,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,1,0.0,1,16,0.19187543,0.28383812,0.28383812,1.0363883,0.091962695,0.091962695,0.0,0.0,0.0,0.0,-28.185514,26.000002,2.2800999,0.7600333,0.120000005,0.0,125,0.17928098,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,2,0.0,1,16,0.28383812,0.37291238,0.37291238,1.0502478,0.08907426,0.08907426,0.0,0.0,0.0,0.0,-27.619976,26.000002,2.3105912,0.7701971,0.16000001,0.0,125,0.16024172,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,3,0.0,1,16,0.37291238,0.4810558,0.4810558,0.9659999,0.10814341,0.10814341,0.0,0.0,0.0,0.0,-25.936377,26.000002,2.1252422,0.7084141,0.15200001,0.0,125,0.12311525,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,4,0.0,1,16,0.4810558,0.5635859,0.5635859,1.0833879,0.08253006,0.08253006,0.0,0.0,0.0,0.0,-28.551205,26.000002,2.3835008,0.7945003,0.15200001,0.0,125,0.14711931,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,5,0.0,1,16,0.5635859,0.6465759,0.6465759,1.0809739,0.08299006,0.08299006,0.0,0.0,0.0,0.0,-26.987247,26.000002,2.37819,0.79273003,0.104,0.0,125,0.1561828,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,6,0.0,1,16,0.6465759,0.73890215,0.73890215,1.0346749,0.09232623,0.09232623,0.0,0.0,0.0,0.0,-26.492104,26.000002,2.2763302,0.7587768,0.096,0.0,125,0.129972,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,7,0.0,1,16,0.73890215,0.84076715,0.84076715,0.9919749,0.101865016,0.101865016,0.0,0.0,0.0,0.0,-28.154287,26.000002,2.1823883,0.72746277,0.136,0.0,125,0.14486702,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,8,0.0,1,16,0.84076715,0.93783927,0.93783927,1.0129054,0.09707213,0.09707213,0.0,0.0,0.0,0.0,-27.115208,26.000002,2.2284362,0.7428121,0.208,0.0,125,0.14817947,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,9,1.0,2,32,0.93783927,0.13718486,0.13718486,1.0028515,0.099345565,0.099345565,0.0,0.0,0.0,0.0,-27.431822,26.000002,2.2063174,0.7354392,0.14400001,0.0,125,0.14705636,-0.00031638908,49.813507,1.6087391,24.890348,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,10,0.0,2,32,0.13718486,0.24318856,0.24318856,0.97467893,0.106003694,0.106003694,0.0,0.0,0.0,0.0,-27.493597,26.000002,2.1443365,0.71477884,0.16800001,0.0,125,0.15659833,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,11,0.0,2,32,0.24318856,0.3509064,0.3509064,0.96771234,0.10771784,0.10771784,0.0,0.0,0.0,0.0,-25.434431,26.000002,2.1290097,0.70966995,0.216,0.0,125,0.13747108,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,12,0.0,2,32,0.3509064,0.4392853,0.4392853,1.0536513,0.088378906,0.088378906,0.0,0.0,0.0,0.0,-27.984201,26.000002,2.3180792,0.7726931,0.14400001,0.0,125,0.21509863,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,13,0.0,2,32,0.4392853,0.55333203,0.55333203,0.9429171,0.114046745,0.114046745,0.0,0.0,0.0,0.0,-25.955706,26.0,2.074459,0.69148636,0.19999999,0.0,100,0.13589902,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,14,0.0,2,32,0.55333203,0.6386334,0.6386334,1.0690442,0.08530133,0.08530133,0.0,0.0,0.0,0.0,-28.240688,26.000002,2.3519442,0.78398144,0.080000006,0.0,125,0.15176733,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,15,0.0,2,32,0.6386334,0.72827744,0.72827744,1.0474783,0.0896441,0.0896441,0.0,0.0,0.0,0.0,-28.610199,26.000002,2.3044982,0.76816607,0.2,0.0,125,0.21936981,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,16,0.0,2,32,0.72827744,0.81680506,0.81680506,1.0529212,0.08852763,0.08852763,0.0,0.0,0.0,0.0,-28.469614,26.000002,2.3164728,0.7721576,0.15200001,0.0,125,0.18149163,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,17,0.0,2,32,0.81680506,0.9093905,0.9093905,1.0334572,0.09258546,0.09258546,0.0,0.0,0.0,0.0,-27.384132,26.000002,2.2736511,0.7578837,0.17600001,0.0,125,0.14528,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,18,1.0,3,48,0.9093905,0.08961884,0.08961884,1.0956724,0.08022831,0.08022831,0.0,0.0,0.0,0.0,-27.978334,26.000002,2.4105275,0.8035092,0.104,0.0,125,0.15215686,-0.0002750077,51.467026,1.6082296,25.717155,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,19,0.0,3,48,0.08961884,0.18408367,0.18408367,1.0247298,0.09446484,0.09446484,0.0,0.0,0.0,0.0,-27.903976,26.000002,2.2544506,0.75148356,0.15200001,0.008,125,0.14390399,,,,,,-22.844904,0.0,0.5492002,1
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,20,0.0,3,48,0.18408367,0.27332857,0.27332857,1.0494167,0.089244895,0.089244895,0.0,0.0,0.0,0.0,-27.79809,26.000002,2.3087628,0.76958764,0.120000005,0.0,125,0.1260386,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,21,0.0,3,48,0.27332857,0.37770486,0.37770486,0.9813981,0.104376286,0.104376286,0.0,0.0,0.0,0.0,-27.350422,26.000002,2.159119,0.7197063,0.216,0.0,125,0.1259036,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,22,0.0,3,48,0.37770486,0.47529587,0.47529587,1.0105902,0.09759101,0.09759101,0.0,0.0,0.0,0.0,-27.341166,26.000002,2.223343,0.7411143,0.208,0.0,125,0.1788388,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,23,0.0,3,48,0.47529587,0.58627915,0.58627915,0.95474255,0.11098325,0.11098325,0.0,0.0,0.0,0.0,-25.741463,26.000002,2.1004755,0.70015854,0.216,0.0,125,0.13451155,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,24,0.0,3,48,0.58627915,0.6796192,0.6796192,1.029932,0.09334003,0.09334003,0.0,0.0,0.0,0.0,-27.781311,26.000002,2.2658956,0.75529855,0.16800001,0.0,125,0.13891935,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,25,0.0,3,48,0.6796192,0.7799977,0.7799977,0.99835914,0.10037853,0.10037853,0.0,0.0,0.0,0.0,-26.7511,26.000002,2.196434,0.7321447,0.15200001,0.0,125,0.13177575,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,26,0.0,3,48,0.7799977,0.8755134,0.8755134,1.0199254,0.09551567,0.09551567,0.0,0.0,0.0,0.0,-27.715109,26.0,2.2438805,0.7479602,0.12,0.0,100,0.13676892,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,27,0.0,3,48,0.8755134,0.97349304,0.97349304,1.0088639,0.09797968,0.09797968,0.0,0.0,0.0,0.0,-27.221903,26.000002,2.219545,0.7398483,0.2,0.0,125,0.14718093,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,28,1.0,4,64,0.97349304,0.17397031,0.17397031,0.9979322,0.100477256,0.100477256,0.0,0.0,0.0,0.0,-27.100208,26.000002,2.1954947,0.73183155,0.14400001,0.0,125,0.14445935,-0.0002390155,48.257706,1.6077769,24.112535,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,29,0.0,4,64,0.17397031,0.2763483,0.2763483,0.9897934,0.10237799,0.10237799,0.0,0.0,0.0,0.0,-26.777426,26.000002,2.177589,0.725863,0.17600001,0.0,125,0.13721561,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,30,0.0,4,64,0.2763483,0.37747586,0.37747586,0.9951304,0.10112757,0.10112757,0.0,0.0,0.0,0.0,-26.631338,26.000002,2.1893306,0.72977686,0.16000001,0.0,125,0.12968095,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,31,0.0,4,64,0.37747586,0.46688592,0.46688592,1.0486137,0.08941005,0.08941005,0.0,0.0,0.0,0.0,-26.850027,26.000002,2.306996,0.76899874,0.2,0.0,125,0.1405541,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,32,0.0,4,64,0.46688592,0.56321174,0.56321174,1.0162574,0.09632579,0.09632579,0.0,0.0,0.0,0.0,-27.41797,26.000002,2.235811,0.7452704,0.16000001,0.0,125,0.15726094,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,33,0.0,4,64,0.56321174,0.66126055,0.66126055,1.0085577,0.0980488,0.0980488,0.0,0.0,0.0,0.0,-26.939342,26.000002,2.218871,0.7396237,0.136,0.0,125,0.13009025,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,34,0.0,4,64,0.66126055,0.7577925,0.7577925,1.015329,0.09653192,0.09653192,0.0,0.0,0.0,0.0,-26.659622,26.000002,2.2337685,0.7445895,0.208,0.0,125,0.12908335,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,35,0.0,4,64,0.7577925,0.85570997,0.85570997,1.0091397,0.09791751,0.09791751,0.0,0.0,0.0,0.0,-26.980015,26.000002,2.2201517,0.74005055,0.136,0.0,125,0.14946146,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,36,0.0,4,64,0.85570997,0.95380557,0.95380557,1.0083506,0.098095566,0.098095566,0.0,0.0,0.0,0.0,-26.825922,26.000002,2.2184157,0.7394719,0.18400002,0.0,125,0.13724208,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,37,1.0,5,80,0.95380557,0.14986147,0.14986147,1.0174761,0.09605588,0.09605588,0.0,0.0,0.0,0.0,-27.49244,26.000002,2.238492,0.746164,0.208,0.0,125,0.14482218,-0.00034254388,51.33452,1.6071131,25.650845,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,38,0.0,5,80,0.14986147,0.24870884,0.24870884,1.0050348,0.09884738,0.09884738,0.0,0.0,0.0,0.0,-27.27178,26.000002,2.2111206,0.7370402,0.14400001,0.0,125,0.13515583,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,39,0.0,5,80,0.24870884,0.33959976,0.33959976,1.0414795,0.09089092,0.09089092,0.0,0.0,0.0,0.0,-27.989714,26.0,2.2913005,0.7637669,0.24,0.0,100,0.21489286,,,,,,-22.795567,0.0,0.51396495,1
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,40,0.0,5,80,0.33959976,0.43472993,0.43472993,1.0216818,0.09513016,0.09513016,0.0,0.0,0.0,0.0,-27.041702,26.000002,2.2477448,0.74924827,0.15200001,0.0,125,0.13401566,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,41,0.0,5,80,0.43472993,0.5418758,0.5418758,0.97002465,0.107145846,0.107145846,0.0,0.0,0.0,0.0,-26.459764,26.000002,2.1340969,0.71136564,0.16000001,0.0,125,0.12705931,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,42,0.0,5,80,0.5418758,0.64403945,0.64403945,0.99070346,0.102163695,0.102163695,0.0,0.0,0.0,0.0,-27.258352,26.000002,2.1795912,0.72653043,0.16800001,0.0,125,0.13323463,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,43,0.0,5,80,0.64403945,0.75139624,0.75139624,0.9691704,0.107356794,0.107356794,0.0,0.0,0.0,0.0,-26.727388,26.000002,2.1322174,0.71073914,0.17600001,0.0,125,0.11436258,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,44,0.0,5,80,0.75139624,0.8472554,0.8472554,1.0183665,0.095859155,0.095859155,0.0,0.0,0.0,0.0,-27.154844,26.000002,2.2404509,0.746817,0.17600001,0.0,125,0.16400976,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,45,0.0,5,80,0.8472554,0.9567375,0.9567375,0.96065694,0.10948208,0.10948208,0.0,0.0,0.0,0.0,-27.217995,26.000002,2.1134875,0.70449585,0.136,0.0,125,0.14328206,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,46,1.0,6,96,0.9567375,0.15198699,0.15198699,1.0211376,0.09524944,0.09524944,0.0,0.0,0.0,0.0,-28.006214,26.000002,2.2465475,0.74884915,0.112,0.0,125,0.16893627,-0.0004945463,50.285683,1.6060612,25.126286,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,47,0.0,6,96,0.15198699,0.27331302,0.27331302,0.916046,0.12132602,0.12132602,0.0,0.0,0.0,0.0,-26.547146,26.000002,2.0153415,0.6717805,0.23200001,0.0,125,0.1510608,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,48,0.0,6,96,0.27331302,0.3776734,0.3776734,0.98146427,0.10436039,0.10436039,0.0,0.0,0.0,0.0,-26.589611,26.000002,2.1592646,0.7197549,0.14400001,0.0,125,0.11989014,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,49,0.0,6,96,0.3776734,0.49079978,0.49079978,0.946436,0.1131264,0.1131264,0.0,0.0,0.0,0.0,-27.206047,26.000002,2.0822008,0.69406694,0.16800001,0.0,125,0.120862655,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,50,0.0,6,96,0.49079978,0.6027969,0.6027969,0.9507931,0.11199714,0.11199714,0.0,0.0,0.0,0.0,-26.140762,26.000002,2.0917866,0.6972622,0.17600001,0.0,125,0.13184306,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,51,0.0,6,96,0.6027969,0.71761525,0.71761525,0.9399886,0.11481836,0.11481836,0.0,0.0,0.0,0.0,-25.827024,26.000002,2.0680163,0.6893388,0.16000001,0.0,125,0.11538703,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,52,0.0,6,96,0.71761525,0.8355428,0.8355428,0.9283846,0.11792757,0.11792757,0.0,0.0,0.0,0.0,-26.199654,26.0,2.042487,0.680829,0.24,0.0,100,0.11855161,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,53,0.0,6,96,0.8355428,0.93853676,0.93853676,0.9871883,0.10299394,0.10299394,0.0,0.0,0.0,0.0,-27.133448,26.000002,2.1718576,0.72395253,0.18400002,0.0,125,0.17148094,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,54,1.0,7,112,0.93853676,0.14113523,0.14113523,0.98885924,0.10259844,0.10259844,0.0,0.0,0.0,0.0,-26.623787,26.000002,2.1755338,0.72517794,0.16800001,0.0,125,0.17302309,-0.00030947936,49.91175,1.6045358,24.93952,1.0,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,55,0.0,7,112,0.14113523,0.24671416,0.24671416,0.9764227,0.10557893,0.10557893,0.0,0.0,0.0,0.0,-26.45463,26.000002,2.1481729,0.71605766,0.120000005,0.0,125,0.14069453,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,56,0.0,7,112,0.24671416,0.35543147,0.35543147,0.96370137,0.1087173,0.1087173,0.0,0.0,0.0,0.0,-26.236568,26.000002,2.1201854,0.70672846,0.104,0.0,125,0.1559162,,,,,,,,,0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,61,57,0.0,7,112,0.35543147,0.46604282,0.46604282,0.95620036,0.11061134,0.11061134,0.0,0.0,0.0,0.0,-26.744225,26.000002,2.1036828,0.7012276,0.15200001,0.0,125,0.1475197,,,,,,,,,0
