condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,30,24.20450034299938,none,0.0,0.0,0.0,4000000,100.0,-23.679428100585938,26.0,0.0,0.0,0.5990906953811646,0.5958532094955444,0.23999999463558197,0.25,0.8516521453857422,0.851387083530426,4.0,104.0,4.0,4.0,0.15600000321865082,195.0,0.19352997839450836,0.0,0.0,0.0,2.7148849964141846,-23.902427673339844,1.4441619778720238,1.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,31,12.04666079100025,none,0.0,0.0,0.0,4000000,100.0,-30.419057846069336,26.0,0.0,0.0,1.1509076356887817,1.086276888847351,0.07000000029802322,0.07999999821186066,1.5005323886871338,1.4337809085845947,4.0,104.0,4.0,4.0,0.14800000190734863,185.0,0.9270102977752686,0.0,0.0,0.0,1.276880145072937,-26.7275333404541,-1.2767747804839742,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,32,11.543353509001463,none,0.0,0.0,0.0,4000000,100.0,-21.11785125732422,26.0,0.0,0.0,0.4776073098182678,0.4800512194633484,0.47999998927116394,0.4899999797344208,0.6857673525810242,0.6862183809280396,4.0,104.0,4.0,4.0,0.20239999890327454,253.0,0.4998810887336731,0.0,0.0,0.0,3.550264596939087,-21.089752197265625,2.4783268883191063,1.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,33,11.069285001000026,none,0.0,0.0,0.0,4000000,100.0,-26.322509765625,26.0,0.0,0.0,0.814527153968811,0.7857568264007568,0.09999999403953552,0.14999999105930328,1.1464130878448486,1.1132762432098389,4.0,104.0,4.0,4.0,0.1703999936580658,213.0,0.638974130153656,0.0,0.0,0.0,2.5099472999572754,-24.78862953186035,0.3770917782722474,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,34,11.92601984400062,none,0.0,0.0,0.0,4000000,100.0,-29.27618980407715,26.0,0.009999999776482582,0.009999999776482582,0.9999196529388428,0.9530409574508667,0.20999999344348907,0.19999998807907104,1.3644860982894897,1.311564326286316,4.0,104.0,4.0,4.0,0.15520000457763672,194.0,0.31489625573158264,0.0,0.0,0.0,1.1997640132904053,-25.628055572509766,-0.8153738159145402,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,35,12.257116544000382,none,0.0,0.0,0.0,4000000,100.0,-28.536447525024414,26.0,0.0,0.0,0.8709601163864136,0.8468145132064819,0.17999999225139618,0.14999999105930328,1.2025227546691895,1.171714425086975,4.0,104.0,4.0,4.0,0.14720000326633453,184.0,0.5374090075492859,0.0,0.0,0.0,1.9050285816192627,-25.924848556518555,-0.5167235881133009,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,36,11.393499218000215,none,0.0,0.0,0.0,4000000,100.0,-27.185585021972656,26.0,0.0,0.0,0.7241740226745605,0.7135245203971863,0.12999999523162842,0.10999999940395355,0.9829833507537842,0.9667391777038574,4.0,104.0,4.0,4.0,0.15039999783039093,188.0,0.8320515155792236,0.0,0.0,0.0,1.7473657131195068,-25.584903717041016,0.02864931497555968,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,37,11.278544404000058,none,0.0,0.0,0.0,4000000,100.0,-27.507057189941406,26.0,0.0,0.0,0.7058130502700806,0.7018548846244812,0.19999998807907104,0.20999999344348907,1.0041061639785767,1.0039328336715698,4.0,104.0,4.0,4.0,0.14560000598430634,182.0,0.2431383728981018,0.0,0.0,0.0,1.8547002077102661,-26.561599731445312,-0.10113606962969322,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,38,11.595246836001024,none,0.0,0.0,0.0,4000000,100.0,-30.311689376831055,26.0,0.0,0.0,1.0812718868255615,1.049849033355713,0.08999999612569809,0.11999999731779099,1.4470527172088623,1.4106725454330444,4.0,104.0,4.0,4.0,0.14319999516010284,179.0,0.8369637727737427,0.0,0.0,0.0,1.5977592468261719,-26.157367706298828,-1.2334277680112733,0.0
anchor_enabled_full_probe__base__t4m__a1p00__c0p90,baseline_4m,base,long4m,1.0,0.9,39,12.175607203000254,none,0.0,0.0,0.0,4000000,100.0,-26.23701286315918,26.0,0.0,0.0,0.873995304107666,0.8435788154602051,0.14000000059604645,0.17999999225139618,1.1947118043899536,1.1596723794937134,4.0,104.0,4.0,4.0,0.17599999904632568,220.0,0.1592193841934204,0.0,0.0,0.0,3.450850486755371,-22.934457778930664,0.4116087581999248,0.0
