condition,phase,family,metric_horizon,authoritative_source,comparison_kind,stage_d_seed_match_available,stage_d_seed_exact_match,stage_d_seed_match_condition,stage_d_eval_return_end_mean_max_abs_diff,stage_d_eval_dbar_post_mean_max_abs_diff,stage_d_eval_CSR_post_max_abs_diff,stage_d_mean_update_fraction_max_abs_diff,stage_d_final_executed_updates_max_abs_diff,stage_d_final_energy_max_abs_diff,stage_d_final_vartd_max_abs_diff,eval_return_end_mean_measured,eval_return_end_mean_reference,eval_return_end_mean_diff,mean_update_fraction_measured,mean_update_fraction_reference,mean_update_fraction_diff,final_executed_updates_measured,final_executed_updates_reference,final_executed_updates_diff,final_energy_measured,final_energy_reference,final_energy_diff,final_vartd_measured,final_vartd_reference,final_vartd_diff,learned_R_full_0p5_measured,learned_R_full_0p5_reference,learned_R_full_0p5_diff,baseline_return_tol,baseline_learn_prob_tol,baseline_return_pass,baseline_learn_prob_pass,baseline_reproduction_pass,note
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,stageC_subset_refine_by_point,baseline_reproduction,1,0,fragile_full,10.399011611938477,0.6884475350379946,0.019999999552965164,2.0816681711721685e-17,0.0,5.551115123125783e-17,0.08099302649497987,-25.88889068365097,-25.8888906875,3.8490313158945355e-09,0.0032051282469183207,0.003205,1.282469183207062e-07,1.0,1.0,0.0,0.42000001668930054,0.42,1.6689300552652497e-08,0.15727191790938377,0.157271875,4.290938376838582e-08,0.71875,0.71875,0.0,0.35,0.1,1.0,1.0,1.0,
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-25.082221686840057,-25.8888906875,0.8066690006599444,0.006410256493836641,0.003205,0.0032052564938366414,2.0,1.0,1.0,0.440000057220459,0.42,0.020000057220459,0.15278956503607333,0.157271875,-0.004482309963926678,0.8125,0.71875,0.09375,,,,,,
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-24.982830822467804,-25.8888906875,0.9060598650321978,0.006410256493836641,0.003205,0.0032052564938366414,2.0,1.0,1.0,-0.6000000238418579,0.42,-1.0200000238418578,0.15202427050098777,0.157271875,-0.005247604499012237,0.84375,0.71875,0.125,,,,,,
fragile_full__base__t4m__a0p00__c0p58,extension_full,base,long4m,none,new_long_horizon_fact,1,0,fragile_full,10.399011611938477,0.6884475350379946,0.019999999552965164,0.0024051282671279997,0.0,5.551115123125783e-17,0.06850583106279365,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
fragile_full__borrow__t4m__a0p00__c0p58,extension_full,borrow,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
edge_full__base__t1m__a0p10__c1p00,extension_full,base,full,stageC_subset_refine_by_point,baseline_reproduction,0,0,,,,,,,,,-24.524365484714508,-24.5243654375,-4.7214509635296054e-08,0.011818910483270884,0.011819125,-2.1451672911620978e-07,3.6875,3.6875,0.0,0.34356025952729397,0.34356021875,4.0777293985883034e-08,0.14927926380187273,0.14927921875,4.505187273240452e-08,0.90625,0.90625,0.0,0.35,0.1,1.0,1.0,1.0,
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-24.124398410320282,-24.5243654375,0.39996702717971644,0.012820512987673283,0.011819125,0.0010013879876732829,4.0,3.6875,0.3125,0.7097182124853134,0.34356021875,0.36615799373531344,0.14852535561658442,0.14927921875,-0.0007538631334155776,0.9375,0.90625,0.03125,,,,,,
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-24.817089021205902,-24.5243654375,-0.2927235837059037,0.006410256493836641,0.011819125,-0.0054088685061633585,2.0,3.6875,-1.6875,-0.6000000238418579,0.34356021875,-0.9435602425918579,0.1538806026801467,0.14927921875,0.004601383930146696,0.8125,0.90625,-0.09375,,,,,,
edge_full__base__t4m__a0p10__c1p00,extension_full,base,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,stageC_subset_refine_by_point,baseline_reproduction,1,0,enabled_full,2.4284706115722656,0.05201733112335205,0.0399999991059303,0.016025632619857788,5.0,0.7927703112363815,0.6686196327209473,-23.265288412570953,-23.20798421875,-0.0573041938209542,0.16406250139698386,0.164062625,-1.2360301612779345e-07,51.1875,51.1875,0.0,0.6291862879879773,0.5910030625,0.03818322548797726,5.117909863591194,5.123532,-0.005622136408805822,1.0,1.0,0.0,0.35,0.1,1.0,1.0,1.0,
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-22.96612322330475,-23.20798421875,0.24186099544525064,0.1676682699471712,0.164062625,0.0036056449471712215,52.3125,51.1875,1.125,0.5951628903858364,0.5910030625,0.0041598278858363535,5.190867975354195,5.123532,0.06733597535419467,1.0,1.0,0.0,,,,,,
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,stageC_subset_refine_by_point,intervention_at_authoritative_anchor,0,0,,,,,,,,,-23.28225988149643,-23.20798421875,-0.07427566274643027,0.16686698840931058,0.164062625,0.0028043634093105896,52.0625,51.1875,0.875,-0.022623449156526476,0.5910030625,-0.6136265116565265,5.143918663263321,5.123532,0.020386663263320948,1.0,1.0,0.0,,,,,,
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,none,new_long_horizon_fact,1,0,enabled_full,8.196643829345703,0.9285480976104736,0.0399999991059303,0.03893846273422244,202.0,0.7927703112363815,4.097766637802124,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,none,new_long_horizon_fact,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No matched authoritative short/full baseline row exists for this condition.
