condition,phase,family,metric_horizon,alpha,c_upd,total_timesteps,checkpoint_behavior_class,checkpoint_count,checkpoint_first_return,checkpoint_peak_return,checkpoint_peak_update,checkpoint_final_return,checkpoint_delta_first_to_final,checkpoint_delta_peak_to_final
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,1000000,flat,15,-25.888891220092773,-25.888891220092773,19.0,-25.888891220092773,0.0,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,1000000,flat,15,-25.08222198486328,-25.08222198486328,19.0,-25.08222198486328,0.0,0.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,1000000,flat,15,-24.982830047607422,-24.982830047607422,19.0,-24.982830047607422,0.0,0.0
fragile_full__base__t4m__a0p00__c0p58,extension_full,base,long4m,0.0,0.58,4000000,flat,62,-25.888891220092773,-25.888891220092773,19.0,-25.888891220092773,0.0,0.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,4000000,net_improvement,62,-25.888891220092773,-24.730758666992188,39.0,-24.730758666992188,1.158132553100586,0.0
fragile_full__borrow__t4m__a0p00__c0p58,extension_full,borrow,long4m,0.0,0.58,4000000,flat,62,-24.982295989990234,-24.982295989990234,19.0,-24.982295989990234,0.0,0.0
edge_full__base__t1m__a0p10__c1p00,extension_full,base,full,0.1,1.0,1000000,net_improvement,15,-25.888891220092773,-24.47317123413086,239.0,-24.4753360748291,1.4135551452636719,-0.0021648406982421875
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,1000000,net_improvement,15,-25.888891220092773,-24.124399185180664,279.0,-24.124399185180664,1.7644920349121094,0.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,1000000,net_improvement,15,-25.888891220092773,-24.817089080810547,59.0,-24.817089080810547,1.0718021392822266,0.0
edge_full__base__t4m__a0p10__c1p00,extension_full,base,long4m,0.1,1.0,4000000,net_improvement,62,-25.888891220092773,-23.753435134887695,939.0,-23.877546310424805,2.0113449096679688,-0.12411117553710938
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,4000000,net_improvement,62,-25.888891220092773,-23.664918899536133,439.0,-23.80514907836914,2.083742141723633,-0.1402301788330078
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,4000000,net_improvement,62,-25.888891220092773,-24.820781707763672,59.0,-24.820781707763672,1.0681095123291016,0.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,1000000,net_improvement,15,-24.32377052307129,-23.266725540161133,299.0,-23.266725540161133,1.0570449829101562,0.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,1000000,net_improvement,15,-24.28476905822754,-23.041261672973633,279.0,-23.107894897460938,1.1768741607666016,-0.06663322448730469
enabled_full__borrow__t1m__a1p00__c0p90,extension_full,borrow,full,1.0,0.9,1000000,net_improvement,15,-24.42235565185547,-23.267152786254883,299.0,-23.267152786254883,1.155202865600586,0.0
enabled_full__base__t4m__a1p00__c0p90,extension_full,base,long4m,1.0,0.9,4000000,improve_then_decline,62,-24.315568923950195,-22.56239891052246,419.0,-26.87127685546875,-2.5557079315185547,-4.308877944946289
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,4000000,improve_then_decline,62,-24.256601333618164,-22.752765655517578,399.0,-27.126766204833984,-2.8701648712158203,-4.374000549316406
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,4000000,improve_then_decline,62,-24.42038345336914,-22.389665603637695,379.0,-27.308853149414062,-2.888469696044922,-4.919187545776367
