condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,30,15.059459952999532,none,0.0,0.6,0.02,1000000,100.0,-23.281450271606445,26.0,0.0,0.0,0.6109609007835388,0.6047665476799011,0.23999999463558197,0.28999999165534973,0.9274767637252808,0.9186870455741882,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.202274799346924,0.6000000238418579,0.14701147377490997,-27.514869689941406,1.6048343804779253,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,31,2.900923850000254,none,0.0,0.6,0.02,1000000,100.0,-26.086395263671875,26.0,0.0,0.0,0.6755285263061523,0.6738070845603943,0.2199999988079071,0.22999998927116394,0.974277913570404,0.9794467091560364,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.20241117477417,0.6000000238418579,0.16000473499298096,-27.242015838623047,0.4724163957671061,0.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,32,2.898666271001275,none,0.0,0.6,0.02,1000000,100.0,-24.118009567260742,26.0,0.009999999776482582,0.0,0.541394054889679,0.5512822866439819,0.4599999785423279,0.41999998688697815,0.8290454149246216,0.8281196355819702,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.2024288177490234,0.6000000238418579,0.17690832912921906,-27.254274368286133,1.2670969937000234,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,33,2.713532060999569,none,0.0,0.6,0.02,1000000,100.0,-24.93011474609375,26.0,0.0,0.0,0.5779423713684082,0.5716955661773682,0.35999998450279236,0.29999998211860657,0.9032757878303528,0.8872209191322327,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.2150979042053223,0.6000000238418579,0.1553041636943817,-27.460622787475586,0.9392322717219597,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,34,2.7349664330013184,none,0.0,0.6,0.02,1000000,100.0,-25.813688278198242,26.0,0.0,0.0,0.6369436383247375,0.6390218138694763,0.25,0.2199999988079071,0.953873872756958,0.9484586715698242,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.2024097442626953,0.6000000238418579,0.1639828085899353,-27.551395416259766,0.5825142036671515,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,35,2.6842278549993352,none,0.0,0.6,0.02,1000000,100.0,-23.92862892150879,26.0,0.009999999776482582,0.0,0.5613510608673096,0.5598700642585754,0.28999999165534973,0.26999998092651367,0.8398959040641785,0.8331211805343628,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.2139878273010254,0.6000000238418579,0.159183531999588,-27.360509872436523,1.3435541255911352,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,36,2.7219791330007865,none,0.0,0.6,0.02,1000000,100.0,-22.9686222076416,26.0,0.009999999776482582,0.0,0.5231044292449951,0.5120736956596375,0.4099999964237213,0.3400000035762787,0.7528550624847412,0.7316781282424927,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.178741931915283,0.6000000238418579,0.1540633887052536,-27.561359405517578,1.7311299501800608,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,37,2.794230814999537,none,0.0,0.6,0.02,1000000,100.0,-26.072303771972656,26.0,0.0,0.0,0.5988481044769287,0.5999128818511963,0.35999998450279236,0.3100000023841858,0.8811806440353394,0.8719343543052673,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.2145094871520996,0.6000000238418579,0.17923544347286224,-27.37847328186035,0.4781054408916054,0.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,38,2.886673144001179,none,0.0,0.6,0.02,1000000,100.0,-25.02935028076172,26.0,0.0,0.0,0.757774829864502,0.7435815334320068,0.17999999225139618,0.17999999225139618,1.0193737745285034,1.0035737752914429,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.1786184310913086,0.6000000238418579,0.15286488831043243,-26.800142288208008,0.8991687038094733,1.0
edge_full__borrow__t1m__a0p10__c1p00,extension_full,borrow,full,0.1,1.0,39,2.8273581999983435,none,0.0,0.6,0.02,1000000,100.0,-24.196733474731445,26.0,0.0,0.0,0.5645569562911987,0.5623847842216492,0.2800000011920929,0.3199999928474426,0.8310779333114624,0.8306528925895691,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.215243339538574,0.6000000238418579,0.12836584448814392,-26.005037307739258,1.2353144208158078,1.0
