condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,30,23.862770420000743,none,0.0,0.6,0.02,4000000,100.0,-23.25092887878418,26.0,0.0,0.0,0.6111488938331604,0.603752076625824,0.25,0.29999998211860657,0.9292175769805908,0.9204110503196716,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458271026611328,0.6000000238418579,0.1900550276041031,-27.466672897338867,1.617156538041845,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,31,11.249837174998902,none,0.0,0.6,0.02,4000000,100.0,-26.051414489746094,26.0,0.0,0.0,0.676796555519104,0.6743550300598145,0.2199999988079071,0.22999998927116394,0.9764012694358826,0.9808555245399475,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458412170410156,0.6000000238418579,0.12357448786497116,-28.06391143798828,0.4865389035612746,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,32,11.337635759000477,none,0.0,0.6,0.02,4000000,100.0,-24.124725341796875,26.0,0.009999999776482582,0.0,0.5397423505783081,0.5501819849014282,0.4699999988079071,0.429999977350235,0.8281651139259338,0.826647162437439,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458423614501953,0.6000000238418579,0.12882201373577118,-26.369842529296875,1.264385687814349,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,33,10.924836486999993,none,0.0,0.6,0.02,4000000,100.0,-24.91130256652832,26.0,0.0,0.0,0.5785862803459167,0.5721386671066284,0.35999998450279236,0.2800000011920929,0.902897298336029,0.8872902393341064,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.471096992492676,0.6000000238418579,0.12204989045858383,-26.759281158447266,0.946827162363938,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,34,11.341399831000672,none,0.0,0.6,0.02,4000000,100.0,-25.816144943237305,26.0,0.0,0.0,0.6381595730781555,0.6405820846557617,0.25,0.2199999988079071,0.9552134275436401,0.9502062797546387,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458399772644043,0.6000000238418579,0.11985605955123901,-26.29391098022461,0.5815223939594694,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,35,11.013065420000203,none,0.0,0.6,0.02,4000000,100.0,-23.92554473876953,26.0,0.009999999776482582,0.0,0.5607966184616089,0.5596059560775757,0.29999998211860657,0.26999998092651367,0.8391473889350891,0.8323458433151245,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.469978332519531,0.6000000238418579,0.14933237433433533,-27.349966049194336,1.3447992779958882,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,36,10.891815856000903,none,0.0,0.6,0.02,4000000,100.0,-22.938175201416016,26.0,0.009999999776482582,0.0,0.5227278470993042,0.5107634663581848,0.4099999964237213,0.3400000035762787,0.7525554299354553,0.7305653095245361,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.434741020202637,0.6000000238418579,0.18207496404647827,-29.077524185180664,1.7434220762388564,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,37,11.298278154999934,none,0.0,0.6,0.02,4000000,100.0,-26.084062576293945,26.0,0.0,0.0,0.6003673076629639,0.6009567975997925,0.35999998450279236,0.3100000023841858,0.8846436738967896,0.8738366365432739,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.470510482788086,0.6000000238418579,0.200398787856102,-26.769588470458984,0.47335815296624834,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,38,10.981351059999724,none,0.0,0.6,0.02,4000000,100.0,-25.035741806030273,26.0,0.0,0.0,0.7631949186325073,0.7483956217765808,0.17000000178813934,0.1599999964237213,1.0234771966934204,1.0066568851470947,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.434619903564453,0.6000000238418579,0.21785235404968262,-28.072534561157227,0.8965883044845955,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,39,11.193615612999565,none,0.0,0.6,0.02,4000000,100.0,-24.19776725769043,26.0,0.0,0.0,0.5671555995941162,0.5638600587844849,0.28999999165534973,0.3199999928474426,0.8365603685379028,0.8357250690460205,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.471224784851074,0.6000000238418579,0.14494451880455017,-26.662919998168945,1.2348970598984448,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,40,11.208518298000854,none,0.0,0.6,0.02,4000000,100.0,-24.682790756225586,26.0,0.0,0.0,0.5720600485801697,0.5786372423171997,0.3400000035762787,0.3199999928474426,0.8585255742073059,0.8592112064361572,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.459053039550781,0.6000000238418579,0.1737734079360962,-27.821516036987305,1.0390824060274142,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,41,11.267255901999306,none,0.0,0.6,0.02,4000000,100.0,-26.459035873413086,26.0,0.009999999776482582,0.0,0.6936235427856445,0.6966385841369629,0.25999999046325684,0.17000000178813934,1.019438624382019,1.0118135213851929,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.459339141845703,0.6000000238418579,0.16410323977470398,-27.825637817382812,0.3219731858295654,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,42,11.214998810999532,none,0.0,0.6,0.02,4000000,100.0,-24.208784103393555,26.0,0.0,0.0,0.687751054763794,0.6773500442504883,0.2199999988079071,0.25,1.0145515203475952,0.998772382736206,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458234786987305,0.6000000238418579,0.14953990280628204,-27.899436950683594,1.2304493169857338,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,43,10.939906536999843,none,0.0,0.6,0.02,4000000,100.0,-26.40428924560547,26.0,0.0,0.0,0.7544708251953125,0.7482666373252869,0.1599999964237213,0.1899999976158142,1.1113847494125366,1.1066250801086426,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.45932388305664,0.6000000238418579,0.13678212463855743,-26.62432289123535,0.34407560356217276,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,44,10.887219656000525,none,0.0,0.6,0.02,4000000,100.0,-25.112573623657227,26.0,0.0,0.0,0.5194425582885742,0.5172964334487915,0.32999998331069946,0.35999998450279236,0.7504992485046387,0.7572025656700134,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.457666397094727,0.6000000238418579,0.12734876573085785,-25.807205200195312,0.8655696098845576,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,45,11.027789965999546,none,0.0,0.6,0.02,4000000,100.0,-24.85065460205078,26.0,0.0,0.0,0.6372776031494141,0.6273655891418457,0.22999998927116394,0.2800000011920929,0.9304155707359314,0.9297259449958801,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.470368385314941,0.6000000238418579,0.1220233216881752,-26.365009307861328,0.9713120795030425,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,46,11.13610136600073,none,0.0,0.6,0.02,4000000,100.0,-26.17630386352539,26.0,0.0,0.0,0.6609190106391907,0.6519451141357422,0.19999998807907104,0.23999999463558197,0.98636794090271,0.9940611720085144,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.471278190612793,0.6000000238418579,0.16597145795822144,-27.362834930419922,0.43611831657400274,0.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,47,11.187814381999488,none,0.0,0.6,0.02,4000000,100.0,-23.10611915588379,26.0,0.0,0.0,0.5259332656860352,0.529621422290802,0.3799999952316284,0.29999998211860657,0.75473552942276,0.7602425813674927,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.458511352539062,0.6000000238418579,0.1620287448167801,-28.353656768798828,1.675619408093582,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,48,11.392776599999706,none,0.0,0.6,0.02,4000000,100.0,-24.1417236328125,26.0,0.0,0.0,0.5747464895248413,0.5805748105049133,0.26999998092651367,0.20999999344348907,0.8383579850196838,0.8363087177276611,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.459463119506836,0.6000000238418579,0.1729031354188919,-26.953290939331055,1.2575231038742383,1.0
edge_full__borrow__t4m__a0p10__c1p00,extension_full,borrow,long4m,0.1,1.0,49,10.574240968000595,none,0.0,0.6,0.02,4000000,100.0,-23.755449295043945,26.0,0.0,0.0,0.5738909244537354,0.5729913711547852,0.3199999928474426,0.3199999928474426,0.8741337656974792,0.8723873496055603,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,-0.6000000238418579,0.0,14.457670211791992,0.6000000238418579,0.1816406100988388,-27.801042556762695,1.4134705496739772,1.0
