condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,30,15.238164669999605,frontload,0.6,0.0,0.0,1000000,100.0,-23.626970291137695,26.0,0.0,0.0,0.6160618662834167,0.6070486307144165,0.19999998807907104,0.28999999165534973,0.9071137309074402,0.9077491760253906,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.6944590210914612,0.6000000238418579,0.0,0.0,0.14987805485725403,-27.083242416381836,1.4653403492931263,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,31,2.6641104059999634,frontload,0.6,0.0,0.0,1000000,100.0,-26.19091033935547,26.0,0.0,0.0,0.687154233455658,0.6802408695220947,0.23999999463558197,0.26999998092651367,1.0562174320220947,1.0400499105453491,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.6395090818405151,0.6000000238418579,0.0,0.0,0.15929697453975677,-26.67032814025879,0.43022136102941483,0.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,32,2.6499826409999514,frontload,0.6,0.0,0.0,1000000,100.0,-23.266708374023438,26.0,0.0,0.0,0.4840954542160034,0.48682790994644165,0.4399999976158142,0.4099999964237213,0.7149081230163574,0.7169150114059448,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.6603912115097046,0.6000000238418579,0.0,0.0,0.16204078495502472,-26.935962677001953,1.6107860087626105,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,33,2.6648314710000705,frontload,0.6,0.0,0.0,1000000,100.0,-26.257509231567383,26.0,0.0,0.0,0.6878532767295837,0.6709603667259216,0.25999999046325684,0.28999999165534973,1.0229374170303345,0.99518221616745,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.6900795698165894,0.6000000238418579,0.0,0.0,0.14913876354694366,-27.37480926513672,0.40333392348039726,0.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,34,2.697608755001056,frontload,0.6,0.0,0.0,1000000,100.0,-25.471282958984375,26.0,0.0,0.0,0.6136537790298462,0.5999051928520203,0.17999999225139618,0.29999998211860657,0.886867344379425,0.8706963062286377,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.7825247049331665,0.6000000238418579,0.0,0.0,0.15682747960090637,-27.423097610473633,0.7207507618297108,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,35,2.7444684430010966,frontload,0.6,0.0,0.0,1000000,100.0,-23.445566177368164,26.0,0.0,0.0,0.476490318775177,0.4802778363227844,0.26999998092651367,0.32999998331069946,0.6814211010932922,0.6813483238220215,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.7679891586303711,0.6000000238418579,0.0,0.0,0.154649019241333,-26.666288375854492,1.538577179788643,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,36,2.830943714998284,frontload,0.6,0.0,0.0,1000000,100.0,-24.086803436279297,26.0,0.0,0.0,0.5026423335075378,0.5018419623374939,0.41999998688697815,0.41999998688697815,0.7196696400642395,0.7160776257514954,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.643202006816864,0.6000000238418579,0.0,0.0,0.14907386898994446,-27.08183479309082,1.2796955951188014,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,37,2.9535702939992916,frontload,0.6,0.0,0.0,1000000,100.0,-24.504323959350586,26.0,0.0,0.0,0.5102957487106323,0.5152994990348816,0.3100000023841858,0.3400000035762787,0.7266863584518433,0.7322778701782227,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.7764871716499329,0.6000000238418579,0.0,0.0,0.16692866384983063,-26.64147186279297,1.1111333770898328,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,38,2.7330261490005796,frontload,0.6,0.0,0.0,1000000,100.0,-22.33843994140625,26.0,0.0,0.0,0.5447791814804077,0.5422745943069458,0.32999998331069946,0.3199999928474426,0.7904573678970337,0.7857921719551086,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.5817285776138306,0.6000000238418579,0.0,0.0,0.1422075629234314,-26.320899963378906,1.985548391165333,1.0
edge_full__support__t1m__a0p10__c1p00,extension_full,support,full,0.1,1.0,39,2.687681736000741,frontload,0.6,0.0,0.0,1000000,100.0,-24.88847541809082,26.0,0.0,0.0,0.5282814502716064,0.5437971353530884,0.3199999928474426,0.3199999928474426,0.7740053534507751,0.7908647060394287,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.6538509130477905,0.6000000238418579,0.0,0.0,0.12337934225797653,-25.57929801940918,0.9560429842440149,1.0
