condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,30,23.45399687799909,frontload,0.6,0.0,0.0,4000000,100.0,-23.0552978515625,26.0,0.0,0.0,0.46910378336906433,0.4701380729675293,0.44999998807907104,0.4399999976158142,0.6713646054267883,0.6639265418052673,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.8090026378631592,0.5999999642372131,0.0,0.0,0.4000334143638611,-24.88252067565918,1.6961370864019583,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,31,11.186893029000203,frontload,0.6,0.0,0.0,4000000,100.0,-24.4835147857666,26.0,0.0,0.0,0.5087332129478455,0.5077964067459106,0.3400000035762787,0.3499999940395355,0.7224423289299011,0.7266165018081665,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.30055972933769226,0.5999999642372131,0.0,0.0,0.3343341052532196,-25.648935317993164,1.1195344981385995,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,32,11.215365047999512,frontload,0.6,0.0,0.0,4000000,100.0,-23.339696884155273,26.0,0.0,0.009999999776482582,0.46211135387420654,0.4694461524486542,0.5,0.5199999809265137,0.6767297387123108,0.6900555491447449,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.3710995316505432,0.5999999642372131,0.0,0.0,0.354244589805603,-23.74148178100586,1.5813189419273082,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,33,11.225912556001276,frontload,0.6,0.0,0.0,4000000,100.0,-24.193437576293945,26.0,0.0,0.009999999776482582,0.5301316380500793,0.5309299230575562,0.2199999988079071,0.32999998331069946,0.7473535537719727,0.7481006383895874,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.9059534668922424,0.5999999642372131,0.0,0.0,0.32607966661453247,-24.40105628967285,1.236645047504375,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,34,11.005008227000872,frontload,0.6,0.0,0.0,4000000,100.0,-24.763309478759766,26.0,0.0,0.0,0.4950571060180664,0.4872570037841797,0.44999998807907104,0.4399999976158142,0.7279939651489258,0.7257527112960815,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.21422043442726135,0.5999999642372131,0.0,0.0,0.40140214562416077,-23.8533992767334,1.0065752268272603,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,35,11.007604583999637,frontload,0.6,0.0,0.0,4000000,100.0,-24.074270248413086,26.0,0.0,0.0,0.49347859621047974,0.49646803736686707,0.3799999952316284,0.3700000047683716,0.7136262059211731,0.7187561392784119,4.0,104.0,4.0,4.0,0.01360000018030405,17.0,0.059309251606464386,0.5999999642372131,0.0,0.0,0.45166152715682983,-25.058544158935547,1.2847555187128843,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,36,11.140677610999774,frontload,0.6,0.0,0.0,4000000,100.0,-24.1708927154541,26.0,0.019999999552965164,0.019999999552965164,0.4886358380317688,0.4919673204421997,0.3999999761581421,0.3499999940395355,0.7063526511192322,0.6986639499664307,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.2021925151348114,0.5999999642372131,0.0,0.0,0.36843231320381165,-26.030216217041016,1.2457469036726996,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,37,11.056642424999154,frontload,0.6,0.0,0.0,4000000,100.0,-24.23971939086914,26.0,0.0,0.009999999776482582,0.4919138550758362,0.4990098476409912,0.429999977350235,0.38999998569488525,0.700128436088562,0.7057539224624634,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.32398876547813416,0.5999999642372131,0.0,0.0,0.3265847861766815,-24.94131851196289,1.2179600610471506,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,38,10.83877116199983,frontload,0.6,0.0,0.0,4000000,100.0,-23.43242645263672,26.0,0.019999999552965164,0.009999999776482582,0.4529195725917816,0.4542388916015625,0.44999998807907104,0.4699999988079071,0.6446806192398071,0.641396164894104,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.12174176424741745,0.5999999642372131,0.0,0.0,0.381150484085083,-25.616588592529297,1.5438819756552749,1.0
edge_full__support__t4m__a0p10__c1p00,extension_full,support,long4m,0.1,1.0,39,11.493732689999888,frontload,0.6,0.0,0.0,4000000,100.0,-24.170488357543945,26.0,0.0,0.009999999776482582,0.49050161242485046,0.49675214290618896,0.3799999952316284,0.38999998569488525,0.7046064734458923,0.716992199420929,4.0,104.0,4.0,4.0,0.012799999676644802,16.0,0.189700648188591,0.5999999642372131,0.0,0.0,0.34846630692481995,-24.30666732788086,1.245910151854399,1.0
