condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,30,15.24233087200082,none,0.0,0.0,0.0,1000000,100.0,-23.440786361694336,26.0,0.0,0.009999999776482582,0.45748257637023926,0.4636198878288269,0.4099999964237213,0.41999998688697815,0.6541750431060791,0.6616957187652588,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,0.2898915410041809,0.0,0.0,0.0,4.900630474090576,-23.717134475708008,1.5405068965025026,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,31,2.8048342669990234,none,0.0,0.0,0.0,1000000,100.0,-23.7913761138916,26.0,0.0,0.0,0.4971824884414673,0.49235987663269043,0.429999977350235,0.4599999785423279,0.7416707277297974,0.738690197467804,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.27809852361679077,0.0,0.0,0.0,4.911491394042969,-22.59104347229004,1.39896610273772,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,32,2.8511858680012665,none,0.0,0.0,0.0,1000000,100.0,-22.04273796081543,26.0,0.009999999776482582,0.0,0.48933374881744385,0.484544575214386,0.38999998569488525,0.4099999964237213,0.6846771836280823,0.6831930875778198,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.2630960941314697,0.0,0.0,0.0,5.139693260192871,-23.98701286315918,2.1049297843416324,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,33,3.047179850000248,none,0.0,0.0,0.0,1000000,100.0,-23.586050033569336,26.0,0.0,0.0,0.5068419575691223,0.5040518045425415,0.35999998450279236,0.3700000047683716,0.7237139940261841,0.7167374491691589,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,0.9763728380203247,0.0,0.0,0.0,4.976415634155273,-23.81865119934082,1.4818607572656504,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,34,2.797003253999719,none,0.0,0.0,0.0,1000000,100.0,-23.40771484375,26.0,0.0,0.0,0.5014768242835999,0.4995500445365906,0.3700000047683716,0.35999998450279236,0.710394561290741,0.7228183746337891,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.7509782314300537,0.0,0.0,0.0,5.142849445343018,-23.52705192565918,1.5538585956651574,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,35,2.78962225199939,none,0.0,0.0,0.0,1000000,100.0,-23.212142944335938,26.0,0.0,0.0,0.47527143359184265,0.4829406142234802,0.3999999761581421,0.3499999940395355,0.6886714696884155,0.6949253082275391,4.0,104.0,4.0,4.0,0.15705128014087677,49.0,0.8180077075958252,0.0,0.0,0.0,4.861912727355957,-23.346200942993164,1.6328152728288905,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,36,2.7988215750010568,none,0.0,0.0,0.0,1000000,100.0,-22.818927764892578,26.0,0.019999999552965164,0.009999999776482582,0.4619389474391937,0.4651199281215668,0.5699999928474426,0.5199999809265137,0.6695098876953125,0.6692164540290833,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,1.0,0.0,0.0,0.0,5.143895149230957,-23.094871520996094,1.7915648890682685,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,37,2.7961396779992356,none,0.0,0.0,0.0,1000000,100.0,-22.850072860717773,26.0,0.0,0.0,0.473630428314209,0.4859953820705414,0.5299999713897705,0.3999999761581421,0.6664405465126038,0.6823651194572449,4.0,104.0,4.0,4.0,0.16025641560554504,50.0,1.0,0.0,0.0,0.0,5.051619052886963,-23.783802032470703,1.7789909288844639,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,38,2.7980619970003318,none,0.0,0.0,0.0,1000000,100.0,-22.335206985473633,26.0,0.019999999552965164,0.009999999776482582,0.4458952844142914,0.44628798961639404,0.47999998927116394,0.44999998807907104,0.6182389855384827,0.62251216173172,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.8907642364501953,0.0,0.0,0.0,5.011813640594482,-22.76799964904785,1.986853606580334,1.0
enabled_full__base__t1m__a1p00__c0p90,extension_full,base,full,1.0,0.9,39,3.002132724001058,none,0.0,0.0,0.0,1000000,100.0,-23.81263542175293,26.0,0.0,0.0,0.48819345235824585,0.4849540889263153,0.3499999940395355,0.3499999940395355,0.70420241355896,0.6950371861457825,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.8692868947982788,0.0,0.0,0.0,5.299549102783203,-22.383512496948242,1.3903832525810242,1.0
