condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,0,1.0,1,16,1.0,0.18681678,0.18681678,1.0613965,0.08681675,0.08681675,0.0,0.0,0.0,0.0,-28.69935,26.0,2.3351188,0.77837294,0.12,0.0,100,0.16181889,-0.0009300199,57.363174,1.6092799,28.664564,1.0,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,1,0.0,1,16,0.18681678,0.2691411,0.2691411,1.0844718,0.082324326,0.082324326,0.0,0.0,0.0,0.0,-27.734188,26.000002,2.3858857,0.79529524,0.14400001,0.0,125,0.17552869,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,2,0.0,1,16,0.2691411,0.34264433,0.34264433,1.1336937,0.07350321,0.07350321,0.0,0.0,0.0,0.0,-29.294966,26.000002,2.494176,0.831392,0.17600001,0.0,125,0.19622241,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,3,1.0,2,32,0.34264433,-0.4746454,-0.4746454,1.0824407,0.082710244,0.082710244,0.0,0.0,0.0,0.4746454,-28.271572,26.000002,2.3814173,0.7938058,0.14400001,0.0,125,0.18363105,-0.0004946919,51.992065,1.60852,25.97945,1.0,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,4,0.0,2,32,-0.4746454,-0.38281628,-0.38281628,0.99429613,0.10132201,0.10132201,0.0,0.009492908,0.4746454,0.38281628,-27.496643,26.000002,2.1874952,0.7291651,0.16000001,0.0,125,0.13605799,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,5,0.0,2,32,-0.38281628,-0.29271084,-0.29271084,1.0098308,0.09776178,0.09776178,0.0,0.0076563256,0.38281628,0.29271084,-27.356722,26.000002,2.2216723,0.74055743,0.072000004,0.0,125,0.16446587,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,6,0.0,2,32,-0.29271084,-0.19459468,-0.19459468,0.9830904,0.10397038,0.10397038,0.0,0.005854217,0.29271084,0.19459468,-26.36213,26.000002,2.162842,0.7209474,0.18400002,0.0,125,0.14127474,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,7,0.0,2,32,-0.19459468,-0.11282053,-0.11282053,1.0671912,0.085666046,0.085666046,0.0,0.0038918934,0.19459468,0.11282053,-27.636326,26.000002,2.3478677,0.7826226,0.14400001,0.0,125,0.1632352,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,8,0.0,2,32,-0.11282053,-0.017001526,-0.017001526,1.0084399,0.09807541,0.09807541,0.0,0.0022564104,0.11282053,0.017001526,-27.559366,26.000002,2.218612,0.73953736,0.104,0.0,125,0.13507597,,,,,,,,,0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,9,0.0,2,32,-0.017001526,0.09096217,0.09096217,0.96535665,0.108303726,0.108303726,0.0,0.00034003053,0.017001526,0.0,-26.275272,26.000002,2.123827,0.70794237,0.15200001,0.0,125,0.13697065,,,,,,,,,0
