condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,30,24.26089851999859,none,0.0,0.6,0.02,4000000,100.0,-27.74568748474121,26.0,0.0,0.0,1.0521140098571777,1.0148255825042725,0.09999999403953552,0.14000000059604645,1.3599566221237183,1.3165264129638672,4.0,104.0,4.0,4.0,0.1728000044822693,216.0,0.3894628882408142,0.0,2.8397762775421143,0.49290773272514343,2.6952929496765137,-23.054542541503906,-0.19747636802861454,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,31,11.910221669999373,none,0.0,0.6,0.02,4000000,100.0,-21.884592056274414,26.0,0.0,0.0,0.5364208221435547,0.5376071333885193,0.32999998331069946,0.28999999165534973,0.7928677201271057,0.7951599955558777,4.0,104.0,4.0,4.0,0.20800000429153442,260.0,-0.0652671530842781,0.0,2.327528953552246,0.4812505841255188,3.5146920680999756,-22.335954666137695,2.1687767642350724,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,32,11.293296531001033,none,0.0,0.6,0.02,4000000,100.0,-30.13558006286621,26.0,0.0,0.0,1.192421317100525,1.144993782043457,0.11999999731779099,0.12999999523162842,1.488106608390808,1.4361767768859863,4.0,104.0,4.0,4.0,0.14079999923706055,176.0,-0.012822152115404606,0.0,3.1236681938171387,0.5073872208595276,2.952078342437744,-23.086652755737305,-1.1623285646497048,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,33,11.621751829999994,none,0.0,0.6,0.02,4000000,100.0,-24.82996368408203,26.0,0.0,0.0,0.7114447355270386,0.7067298889160156,0.22999998927116394,0.25,1.001753330230713,0.9937105178833008,4.0,104.0,4.0,4.0,0.17679999768733978,221.0,-0.06641814857721329,0.0,2.6794629096984863,0.4833548665046692,3.409940004348755,-23.316164016723633,0.9796654581590479,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,34,11.845151899000484,none,0.0,0.6,0.02,4000000,100.0,-28.89116668701172,26.0,0.0,0.009999999776482582,0.9418229460716248,0.8917951583862305,0.14999999105930328,0.20999999344348907,1.2508876323699951,1.1975280046463013,4.0,104.0,4.0,4.0,0.14239999651908875,178.0,-0.2731225788593292,0.0,3.1391799449920654,0.5150871872901917,1.2431085109710693,-25.692087173461914,-0.6599315154317572,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,35,11.77822527600074,none,0.0,0.6,0.02,4000000,100.0,-29.71916961669922,26.0,0.0,0.0,1.0033506155014038,0.9800392985343933,0.07000000029802322,0.08999999612569809,1.3437919616699219,1.3177613019943237,4.0,104.0,4.0,4.0,0.15199999511241913,190.0,0.39525675773620605,0.0,3.004389524459839,0.5102047920227051,2.8370521068573,-25.937360763549805,-0.9942145090818163,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,36,11.229696186999718,none,0.0,0.6,0.02,4000000,100.0,-22.483930587768555,26.0,0.009999999776482582,0.009999999776482582,0.5723101496696472,0.5659613609313965,0.28999999165534973,0.32999998331069946,0.8290817141532898,0.820867121219635,4.0,104.0,4.0,4.0,0.18000000715255737,225.0,0.27794885635375977,0.0,2.7938804626464844,0.4836837947368622,3.6803390979766846,-23.268409729003906,1.9268106173359232,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,37,11.239810316999865,none,0.0,0.6,0.02,4000000,100.0,-31.08278465270996,26.0,0.0,0.0,1.203810691833496,1.1526345014572144,0.08999999612569809,0.14000000059604645,1.4978340864181519,1.4480900764465332,4.0,104.0,4.0,4.0,0.13279999792575836,166.0,-0.09478961676359177,0.0,3.2991693019866943,0.5216854810714722,1.6236871480941772,-26.18144989013672,-1.5447358902029458,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,38,11.632949236000059,none,0.0,0.6,0.02,4000000,100.0,-29.65757179260254,26.0,0.0,0.0,0.9429940581321716,0.9215735197067261,0.08999999612569809,0.10999999940395355,1.243220329284668,1.2229113578796387,4.0,104.0,4.0,4.0,0.1712000072002411,214.0,-0.3875207304954529,0.0,2.789884328842163,0.5009257197380066,2.561549186706543,-25.615446090698242,-0.9693461127234372,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,39,12.23328345399932,none,0.0,0.6,0.02,4000000,100.0,-27.25074577331543,26.0,0.0,0.0,0.7751230597496033,0.7689205408096313,0.20999999344348907,0.25,1.088822603225708,1.0745954513549805,4.0,104.0,4.0,4.0,0.1687999963760376,211.0,0.3187330365180969,0.0,2.832408905029297,0.48407837748527527,1.7595850229263306,-24.38868522644043,0.0023424865256044466,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,40,11.59137654299957,none,0.0,0.6,0.02,4000000,100.0,-21.672664642333984,26.0,0.019999999552965164,0.0,0.4703453481197357,0.4703108072280884,0.5399999618530273,0.5399999618530273,0.7291393280029297,0.731867253780365,4.0,104.0,4.0,4.0,0.20319999754428864,254.0,0.28653258085250854,0.0,2.4394094944000244,0.4971434473991394,3.8696773052215576,-21.552595138549805,2.2543365223331016,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,41,10.93226481000056,none,0.0,0.6,0.02,4000000,100.0,-28.65224838256836,26.0,0.0,0.0,0.9509472250938416,0.9185923337936401,0.10999999940395355,0.14000000059604645,1.2122082710266113,1.1749823093414307,4.0,104.0,4.0,4.0,0.14959999918937683,187.0,-0.14483487606048584,0.0,3.0439093112945557,0.5087254047393799,1.2364318370819092,-26.829626083374023,-0.5634749412053048,0.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,42,11.320919898998909,none,0.0,0.6,0.02,4000000,100.0,-24.980451583862305,26.0,0.0,0.0,0.7291159629821777,0.7195083498954773,0.08999999612569809,0.14000000059604645,1.0140448808670044,0.9980583786964417,4.0,104.0,4.0,4.0,0.1615999937057495,202.0,0.2983993887901306,0.0,2.8492953777313232,0.48373425006866455,2.847407817840576,-24.88154411315918,0.9189101832161853,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,43,11.187214606999987,none,0.0,0.6,0.02,4000000,100.0,-21.73296356201172,26.0,0.0,0.0,0.487431138753891,0.4870833158493042,0.4699999988079071,0.4899999797344208,0.7331604361534119,0.7324156761169434,4.0,104.0,4.0,4.0,0.2152000069618225,269.0,-0.3431432843208313,0.0,2.2945451736450195,0.47535648941993713,3.96928071975708,-20.959877014160156,2.229992522256502,1.0
enabled_full__borrow__t4m__a1p00__c0p90,extension_full,borrow,long4m,1.0,0.9,44,11.390062747999764,none,0.0,0.6,0.02,4000000,100.0,-28.482744216918945,26.0,0.0,0.0,0.8001208305358887,0.7966837286949158,0.10999999940395355,0.1599999964237213,1.1841495037078857,1.1816092729568481,4.0,104.0,4.0,4.0,0.14959999918937683,187.0,-0.23914819955825806,0.0,3.1929779052734375,0.5166254043579102,1.1819356679916382,-26.70698356628418,-0.49504238149102125,0.0
