condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,0,1.0,1,16,1.0,0.21627188,0.21627188,1.0136,0.09691701,0.11627185,0.019354839,0.0,0.0,0.0,-26.759592,26.0,2.2299645,0.74332154,0.21,0.0,100,0.13583107,-0.00044846226,53.010834,1.6093311,26.488874,1.0,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,1,0.0,1,16,0.21627188,0.32151866,0.32151866,1.0660475,0.08589195,0.10524678,0.019354839,0.0,0.0,0.0,-28.03394,26.000002,2.3453515,0.7817838,0.192,0.0,125,0.1645157,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,2,0.0,1,16,0.32151866,0.42934662,0.42934662,1.0531887,0.088473104,0.10782795,0.019354839,0.0,0.0,0.0,-26.844364,26.000002,2.3170614,0.7723538,0.08800001,0.0,125,0.1282879,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,3,0.0,1,16,0.42934662,0.539002,0.539002,1.0443095,0.09030056,0.109655395,0.019354839,0.0,0.0,0.0,-28.034758,26.000002,2.2975268,0.7658423,0.16000001,0.0,125,0.1552205,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,4,0.0,1,16,0.539002,0.6589556,0.6589556,0.99740744,0.10059874,0.11995357,0.019354839,0.0,0.0,0.0,-25.969633,26.000002,2.1943402,0.73144674,0.15200001,0.0,125,0.15726212,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,5,0.0,1,16,0.6589556,0.78745055,0.78745055,0.9620154,0.10914017,0.12849501,0.019354839,0.0,0.0,0.0,-25.37026,26.000002,2.116476,0.705492,0.224,0.0,125,0.14500232,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,6,0.0,1,16,0.78745055,0.8915766,0.8915766,1.0717516,0.084771216,0.10412605,0.019354839,0.0,0.0,0.0,-27.591475,26.000002,2.3579006,0.7859669,0.128,0.0,125,0.14511873,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,7,0.0,1,16,0.8915766,1.0253242,1.0,0.94160116,0.11439284,0.13374768,0.019354839,0.0,0.0,0.0,-25.171774,26.000002,2.071564,0.69052136,0.2,0.0,125,0.120338835,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,8,1.0,2,32,1.0,0.21119729,0.21119729,1.0369567,0.09184242,0.11119726,0.019354839,0.0,0.0,0.0,-26.798113,26.000002,2.2813501,0.76045007,0.120000005,0.0,125,0.17609945,-0.0003933723,48.877583,1.6089445,24.422308,1.0,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,9,0.0,2,32,0.21119729,0.3160395,0.3160395,1.0680981,0.08548736,0.1048422,0.019354839,0.0,0.0,0.0,-28.386835,26.000002,2.3498626,0.7832875,0.136,0.0,125,0.15940587,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,10,0.0,2,32,0.3160395,0.44377655,0.44377655,0.96504194,0.10838222,0.12773706,0.019354839,0.0,0.0,0.0,-25.885275,26.000002,2.1231346,0.7077116,0.18400002,0.0,125,0.16181727,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,11,0.0,2,32,0.44377655,0.56862247,0.56862247,0.9767842,0.10549109,0.12484592,0.019354839,0.0,0.0,0.0,-26.956512,26.000002,2.1489682,0.7163228,0.14400001,0.0,125,0.14497685,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,12,0.0,2,32,0.56862247,0.6779828,0.6779828,1.0457308,0.09000552,0.10936035,0.019354839,0.0,0.0,0.0,-27.366617,26.000002,2.3006537,0.76688457,0.14400001,0.0,125,0.15521334,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,13,0.0,2,32,0.6779828,0.7858145,0.7858145,1.0531702,0.088476874,0.10783172,0.019354839,0.0,0.0,0.0,-27.451551,26.0,2.3170207,0.77234024,0.17999999,0.0,100,0.17788956,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,14,0.0,2,32,0.7858145,0.9025594,0.9025594,1.0114855,0.09739003,0.116744876,0.019354839,0.0,0.0,0.0,-26.645752,26.000002,2.2253125,0.74177086,0.17600001,0.0,125,0.13273984,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,15,1.0,3,48,0.9025594,0.12420209,0.12420209,0.990176,0.10228782,0.121642664,0.019354839,0.0,0.0,0.0,-27.182446,26.000002,2.1784308,0.7261436,0.14400001,0.0,125,0.1363823,-0.00035930646,48.746952,1.6083772,24.357035,1.0,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,16,0.0,3,48,0.12420209,0.23225555,0.23225555,1.0520831,0.088698626,0.10805346,0.019354839,0.0,0.0,0.0,-27.61498,26.000002,2.314629,0.771543,0.208,0.0,125,0.15233913,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,17,0.0,3,48,0.23225555,0.3574508,0.3574508,0.97534835,0.10584043,0.12519526,0.019354839,0.0,0.0,0.0,-26.332613,26.000002,2.1458092,0.71526974,0.192,0.0,125,0.12745742,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,18,0.0,3,48,0.3574508,0.47681776,0.47681776,0.9999474,0.10001211,0.119366944,0.019354839,0.0,0.0,0.0,-26.142962,26.000002,2.1999283,0.73330945,0.136,0.0,125,0.15326725,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,19,0.0,3,48,0.47681776,0.6052728,0.6052728,0.96217424,0.10910024,0.12845507,0.019354839,0.0,0.0,0.0,-26.953812,26.000002,2.1168256,0.70560855,0.18400002,0.0,125,0.1396823,,,,,,-22.857624,0.0,0.49494958,1
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,20,0.0,3,48,0.6052728,0.71917605,0.71917605,1.0243458,0.094548404,0.11390324,0.019354839,0.0,0.0,0.0,-27.07925,26.000002,2.2536056,0.75120187,0.136,0.0,125,0.14729524,,,,,,,,,0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,42,21,0.0,3,48,0.71917605,0.8321615,0.8321615,1.0285822,0.09363059,0.11298543,0.019354839,0.0,0.0,0.0,-27.554235,26.000002,2.262926,0.7543087,0.16800001,0.0,125,0.14044459,,,,,,,,,0
