condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,30,15.240525512001113,frontload,0.6,0.0,0.0,1000000,100.0,-22.789289474487305,26.0,0.0,0.0,0.4745575189590454,0.47636616230010986,0.47999998927116394,0.44999998807907104,0.6996958255767822,0.6852589249610901,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.5526448488235474,0.6000000238418579,0.0,0.0,5.288556098937988,-24.025087356567383,1.8035305187636657,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,31,2.8004089149999345,frontload,0.6,0.0,0.0,1000000,100.0,-23.626760482788086,26.0,0.0,0.0,0.49570709466934204,0.49534961581230164,0.4899999797344208,0.38999998569488525,0.736548662185669,0.7342752814292908,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.45771586894989014,0.6000000238418579,0.0,0.0,5.130845069885254,-22.419668197631836,1.4654250535383475,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,32,2.800919585999509,frontload,0.6,0.0,0.0,1000000,100.0,-23.001306533813477,26.0,0.009999999776482582,0.0,0.46435555815696716,0.46882760524749756,0.5299999713897705,0.5299999713897705,0.6756023168563843,0.6907688975334167,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.7087588310241699,0.6000000238418579,0.0,0.0,5.024730682373047,-23.53278160095215,1.717934568851769,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,33,2.7959674579997227,frontload,0.6,0.0,0.0,1000000,100.0,-23.7950439453125,26.0,0.009999999776482582,0.0,0.5101369619369507,0.5063095092773438,0.35999998450279236,0.32999998331069946,0.7640408277511597,0.7498490214347839,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.9413491487503052,0.6000000238418579,0.0,0.0,5.206628322601318,-23.44659996032715,1.3974853185235332,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,34,2.8857995689995732,frontload,0.6,0.0,0.0,1000000,100.0,-23.973751068115234,26.0,0.0,0.009999999776482582,0.4955412745475769,0.503071665763855,0.4699999988079071,0.32999998331069946,0.7217413187026978,0.7273793816566467,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.8146110773086548,0.6000000238418579,0.0,0.0,5.244378566741943,-23.485767364501953,1.3253373225984064,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,35,2.9136814220000815,frontload,0.6,0.0,0.0,1000000,100.0,-23.123214721679688,26.0,0.0,0.0,0.47300267219543457,0.4682292342185974,0.4599999785423279,0.4099999964237213,0.707282543182373,0.699295163154602,4.0,104.0,4.0,4.0,0.16987179219722748,53.0,0.23404638469219208,0.6000000238418579,0.0,0.0,5.084035873413086,-23.448152542114258,1.6687175521852324,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,36,2.9902559209986066,frontload,0.6,0.0,0.0,1000000,100.0,-23.80042839050293,26.0,0.0,0.0,0.4673493802547455,0.4735669493675232,0.3999999761581421,0.4399999976158142,0.6542589664459229,0.6626390218734741,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.270136296749115,0.6000000238418579,0.0,0.0,5.1471428871154785,-23.7994441986084,1.3953114995757177,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,37,2.967992163999952,frontload,0.6,0.0,0.0,1000000,100.0,-23.73981475830078,26.0,0.009999999776482582,0.0,0.5170111060142517,0.5129316449165344,0.35999998450279236,0.3199999928474426,0.7340500354766846,0.7366421818733215,4.0,104.0,4.0,4.0,0.16346153616905212,51.0,0.16078612208366394,0.6000000238418579,0.0,0.0,4.717097282409668,-24.16936492919922,1.4197825560201496,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,38,2.894662230000904,frontload,0.6,0.0,0.0,1000000,100.0,-21.762237548828125,26.0,0.0,0.009999999776482582,0.4556412696838379,0.45720550417900085,0.4399999976158142,0.3799999952316284,0.6667647957801819,0.6671532392501831,4.0,104.0,4.0,4.0,0.17307692766189575,54.0,0.4817138612270355,0.6000000238418579,0.0,0.0,5.359621047973633,-22.908184051513672,2.2181739699323524,1.0
enabled_full__support__t1m__a1p00__c0p90,extension_full,support,full,1.0,0.9,39,2.798548328000834,frontload,0.6,0.0,0.0,1000000,100.0,-22.547941207885742,26.0,0.019999999552965164,0.009999999776482582,0.49398934841156006,0.49060821533203125,0.4399999976158142,0.44999998807907104,0.7162078022956848,0.712173581123352,4.0,104.0,4.0,4.0,0.1666666716337204,52.0,0.9305248856544495,0.6000000238418579,0.0,0.0,5.131564140319824,-23.095516204833984,1.9009681221574992,1.0
