condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,30,23.78145054199922,frontload,0.6,0.0,0.0,4000000,100.0,-29.14336395263672,26.0,0.0,0.0,1.1613095998764038,1.0976684093475342,0.11999999731779099,0.10999999940395355,1.4786977767944336,1.4040597677230835,4.0,104.0,4.0,4.0,0.164000004529953,205.0,0.3030005395412445,0.5999999642372131,0.0,0.0,2.995417356491089,-23.968515396118164,-0.7617490983421246,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,31,11.217972346001261,frontload,0.6,0.0,0.0,4000000,100.0,-26.052005767822266,26.0,0.0,0.0,0.7623002529144287,0.7488372325897217,0.20999999344348907,0.20999999344348907,1.0296978950500488,1.0138870477676392,4.0,104.0,4.0,4.0,0.15839999914169312,198.0,0.9506356120109558,0.5999999642372131,0.0,0.0,2.091815233230591,-25.196266174316406,0.4863001915974692,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,32,11.836316392000299,frontload,0.6,0.0,0.0,4000000,100.0,-27.924510955810547,26.0,0.0,0.0,0.7010984420776367,0.7092872858047485,0.25999999046325684,0.29999998211860657,1.0019925832748413,1.0164740085601807,4.0,104.0,4.0,4.0,0.13359999656677246,167.0,0.44592738151550293,0.5999999642372131,0.0,0.0,1.918036699295044,-26.01128578186035,-0.26967133630790946,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,33,11.253057579000597,frontload,0.6,0.0,0.0,4000000,100.0,-28.03493309020996,26.0,0.0,0.0,0.9864839911460876,0.9544558525085449,0.08999999612569809,0.09999999403953552,1.3037281036376953,1.2734546661376953,4.0,104.0,4.0,4.0,0.15039999783039093,188.0,0.7148124575614929,0.5999999642372131,0.0,0.0,1.4984453916549683,-25.181102752685547,-0.31425118056787665,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,34,11.097233275999315,frontload,0.6,0.0,0.0,4000000,100.0,-26.675594329833984,26.0,0.0,0.0,0.6574447154998779,0.6559094190597534,0.11999999731779099,0.10999999940395355,0.9428823590278625,0.9428892135620117,4.0,104.0,4.0,4.0,0.14640000462532043,183.0,0.18991318345069885,0.5999999642372131,0.0,0.0,1.702280879020691,-24.4390869140625,0.23454377402792423,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,35,11.853764804000093,frontload,0.6,0.0,0.0,4000000,100.0,-28.15835952758789,26.0,0.0,0.0,0.7015271186828613,0.7050262689590454,0.11999999731779099,0.14000000059604645,1.0037962198257446,1.0092698335647583,4.0,104.0,4.0,4.0,0.14159999787807465,177.0,0.9372246265411377,0.5999999642372131,0.0,0.0,1.1496973037719727,-26.45775604248047,-0.3640811479543782,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,36,11.42819609199978,frontload,0.6,0.0,0.0,4000000,100.0,-34.87800598144531,26.0,0.0,0.0,1.3848216533660889,1.3034985065460205,0.07000000029802322,0.07999999821186066,1.7360475063323975,1.650631070137024,4.0,104.0,4.0,4.0,0.1624000072479248,203.0,0.4941548705101013,0.5999999642372131,0.0,0.0,1.9470901489257812,-26.137392044067383,-3.0769502119723446,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,37,11.466494348998822,frontload,0.6,0.0,0.0,4000000,100.0,-32.26570129394531,26.0,0.0,0.0,1.3491705656051636,1.2716386318206787,0.029999999329447746,0.029999999329447746,1.6421945095062256,1.5649827718734741,4.0,104.0,4.0,4.0,0.14880000054836273,186.0,0.87042236328125,0.5999999642372131,0.0,0.0,1.1879297494888306,-26.8424072265625,-2.022305355107939,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,38,11.926066129000901,frontload,0.6,0.0,0.0,4000000,100.0,-24.13213348388672,26.0,0.0,0.0,0.6612280607223511,0.6649991273880005,0.11999999731779099,0.08999999612569809,0.9040582776069641,0.9110410213470459,4.0,104.0,4.0,4.0,0.17919999361038208,224.0,0.9049534797668457,0.5999999642372131,0.0,0.0,4.205987453460693,-22.614656448364258,1.2613948579194443,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,39,11.822691940000368,frontload,0.6,0.0,0.0,4000000,100.0,-27.091083526611328,26.0,0.0,0.0,0.7114012241363525,0.7065910696983337,0.14999999105930328,0.19999998807907104,0.9994276165962219,0.9910409450531006,4.0,104.0,4.0,4.0,0.13680000603199005,171.0,0.15231634676456451,0.5999999642372131,0.0,0.0,1.4214074611663818,-25.184547424316406,0.06680164710041646,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,40,11.762320210000325,frontload,0.6,0.0,0.0,4000000,100.0,-32.16598129272461,26.0,0.0,0.0,1.3052394390106201,1.230928897857666,0.029999999329447746,0.07000000029802322,1.6756582260131836,1.5958384275436401,4.0,104.0,4.0,4.0,0.14239999651908875,178.0,0.3424570560455322,0.5999999642372131,0.0,0.0,1.797079086303711,-26.2551212310791,-1.9820461973928507,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,41,11.36205299500034,frontload,0.6,0.0,0.0,4000000,100.0,-24.259042739868164,26.0,0.0,0.0,0.6539321541786194,0.6504422426223755,0.1599999964237213,0.19999998807907104,0.9252802729606628,0.9219642281532288,4.0,104.0,4.0,4.0,0.17679999768733978,221.0,0.5328445434570312,0.5999999642372131,0.0,0.0,3.1370341777801514,-23.757246017456055,1.2101588000622694,1.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,42,11.935237720999794,frontload,0.6,0.0,0.0,4000000,100.0,-27.98508644104004,26.0,0.0,0.0,0.9270996451377869,0.916254997253418,0.14000000059604645,0.14000000059604645,1.2602651119232178,1.2453473806381226,4.0,104.0,4.0,4.0,0.1656000018119812,207.0,0.5667092800140381,0.5999999642372131,0.0,0.0,1.7595332860946655,-24.851661682128906,-0.294126991980483,0.0
enabled_full__support__t4m__a1p00__c0p90,extension_full,support,long4m,1.0,0.9,43,11.14516279199961,frontload,0.6,0.0,0.0,4000000,100.0,-32.13283920288086,26.0,0.009999999776482582,0.0,1.279533863067627,1.1988577842712402,0.12999999523162842,0.09999999403953552,1.6526944637298584,1.5621148347854614,4.0,104.0,4.0,4.0,0.15199999511241913,190.0,0.5949070453643799,0.5999999642372131,0.0,0.0,1.8453336954116821,-26.58089256286621,-1.968666006802258,0.0
