condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,0,1.0,1,16,1.0,0.42000002,0.42000002,1.083093,0.0825861,0.0,0.0,0.0,0.0,0.0,-28.473131,26.0,2.3828523,0.7942841,0.14,0.0,100,0.17695096,-0.0005782807,59.87594,1.6093336,29.921299,1.0,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,1,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0548825,0.08812872,0.0,0.0,0.0,0.0,0.0,-28.079174,26.000002,2.320788,0.773596,0.14400001,0.0,125,0.13454519,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,2,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0288714,0.09356826,0.0,0.0,0.0,0.0,0.0,-26.490976,26.000002,2.2635624,0.75452083,0.136,0.0,125,0.17056471,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,3,0.0,1,16,0.42000002,0.42000002,0.42000002,0.99481297,0.10120151,0.0,0.0,0.0,0.0,0.0,-26.254454,26.000002,2.1886322,0.7295441,0.15200001,0.0,125,0.15405217,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,4,0.0,1,16,0.42000002,0.42000002,0.42000002,0.9994637,0.10012358,0.0,0.0,0.0,0.0,0.0,-26.66585,26.000002,2.198864,0.7329547,0.224,0.0,125,0.17306194,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,5,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0366005,0.09191778,0.0,0.0,0.0,0.0,0.0,-26.765472,26.000002,2.2805665,0.7601888,0.14400001,0.0,125,0.13946266,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,6,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0178612,0.09597073,0.0,0.0,0.0,0.0,0.0,-27.24526,26.000002,2.2393394,0.7464465,0.16000001,0.0,125,0.1484693,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,7,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0248934,0.094429255,0.0,0.0,0.0,0.0,0.0,-26.665201,26.000002,2.2548106,0.75160354,0.096,0.0,125,0.14190531,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,8,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0233912,0.09475643,0.0,0.0,0.0,0.0,0.0,-26.503859,26.000002,2.2515056,0.7505019,0.136,0.0,125,0.16703026,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,9,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0013839,0.099681854,0.0,0.0,0.0,0.0,0.0,-26.639261,26.000002,2.2030885,0.73436284,0.17600001,0.0,125,0.16739073,,,,,,,,,0
fragile_full__base__t1m__a0p00__c0p58,extension_full,base,full,0.0,0.58,46,10,0.0,1,16,0.42000002,0.42000002,0.42000002,1.0522313,0.08866835,0.0,0.0,0.0,0.0,0.0,-28.610909,26.000002,2.314955,0.7716517,0.104,0.0,125,0.15299354,,,,,,,,,0
