condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,0,1.0,1,16,1.0,0.42000002,0.42000002,1.0316244,0.092976995,0.0,0.0,0.0,0.0,0.0,-27.154165,26.0,2.269619,0.7565397,0.17,0.0,100,0.1458518,-0.0005117337,51.6522,1.6093417,25.809494,1.0,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,1,1.0,2,32,0.42000002,-0.15999997,-0.15999997,0.9919609,0.10186831,0.0,0.0,0.0,0.0,0.15999997,-27.146132,26.000002,2.1823575,0.7274525,0.18400002,0.0,125,0.15669166,-0.00036851407,51.97312,1.6089174,25.9701,1.0,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,2,0.0,2,32,-0.15999997,-0.16319996,-0.16319996,0.9938891,0.10141705,0.0,0.0,0.0031999992,0.15999997,0.16319996,-26.698692,26.000002,2.1865997,0.7288666,0.16800001,0.0,125,0.1543278,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,3,0.0,2,32,-0.16319996,-0.16646396,-0.16646396,1.0593052,0.087235816,0.0,0.0,0.0032639992,0.16319996,0.16646396,-27.65525,26.000002,2.330518,0.7768394,0.17600001,0.0,125,0.15183775,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,4,0.0,2,32,-0.16646396,-0.16979323,-0.16979323,1.0027202,0.099375606,0.0,0.0,0.0033292791,0.16646396,0.16979323,-26.971655,26.000002,2.2060287,0.7353429,0.17600001,0.0,125,0.15176408,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,5,0.0,2,32,-0.16979323,-0.1731891,-0.1731891,1.0217359,0.0951183,0.0,0.0,0.0033958645,0.16979323,0.1731891,-27.67141,26.000002,2.2478638,0.74928796,0.192,0.0,125,0.14351016,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,6,0.0,2,32,-0.1731891,-0.17665288,-0.17665288,1.0244657,0.09452231,0.0,0.0,0.003463782,0.1731891,0.17665288,-26.442333,26.000002,2.2538695,0.75128984,0.18400002,0.0,125,0.13536827,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,7,0.0,2,32,-0.17665288,-0.18018593,-0.18018593,0.99040776,0.10223325,0.0,0.0,0.0035330574,0.17665288,0.18018593,-26.019556,26.000002,2.1789405,0.72631353,0.120000005,0.0,125,0.1385908,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,8,0.0,2,32,-0.18018593,-0.18378964,-0.18378964,1.0239038,0.094644666,0.0,0.0,0.0036037185,0.18018593,0.18378964,-27.221266,26.000002,2.2526333,0.7508778,0.136,0.0,125,0.13953106,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,9,0.0,2,32,-0.18378964,-0.18746543,-0.18746543,1.0047977,0.09890136,0.0,0.0,0.0036757928,0.18378964,0.18746543,-27.725088,26.000002,2.210599,0.73686635,0.16800001,0.0,125,0.13411362,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,10,0.0,2,32,-0.18746543,-0.19121474,-0.19121474,1.0568465,0.08773108,0.0,0.0,0.0037493084,0.18746543,0.19121474,-27.450317,26.000002,2.3251088,0.7750363,0.16800001,0.008,125,0.1486741,,,,,,,,,0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,54,11,0.0,2,32,-0.19121474,-0.19503903,-0.19503903,1.0484842,0.08943671,0.0,0.0,0.0038242948,0.19121474,0.19503903,-27.213371,26.000002,2.3067114,0.76890385,0.096,0.0,125,0.1847045,,,,,,,,,0
