condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,30,15.18930624999848,none,0.0,0.6,0.02,1000000,100.0,-24.538692474365234,26.0,0.0,0.0,0.6578071117401123,0.6494735479354858,0.22999998927116394,0.25,0.9801325798034668,0.9749928712844849,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.14754043519496918,-27.4218692779541,1.097258051683992,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,31,2.904225939000753,none,0.0,0.6,0.02,1000000,100.0,-26.52633285522461,26.0,0.0,0.0,0.6559399366378784,0.6454826593399048,0.2199999988079071,0.25,0.9716989398002625,0.9565213322639465,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.15905699133872986,-27.175806045532227,0.2948039141555388,0.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,32,2.911324599999716,none,0.0,0.6,0.02,1000000,100.0,-24.10341453552246,26.0,0.009999999776482582,0.009999999776482582,0.5153884291648865,0.5130742788314819,0.3999999761581421,0.429999977350235,0.7770257592201233,0.773815929889679,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.17723415791988373,-27.208194732666016,1.2729893290130536,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,33,2.907362911000746,none,0.0,0.6,0.02,1000000,100.0,-24.702089309692383,26.0,0.009999999776482582,0.0,0.5500504970550537,0.5522575974464417,0.4099999964237213,0.32999998331069946,0.8136096596717834,0.8099335432052612,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.15142935514450073,-27.46285057067871,1.031291155544241,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,34,2.8359794009993493,none,0.0,0.6,0.02,1000000,100.0,-25.264822006225586,26.0,0.0,0.0,0.6067072153091431,0.6062327027320862,0.22999998927116394,0.26999998092651367,0.8770089745521545,0.8625965714454651,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.16440273821353912,-27.53391456604004,0.8041035893204289,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,35,2.70183227599955,none,0.0,0.6,0.02,1000000,100.0,-24.621667861938477,26.0,0.0,0.0,0.607937216758728,0.6001324653625488,0.29999998211860657,0.28999999165534973,0.8974514603614807,0.8820329904556274,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.16063141822814941,-27.64957618713379,1.063759062776156,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,36,2.7093617470000027,none,0.0,0.6,0.02,1000000,100.0,-24.643905639648438,26.0,0.009999999776482582,0.0,0.6130632162094116,0.6148952841758728,0.2199999988079071,0.17999999225139618,0.8658329844474792,0.8658841252326965,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.15357951819896698,-27.537967681884766,1.0547811828212916,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,37,2.914595707999979,none,0.0,0.6,0.02,1000000,100.0,-25.35108184814453,26.0,0.0,0.0,0.5864834785461426,0.5819590091705322,0.41999998688697815,0.35999998450279236,0.8535265922546387,0.8487212657928467,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.17635813355445862,-27.495283126831055,0.7692785939555832,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,38,2.737643525999374,none,0.0,0.6,0.02,1000000,100.0,-22.38441276550293,26.0,0.0,0.0,0.5526875257492065,0.5599165558815002,0.19999998807907104,0.2199999988079071,0.7863007187843323,0.7956036329269409,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.15240205824375153,-26.80226707458496,1.9669881509601617,1.0
fragile_full__borrow__t1m__a0p00__c0p58,extension_full,borrow,full,0.0,0.58,39,2.7008389059992624,none,0.0,0.6,0.02,1000000,100.0,-23.484018325805664,26.0,0.0,0.0,0.5887695550918579,0.589099645614624,0.25999999046325684,0.3100000023841858,0.8496215343475342,0.845765233039856,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,-0.6000000238418579,0.0,3.3590197563171387,0.6000000238418579,0.12905637919902802,-26.012500762939453,1.5230532017553586,1.0
