update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_raw_mean,energy_E_raw_median,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_min,energy_E_raw_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,support_s_mean,support_s_median,support_s_q25,support_s_q75,support_s_min,support_s_max,debt_charge_mean,debt_charge_median,debt_charge_q25,debt_charge_q75,debt_charge_min,debt_charge_max,debt_level_pre_mean,debt_level_pre_median,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_min,debt_level_pre_max,debt_level_post_mean,debt_level_post_median,debt_level_post_q25,debt_level_post_q75,debt_level_post_min,debt_level_post_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max,eval_return_end_mean_cp_mean,eval_return_end_mean_cp_median,eval_return_end_mean_cp_q25,eval_return_end_mean_cp_q75,eval_return_end_mean_cp_min,eval_return_end_mean_cp_max,eval_csr_cp_mean,eval_csr_cp_median,eval_csr_cp_q25,eval_csr_cp_q75,eval_csr_cp_min,eval_csr_cp_max,eval_dbar_end_cp_mean,eval_dbar_end_cp_median,eval_dbar_end_cp_q25,eval_dbar_end_cp_q75,eval_dbar_end_cp_min,eval_dbar_end_cp_max,eval_checkpoint_flag_mean,eval_checkpoint_flag_median,eval_checkpoint_flag_q25,eval_checkpoint_flag_q75,eval_checkpoint_flag_min,eval_checkpoint_flag_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,1.0447404,1.0389724,1.019595742225647,1.0671032071113586,0.9784316,1.1350667,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.536686,-27.520226,-28.134815216064453,-26.98329782485962,-28.931879,-26.322607,26.0,26.0,26.0,26.0,26.0,26.0,2.2984748,2.2857847,2.2431554794311523,2.3476739525794983,2.1525924,2.4971967,0.7661583,0.7619283,0.7477184981107712,0.7825580090284348,0.71753085,0.8323989,0.1528125,0.155,0.13749999925494194,0.17000000178813934,0.07,0.22,0.0003125,0.0,0.0,0.0,0.0,0.01,100.0,100.0,100.0,100.0,100,100,0.16019984,0.15729368,0.14264825358986855,0.17653607577085495,0.12611115,0.21411662,-0.00062344386,-0.0005861651,-0.000693605121341534,-0.0005102295253891498,-0.0010959309,-0.00039915967,54.970543,54.51586,52.835710525512695,57.48189163208008,50.188774,60.54487,1.6093216,1.6093243,1.6093030273914337,1.6093438565731049,1.6092222,1.6093736,27.468555,27.241207,26.401345252990723,28.72396993637085,25.077732,30.255863,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.42000002,0.42000002,0.42000001668930054,0.42000001668930054,0.42000002,0.42000002,-0.15999997,-0.15999997,-0.15999996662139893,-0.15999996662139893,-0.15999997,-0.15999997,-0.15999997,-0.15999997,-0.15999996662139893,-0.15999996662139893,-0.15999997,-0.15999997,1.0326464,1.0337217,1.017987310886383,1.0498546361923218,0.9528673,1.1076319,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15999997,0.15999997,0.15999996662139893,0.15999996662139893,0.15999997,0.15999997,-27.370176,-27.4151,-27.99587631225586,-27.04631996154785,-28.46121,-25.809076,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2718675,2.2742329,2.239616811275482,2.309726297855377,2.09635,2.4368389,0.7572892,0.7580777,0.7465389370918274,0.7699088007211685,0.69878334,0.81227964,0.1595,0.164,0.1420000083744526,0.18400001525878906,0.072000004,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1601295,0.15757054,0.14520731195807457,0.17407873272895813,0.1316319,0.20499255,-0.0004208094,-0.000434896,-0.0005007732688682154,-0.0003092759143328294,-0.0006747835,-0.00022983544,52.031982,52.07737,50.0263729095459,53.82307434082031,45.227413,60.257027,1.6088073,1.6088372,1.6087102591991425,1.6089064478874207,1.6082933,1.6090887,25.999483,26.022148,24.99654197692871,26.89486789703369,22.59718,30.112011,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.15999997,-0.15999997,-0.15999996662139893,-0.15999996662139893,-0.15999997,-0.15999997,-0.16319996,-0.16319996,-0.16319996118545532,-0.16319996118545532,-0.16319996,-0.16319996,-0.16319996,-0.16319996,-0.16319996118545532,-0.16319996118545532,-0.16319996,-0.16319996,1.021955,1.0208101,0.9943015277385712,1.0365944504737854,0.94603413,1.1238964,0.095461845,0.09533097,0.09191946685314178,0.1013207919895649,0.075180225,0.113231115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031999992,0.0031999992,0.0031999992206692696,0.0031999992206692696,0.0031999992,0.0031999992,0.15999997,0.15999997,0.15999996662139893,0.15999996662139893,0.15999997,0.15999997,0.16319996,0.16319996,0.16319996118545532,0.16319996118545532,0.16319996,0.16319996,-27.187325,-27.18405,-27.85194492340088,-26.497098445892334,-29.153122,-25.301771,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2483459,2.245827,2.1875070333480835,2.2805533409118652,2.0813167,2.4726214,0.74944866,0.748609,0.7291690409183502,0.7601844668388367,0.69377226,0.8242072,0.15925,0.16800001,0.13600000739097595,0.18400001525878906,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15735705,0.16052131,0.14282670244574547,0.17229846119880676,0.11959739,0.20714007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.16319996,-0.16319996,-0.16319996118545532,-0.16319996118545532,-0.16319996,-0.16319996,-0.16646396,-0.16646396,-0.1664639562368393,-0.1664639562368393,-0.16646396,-0.16646396,-0.16646396,-0.16646396,-0.1664639562368393,-0.1664639562368393,-0.16646396,-0.16646396,1.014799,1.0155587,0.9802504926919937,1.05056893825531,0.9477551,1.0928495,0.0970367,0.096481934,0.08900841325521469,0.10465305112302303,0.08075149,0.11278333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032639992,0.0032639992,0.003263999242335558,0.003263999242335558,0.0032639992,0.0032639992,0.16319996,0.16319996,0.16319996118545532,0.16319996118545532,0.16319996,0.16319996,0.16646396,0.16646396,0.1664639562368393,0.1664639562368393,0.16646396,0.16646396,-27.262041,-27.30756,-27.876169204711914,-26.903191566467285,-29.091066,-25.643568,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2326024,2.2342734,2.1565940976142883,2.31129789352417,2.0851028,2.404317,0.74420077,0.7447579,0.7188647240400314,0.7704326659440994,0.69503427,0.801439,0.1595,0.16000001,0.14000000804662704,0.17600001394748688,0.080000006,0.24000001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1515587,0.15328741,0.1388765275478363,0.16116400435566902,0.11625496,0.1880583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.16646396,-0.16646396,-0.1664639562368393,-0.1664639562368393,-0.16646396,-0.16646396,-0.16979323,-0.16979323,-0.1697932332754135,-0.1697932332754135,-0.16979323,-0.16979323,-0.16979323,-0.16979323,-0.1697932332754135,-0.1697932332754135,-0.16979323,-0.16979323,1.0081217,1.0040251,0.9846613109111786,1.0378699600696564,0.91406137,1.092697,0.098571986,0.099077925,0.0916496142745018,0.10359918884932995,0.080779836,0.12188172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033292791,0.0033292791,0.0033292791340500116,0.0033292791340500116,0.0033292791,0.0033292791,0.16646396,0.16646396,0.1664639562368393,0.1664639562368393,0.16646396,0.16646396,0.16979323,0.16979323,0.1697932332754135,0.1697932332754135,0.16979323,0.16979323,-26.987856,-26.94817,-27.619332790374756,-26.381062030792236,-28.549606,-25.434715,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.217912,2.2088995,2.1662981510162354,2.2833595275878906,2.0109751,2.4039814,0.739304,0.7362998,0.7220994234085083,0.7611198425292969,0.67032504,0.80132717,0.16625,0.16000001,0.1420000083744526,0.1940000019967556,0.096,0.24800001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.14973028,0.14810237,0.13690011948347092,0.15837004780769348,0.122517526,0.1828049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.16979323,-0.16979323,-0.1697932332754135,-0.1697932332754135,-0.16979323,-0.16979323,-0.1731891,-0.1731891,-0.17318910360336304,-0.17318910360336304,-0.1731891,-0.1731891,-0.1731891,-0.1731891,-0.17318910360336304,-0.17318910360336304,-0.1731891,-0.1731891,1.0209988,1.020551,1.006208598613739,1.0319980084896088,0.9513551,1.0934236,0.09551032,0.09537853,0.09289753064513206,0.09858345612883568,0.08064481,0.111852296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033958645,0.0033958645,0.0033958645071834326,0.0033958645071834326,0.0033958645,0.0033958645,0.16979323,0.16979323,0.1697932332754135,0.1697932332754135,0.16979323,0.16979323,0.1731891,0.1731891,0.17318910360336304,0.17318910360336304,0.1731891,0.1731891,-27.184958,-27.17595,-27.556732177734375,-26.992981910705566,-28.37654,-25.082329,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2462423,2.245257,2.213703155517578,2.2704408764839172,2.093023,2.40558,0.7487474,0.748419,0.7379010766744614,0.7568136304616928,0.6976744,0.80186003,0.15500002,0.16000001,0.1420000083744526,0.17800001427531242,0.040000003,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15524445,0.15131474,0.14345518127083778,0.16267776116728783,0.12662417,0.19194485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.1731891,-0.1731891,-0.17318910360336304,-0.17318910360336304,-0.1731891,-0.1731891,-0.17665288,-0.17665288,-0.17665287852287292,-0.17665287852287292,-0.17665288,-0.17665288,-0.17665288,-0.17665288,-0.17665287852287292,-0.17665287852287292,-0.17665288,-0.17665288,1.0121084,1.0122623,0.991533026099205,1.032462477684021,0.9639194,1.0857195,0.097458065,0.097217105,0.09279812499880791,0.10196903720498085,0.082088165,0.108662724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003463782,0.003463782,0.0034637819044291973,0.0034637819044291973,0.003463782,0.003463782,0.1731891,0.1731891,0.17318910360336304,0.17318910360336304,0.1731891,0.1731891,0.17665288,0.17665288,0.17665287852287292,0.17665287852287292,0.17665288,0.17665288,-27.006844,-27.118914,-27.29188060760498,-26.57759952545166,-28.24881,-25.699493,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.226683,2.2270217,2.1814162135124207,2.2714627385139465,2.120665,2.3886304,0.7422277,0.7423406,0.7271387726068497,0.7571542859077454,0.7068884,0.79621017,0.16175,0.16800001,0.14400000870227814,0.18400001525878906,0.112,0.216,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.14788343,0.14748444,0.1346118077635765,0.16008605062961578,0.12616476,0.18647288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.17665288,-0.17665288,-0.17665287852287292,-0.17665287852287292,-0.17665288,-0.17665288,-0.18018593,-0.18018593,-0.180185928940773,-0.180185928940773,-0.18018593,-0.18018593,-0.18018593,-0.18018593,-0.180185928940773,-0.180185928940773,-0.18018593,-0.18018593,1.0071383,1.0082802,0.9854105412960052,1.030176043510437,0.92230713,1.0939893,0.09870865,0.098111555,0.09329178370535374,0.10341641493141651,0.08053984,0.119589455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035330574,0.0035330574,0.003533057402819395,0.003533057402819395,0.0035330574,0.0035330574,0.17665288,0.17665288,0.17665287852287292,0.17665287852287292,0.17665288,0.17665288,0.18018593,0.18018593,0.180185928940773,0.180185928940773,0.18018593,0.18018593,-26.90566,-26.953018,-27.459854125976562,-26.63622283935547,-27.882511,-24.893196,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2157485,2.2182608,2.167946457862854,2.266432523727417,2.0291162,2.4068244,0.73858285,0.73942024,0.7226488590240479,0.7554775476455688,0.67637205,0.8022748,0.16025001,0.15200001,0.13600000739097595,0.18400001525878906,0.112,0.224,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15268768,0.1505948,0.1371571235358715,0.1660800538957119,0.113418505,0.1903146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.18018593,-0.18018593,-0.180185928940773,-0.180185928940773,-0.18018593,-0.18018593,-0.18378964,-0.18378964,-0.18378964066505432,-0.18378964066505432,-0.18378964,-0.18378964,-0.18378964,-0.18378964,-0.18378964066505432,-0.18378964066505432,-0.18378964,-0.18378964,1.0120405,1.0166054,0.9968216568231583,1.0261395871639252,0.9410549,1.0741032,0.09748975,0.096248865,0.09416046924889088,0.10073753073811531,0.08431343,0.11453682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036037185,0.0036037185,0.003603718476369977,0.003603718476369977,0.0036037185,0.0036037185,0.18018593,0.18018593,0.180185928940773,0.180185928940773,0.18018593,0.18018593,0.18378964,0.18378964,0.18378964066505432,0.18378964066505432,0.18378964,0.18378964,-27.087843,-27.159225,-27.59120225906372,-26.618764877319336,-28.597866,-25.444704,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2265334,2.2365766,2.1930514574050903,2.2575522661209106,2.070362,2.3630743,0.74217784,0.74552554,0.7310171872377396,0.7525174617767334,0.6901207,0.7876915,0.16875,0.17200002,0.14400000870227814,0.19200000166893005,0.096,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15370043,0.1490739,0.13926639035344124,0.16465499252080917,0.12418869,0.20340918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.18378964,-0.18378964,-0.18378964066505432,-0.18378964066505432,-0.18378964,-0.18378964,-0.18746543,-0.18746543,-0.18746542930603027,-0.18746542930603027,-0.18746543,-0.18746543,-0.18746543,-0.18746543,-0.18746542930603027,-0.18746542930603027,-0.18746543,-0.18746543,1.006038,1.0031475,0.9780405908823013,1.0302242934703827,0.95479816,1.0667741,0.09890704,0.0992786,0.09327995032072067,0.10518682561814785,0.085748374,0.11096905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036757928,0.0036757928,0.003675792831927538,0.003675792831927538,0.0036757928,0.0036757928,0.18378964,0.18378964,0.18378964066505432,0.18378964066505432,0.18378964,0.18378964,0.18746543,0.18746543,0.18746542930603027,0.18746542930603027,0.18746543,0.18746543,-27.060581,-27.05618,-27.54092788696289,-26.70551347732544,-28.668804,-25.302708,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2133276,2.2069683,2.1517322063446045,2.266538619995117,2.1005979,2.34695,0.7377759,0.73565614,0.7172440886497498,0.7555128931999207,0.7001993,0.7823167,0.16450001,0.164,0.14400000870227814,0.1860000118613243,0.08800001,0.23200001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1552766,0.148435,0.14414450526237488,0.16408564522862434,0.112956874,0.20805362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
