condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,30,15.312805517000015,frontload,0.6,0.0,0.0,1000000,100.0,-23.60323143005371,26.0,0.0,0.0,0.5713550448417664,0.578025221824646,0.3100000023841858,0.20999999344348907,0.845536470413208,0.8548875451087952,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14977911114692688,-27.585365295410156,1.4749242496206192,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,31,2.905317844999445,frontload,0.6,0.0,0.0,1000000,100.0,-27.65300750732422,26.0,0.0,0.0,0.7809174060821533,0.7704167366027832,0.14999999105930328,0.14000000059604645,1.1073240041732788,1.094740390777588,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15747247636318207,-27.151025772094727,-0.16005942275999718,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,32,2.703411958000288,frontload,0.6,0.0,0.0,1000000,100.0,-23.30379295349121,26.0,0.0,0.0,0.555774450302124,0.5523247718811035,0.25999999046325684,0.3499999940395355,0.8124457597732544,0.8106383085250854,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.18119992315769196,-27.196718215942383,1.5958141484004504,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,33,2.7333229779997055,frontload,0.6,0.0,0.0,1000000,100.0,-23.42953109741211,26.0,0.0,0.0,0.4998703896999359,0.5054857730865479,0.4699999988079071,0.4599999785423279,0.7676498293876648,0.7666760087013245,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15696637332439423,-27.459030151367188,1.5450508942393286,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,34,2.953562344000602,frontload,0.6,0.0,0.0,1000000,100.0,-24.51249885559082,26.0,0.0,0.0,0.6006962060928345,0.6006503701210022,0.25999999046325684,0.25999999046325684,0.8913560509681702,0.8941841721534729,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.16641439497470856,-27.439943313598633,1.1078329916805743,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,35,2.6991633310008183,frontload,0.6,0.0,0.0,1000000,100.0,-24.26469612121582,26.0,0.009999999776482582,0.0,0.575998842716217,0.5783879160881042,0.29999998211860657,0.32999998331069946,0.8395497798919678,0.8434075117111206,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15457332134246826,-27.25260353088379,1.207876405672852,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,36,2.898304410999117,frontload,0.6,0.0,0.0,1000000,100.0,-31.05424690246582,26.0,0.0,0.0,1.0688536167144775,1.0361554622650146,0.12999999523162842,0.10999999940395355,1.4409722089767456,1.4009017944335938,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15147468447685242,-27.711851119995117,-1.5332145727756639,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,37,2.6968763990007574,frontload,0.6,0.0,0.0,1000000,100.0,-24.115543365478516,26.0,0.009999999776482582,0.0,0.5398315191268921,0.5384650230407715,0.3100000023841858,0.29999998211860657,0.7475608587265015,0.7418792843818665,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.17669422924518585,-27.351491928100586,1.26809265360067,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,38,2.6991745780014753,frontload,0.6,0.0,0.0,1000000,100.0,-24.46466827392578,26.0,0.0,0.0,0.6906935572624207,0.6825345754623413,0.22999998927116394,0.23999999463558197,0.9646031856536865,0.9512298107147217,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14821961522102356,-26.690155029296875,1.1271432494752505,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,39,2.828661932000614,frontload,0.6,0.0,0.0,1000000,100.0,-24.51335906982422,26.0,0.0,0.0,0.6409173607826233,0.6348793506622314,0.26999998092651367,0.20999999344348907,0.9304666519165039,0.9134477972984314,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.12817710638046265,-26.116178512573242,1.107485704275167,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,40,2.8942589620000945,frontload,0.6,0.0,0.0,1000000,100.0,-25.08946990966797,26.0,0.0,0.0,0.6472818851470947,0.6337127685546875,0.2800000011920929,0.3199999928474426,0.9292314052581787,0.9210464954376221,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.12730926275253296,-27.009502410888672,0.8748970873606079,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,41,2.7054864420006197,frontload,0.6,0.0,0.0,1000000,100.0,-28.248929977416992,26.0,0.0,0.0,0.7527873516082764,0.7450931072235107,0.14999999105930328,0.1599999964237213,1.0658053159713745,1.057488203048706,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.15924066305160522,-27.337509155273438,-0.4006464305392251,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,42,2.7021224159998383,frontload,0.6,0.0,0.0,1000000,100.0,-22.991764068603516,26.0,0.0,0.0,0.6142488718032837,0.6097061634063721,0.29999998211860657,0.3400000035762787,0.916540801525116,0.9149258136749268,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.16210006177425385,-27.622356414794922,1.721787071932152,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,43,2.7755094280000776,frontload,0.6,0.0,0.0,1000000,100.0,-26.506805419921875,26.0,0.0,0.0,0.7672668695449829,0.760687530040741,0.17000000178813934,0.1599999964237213,1.1364229917526245,1.1274975538253784,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1645239293575287,-27.211130142211914,0.3026875692698625,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,44,2.9081279050005833,frontload,0.6,0.0,0.0,1000000,100.0,-23.817996978759766,26.0,0.0,0.0,0.5071369409561157,0.5149593353271484,0.4099999964237213,0.429999977350235,0.7621819376945496,0.7654855251312256,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1309477537870407,-26.347408294677734,1.3882186740963236,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,45,2.8999980589996994,frontload,0.6,0.0,0.0,1000000,100.0,-25.604637145996094,26.0,0.0,0.0,0.6872835159301758,0.6817147135734558,0.17000000178813934,0.12999999523162842,0.9799702763557434,0.9766477942466736,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.12338100373744965,-26.21401596069336,0.6669127435670561,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,46,2.7247179730002244,frontload,0.6,0.0,0.0,1000000,100.0,-25.622406005859375,26.0,0.0,0.0,0.686888575553894,0.6802781820297241,0.1899999976158142,0.2199999988079071,0.9835946559906006,0.974951446056366,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14980091154575348,-27.014339447021484,0.6597390640354054,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,47,2.8868955810012267,frontload,0.6,0.0,0.0,1000000,100.0,-24.06027603149414,26.0,0.009999999776482582,0.019999999552965164,0.5279722213745117,0.5253723859786987,0.3999999761581421,0.3999999761581421,0.7744485139846802,0.7671131491661072,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1940496414899826,-28.16219711303711,1.2904052918691447,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,48,2.9001853419995314,frontload,0.6,0.0,0.0,1000000,100.0,-28.990018844604492,26.0,0.0,0.0,0.8712319135665894,0.8620657324790955,0.17999999225139618,0.1599999964237213,1.1982192993164062,1.1829618215560913,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.18715861439704895,-27.913721084594727,-0.6998403055870664,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,49,2.8358433110006445,frontload,0.6,0.0,0.0,1000000,100.0,-23.87273406982422,26.0,0.0,0.0,0.5553039312362671,0.5591311454772949,0.3700000047683716,0.25999999046325684,0.8300212621688843,0.8297625780105591,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1742604821920395,-26.405149459838867,1.3661201065566808,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,50,2.6979080399996747,frontload,0.6,0.0,0.0,1000000,100.0,-24.347015380859375,26.0,0.0,0.0,0.5041368007659912,0.5108264088630676,0.4099999964237213,0.38999998569488525,0.7497599720954895,0.7586100697517395,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14657028019428253,-26.47882080078125,1.1746423100409806,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,51,2.7024767060011072,frontload,0.6,0.0,0.0,1000000,100.0,-24.198577880859375,26.0,0.0,0.0,0.5835940837860107,0.5847962498664856,0.29999998211860657,0.3199999928474426,0.8339760899543762,0.8333858251571655,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.127377450466156,-27.442808151245117,1.2345697934964535,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,52,2.908913973999006,frontload,0.6,0.0,0.0,1000000,100.0,-25.42732810974121,26.0,0.0,0.0,0.6399096846580505,0.631591796875,0.26999998092651367,0.25999999046325684,0.9355641007423401,0.9336660504341125,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1756642758846283,-27.987518310546875,0.7384963012035719,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,53,2.8999144400004297,frontload,0.6,0.0,0.0,1000000,100.0,-23.838375091552734,26.0,0.0,0.0,0.5500079989433289,0.5436690449714661,0.2800000011920929,0.26999998092651367,0.7988182902336121,0.7918487191200256,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1449533998966217,-27.23426628112793,1.3799915817695572,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,54,2.7022910810010217,frontload,0.6,0.0,0.0,1000000,100.0,-22.84585189819336,26.0,0.0,0.0,0.543281078338623,0.5376470685005188,0.3799999952316284,0.4099999964237213,0.7898505926132202,0.7849577069282532,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.13326029479503632,-26.16386604309082,1.7806950242905977,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,55,2.734565462000319,frontload,0.6,0.0,0.0,1000000,100.0,-24.455768585205078,26.0,0.0,0.0,0.570448100566864,0.5723601579666138,0.3499999940395355,0.25999999046325684,0.8416325449943542,0.8442124724388123,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.11743827909231186,-26.344703674316406,1.1307362495498192,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,56,2.700214214999505,frontload,0.6,0.0,0.0,1000000,100.0,-23.985816955566406,26.0,0.0,0.0,0.5226836204528809,0.5276517271995544,0.3799999952316284,0.29999998211860657,0.7935963869094849,0.797703206539154,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.14681445062160492,-27.75806427001953,1.320466058459589,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,57,2.6954362359992956,frontload,0.6,0.0,0.0,1000000,100.0,-25.033632278442383,26.0,0.0,0.0,0.6505939960479736,0.6402770280838013,0.32999998331069946,0.3400000035762787,1.000503659248352,0.9858697056770325,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.16815902292728424,-27.693279266357422,0.8974399671683659,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,58,2.81614028399963,frontload,0.6,0.0,0.0,1000000,100.0,-23.507360458374023,26.0,0.0,0.0,0.5128558278083801,0.5109979510307312,0.2800000011920929,0.3100000023841858,0.727289080619812,0.7149282097816467,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.13317352533340454,-25.931968688964844,1.513629469455193,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,59,2.7637406419999024,frontload,0.6,0.0,0.0,1000000,100.0,-23.10993194580078,26.0,0.0,0.0,0.5662771463394165,0.5649355053901672,0.2800000011920929,0.26999998092651367,0.8128594756126404,0.8128910660743713,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1224917620420456,-26.130552291870117,1.6740801009463333,1.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,60,2.700693111999499,frontload,0.6,0.0,0.0,1000000,100.0,-32.35422897338867,26.0,0.0,0.0,1.0149548053741455,1.007932186126709,0.07000000029802322,0.05999999865889549,1.3946017026901245,1.3860288858413696,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.1671486496925354,-26.94186782836914,-2.0580459263597675,0.0
fragile_full__support__t1m__a0p00__c0p58,extension_full,support,full,0.0,0.58,61,2.8958843860000343,frontload,0.6,0.0,0.0,1000000,100.0,-23.807592391967773,26.0,0.0,0.0,0.5803142189979553,0.5807681083679199,0.3199999928474426,0.3100000023841858,0.8853579759597778,0.8838896155357361,4.0,104.0,4.0,4.0,0.006410256493836641,2.0,0.440000057220459,0.6000000238418579,0.0,0.0,0.16247113049030304,-27.807090759277344,1.392419234620707,1.0
