condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full_anchor_compat,above_R_THRESH_FULL_anchor
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,30,23.93426255600025,frontload,0.6,0.0,0.0,4000000,100.0,-24.22756004333496,26.0,0.0,0.0,0.6388651132583618,0.6360342502593994,0.17999999225139618,0.22999998927116394,0.9377806782722473,0.9398927092552185,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1900845319032669,-27.349328994750977,1.2228690570770209,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,31,11.286320613000498,frontload,0.6,0.0,0.0,4000000,100.0,-26.225542068481445,26.0,0.0,0.0,0.6800426840782166,0.6720199584960938,0.22999998927116394,0.19999998807907104,0.9583830833435059,0.9554738998413086,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.12411649525165558,-28.143770217895508,0.41623977029775083,0.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,32,11.054863869998371,frontload,0.6,0.0,0.0,4000000,100.0,-24.443376541137695,26.0,0.0,0.0,0.5669325590133667,0.5571187734603882,0.2800000011920929,0.32999998331069946,0.8096048831939697,0.8012519478797913,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.1289004236459732,-26.158058166503906,1.135739190288026,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,33,11.215184930999385,frontload,0.6,0.0,0.0,4000000,100.0,-25.837324142456055,26.0,0.0,0.0,0.654044508934021,0.6506263017654419,0.28999999165534973,0.29999998211860657,1.0041394233703613,1.0082757472991943,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.12301865220069885,-26.809938430786133,0.5729718854236762,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,34,11.028467987000113,frontload,0.6,0.0,0.0,4000000,100.0,-25.740652084350586,26.0,0.0,0.0,0.6636600494384766,0.6562212705612183,0.26999998092651367,0.23999999463558197,0.9967334270477295,0.9920275807380676,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.12702113389968872,-26.337684631347656,0.6120005214672769,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,35,11.372079737999229,frontload,0.6,0.0,0.0,4000000,100.0,-24.257944107055664,26.0,0.0,0.0,0.4996641278266907,0.5027779340744019,0.429999977350235,0.35999998450279236,0.747357189655304,0.7500153183937073,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.14642563462257385,-27.5261287689209,1.2106023422917918,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,36,11.213514483000836,frontload,0.6,0.0,0.0,4000000,100.0,-23.477792739868164,26.0,0.0,0.0,0.5473953485488892,0.5515661835670471,0.26999998092651367,0.23999999463558197,0.7505845427513123,0.7563885450363159,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.17632441222667694,-29.082195281982422,1.5255666077226522,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,37,10.995557447000465,frontload,0.6,0.0,0.0,4000000,100.0,-25.149049758911133,26.0,0.0,0.0,0.5948953628540039,0.6058489680290222,0.28999999165534973,0.25,0.8714853525161743,0.882420003414154,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.2009168416261673,-26.924837112426758,0.8508433918335391,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,38,11.402200344999073,frontload,0.6,0.0,0.0,4000000,100.0,-21.63479232788086,26.0,0.019999999552965164,0.009999999776482582,0.5450737476348877,0.5459067821502686,0.35999998450279236,0.32999998331069946,0.7597201466560364,0.7612645030021667,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.2172534167766571,-28.031042098999023,2.2696264086341382,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,39,11.20201222400101,frontload,0.6,0.0,0.0,4000000,100.0,-24.04477882385254,26.0,0.0,0.0,0.636328935623169,0.6218801736831665,0.26999998092651367,0.26999998092651367,0.9138094782829285,0.8997257947921753,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.14407184720039368,-26.715084075927734,1.2966618554366267,1.0
fragile_full__support__t4m__a0p00__c0p58,extension_full,support,long4m,0.0,0.58,40,11.34756347199982,frontload,0.6,0.0,0.0,4000000,100.0,-24.03243064880371,26.0,0.0,0.0,0.5731792449951172,0.570704996585846,0.3400000035762787,0.38999998569488525,0.8647432327270508,0.8567113876342773,4.0,104.0,4.0,4.0,0.0015999999595806003,2.0,0.44000014662742615,0.5999999642372131,0.0,0.0,0.17856860160827637,-27.989595413208008,1.3016470852871962,1.0
