condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_full,learned_R_full_0p5
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,30,15.58195906400033,none,0.0,0.0,0.0,1000000,100.0,-24.24519157409668,26.0,0.0,0.0,0.5998764634132385,0.6066733002662659,0.3499999940395355,0.3199999928474426,0.8833268284797668,0.8932182788848877,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.03233533352613449,0.0,0.0,0.0,0.14699473977088928,-27.060068130493164,1.2157508203240606,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,31,2.7567017059991485,none,0.0,0.0,0.0,1000000,100.0,-26.87867546081543,26.0,0.0,0.0,0.6803926825523376,0.6650097370147705,0.22999998927116394,0.23999999463558197,1.047999620437622,1.0151736736297607,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.9747944474220276,0.0,0.0,0.0,0.1560223400592804,-26.901742935180664,0.15255545492386183,0.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,32,3.000718835999578,none,0.0,0.0,0.0,1000000,100.0,-24.260400772094727,26.0,0.0,0.0,0.5083674788475037,0.5140557885169983,0.41999998688697815,0.4399999976158142,0.7560207843780518,0.7626522779464722,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.06330055743455887,0.0,0.0,0.0,0.1638546735048294,-26.925323486328125,1.2096105325841096,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,33,3.02593305299888,none,0.0,0.0,0.0,1000000,100.0,-24.301166534423828,26.0,0.0,0.0,0.5973201990127563,0.5883349776268005,0.3100000023841858,0.3700000047683716,0.8845928907394409,0.880183219909668,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.07252612709999084,0.0,0.0,0.0,0.14500120282173157,-27.168657302856445,1.1931524977376122,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,34,2.788550520001081,none,0.0,0.0,0.0,1000000,100.0,-25.593448638916016,26.0,0.0,0.0,0.6719786524772644,0.6616706848144531,0.23999999463558197,0.25999999046325684,0.9728797674179077,0.9687358140945435,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,1.0,0.0,0.0,0.0,0.17090632021427155,-27.5670108795166,0.6714297899531299,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,35,2.7035608900005172,none,0.0,0.0,0.0,1000000,100.0,-24.266870498657227,26.0,0.0,0.0,0.5379146933555603,0.5407953858375549,0.29999998211860657,0.3700000047683716,0.8046604990959167,0.8155130743980408,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.05184274911880493,0.0,0.0,0.0,0.16159740090370178,-26.656091690063477,1.206998561676922,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,36,2.8341069359994435,none,0.0,0.0,0.0,1000000,100.0,-24.073627471923828,26.0,0.0,0.0,0.6268042922019958,0.6207975745201111,0.17999999225139618,0.17999999225139618,0.883361279964447,0.8679788708686829,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.906699538230896,0.0,0.0,0.0,0.15613029897212982,-27.555320739746094,1.2850150217186986,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,37,2.94351549699968,none,0.0,0.0,0.0,1000000,100.0,-24.062997817993164,26.0,0.0,0.0,0.5275887250900269,0.5271388292312622,0.3799999952316284,0.3400000035762787,0.7834263443946838,0.7755991220474243,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.07492178678512573,0.0,0.0,0.0,0.15493011474609375,-26.850297927856445,1.2893064467970465,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,38,2.9400518570000713,none,0.0,0.0,0.0,1000000,100.0,-21.244043350219727,26.0,0.0,0.0,0.517393946647644,0.5138614177703857,0.3400000035762787,0.3799999952316284,0.7419986724853516,0.7335318326950073,4.0,104.0,4.0,4.0,0.009615384973585606,3.0,0.9360422492027283,0.0,0.0,0.0,0.1506441980600357,-26.572433471679688,2.4273803649728696,1.0
anchor_edge_full__base__t1m__a0p10__c1p00,reproduce_baseline,base,full,0.1,1.0,39,2.775890007000271,none,0.0,0.0,0.0,1000000,100.0,-24.550256729125977,26.0,0.0,0.0,0.5371819138526917,0.5347010493278503,0.32999998331069946,0.32999998331069946,0.7880080342292786,0.7802338004112244,4.0,104.0,4.0,4.0,0.012820512987673283,4.0,0.011450178921222687,0.0,0.0,0.0,0.12305168807506561,-25.603565216064453,1.092589307695113,1.0
