condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,0,1.0,1,16,1.0,0.19618405,0.19618405,1.016897,0.09618403,0.09618403,0.0,0.0,0.0,0.0,-27.29129,26.0,2.237218,0.74573934,0.17,0.0,100,0.16488466,-0.0010959309,53.67255,1.6092222,26.819088,1.0,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,1,0.0,1,16,0.19618405,0.29642126,0.29642126,0.9989711,0.1002372,0.1002372,0.0,0.0,0.0,0.0,-26.699919,26.000002,2.1977804,0.7325935,0.15200001,0.0,125,0.14461578,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,2,0.0,1,16,0.29642126,0.4030209,0.4030209,0.9722444,0.10659962,0.10659962,0.0,0.0,0.0,0.0,-25.657452,26.000002,2.1389804,0.7129935,0.18400002,0.0,125,0.12171873,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,3,0.0,1,16,0.4030209,0.503804,0.503804,0.99661213,0.10078313,0.10078313,0.0,0.0,0.0,0.0,-27.406658,26.000002,2.1925905,0.7308635,0.136,0.0,125,0.14578564,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,4,0.0,1,16,0.503804,0.61924195,0.61924195,0.93765134,0.115437955,0.115437955,0.0,0.0,0.0,0.0,-26.00392,26.000002,2.062874,0.6876247,0.224,0.0,125,0.13108754,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,5,0.0,1,16,0.61924195,0.7065245,0.7065245,1.0590725,0.08728255,0.08728255,0.0,0.0,0.0,0.0,-28.464544,26.000002,2.330006,0.77666867,0.15200001,0.0,125,0.16538191,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,6,0.0,1,16,0.7065245,0.8093494,0.8093494,0.98790157,0.10282494,0.10282494,0.0,0.0,0.0,0.0,-27.18933,26.000002,2.1734269,0.7244756,0.17600001,0.0,125,0.13910468,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,7,0.0,1,16,0.8093494,0.9135953,0.9135953,0.981941,0.1042459,0.1042459,0.0,0.0,0.0,0.0,-26.986813,26.000002,2.1603134,0.72010446,0.17600001,0.0,125,0.1334316,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,8,1.0,2,32,0.9135953,0.10312993,0.10312993,1.0480092,0.08953459,0.08953459,0.0,0.0,0.0,0.0,-27.838526,26.000002,2.3056662,0.7685554,0.14400001,0.0,125,0.14964394,-0.00047928496,52.481888,1.6082788,26.224382,1.0,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,9,0.0,2,32,0.10312993,0.2134004,0.2134004,0.95754075,0.11027046,0.11027046,0.0,0.0,0.0,0.0,-27.220388,26.000002,2.1066318,0.7022106,0.192,0.0,125,0.109431066,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,10,0.0,2,32,0.2134004,0.30964231,0.30964231,1.0166357,0.09624193,0.09624193,0.0,0.0,0.0,0.0,-27.125023,26.000002,2.236643,0.7455477,0.104,0.0,125,0.12986283,,,,,,,,,0
anchor_enabled_full__base__t1m__a1p00__c0p90,reproduce_baseline,base,full,1.0,0.9,53,11,0.0,2,32,0.30964231,0.40115407,0.40115407,1.0385231,0.09151176,0.09151176,0.0,0.0,0.0,0.0,-27.568516,26.000002,2.2847965,0.7615988,0.120000005,0.0,125,0.13786055,,,,,,,,,0
