condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,0,1.0,1,16,1.0,0.39999998,0.39999998,1.0482217,0.08949077,0.0,0.0,0.0,0.0,0.0,-26.494814,26.0,2.3061337,0.76871127,0.11,0.0,100,0.15574835,-0.0005911146,51.19335,1.6093247,25.57999,1.0,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,1,1.0,2,32,0.39999998,-0.20000005,-0.20000005,1.0343066,0.092404544,0.0,0.0,0.0,0.0,0.20000005,-26.970423,26.000002,2.27552,0.7585067,0.18400002,0.0,125,0.16650149,-0.00061601173,51.75187,1.6088339,25.85923,1.0,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,2,0.0,2,32,-0.20000005,-0.20400006,-0.20400006,1.0808413,0.08301541,0.0,0.0,0.0040000007,0.20000005,0.20400006,-28.585974,26.000002,2.3778982,0.79263276,0.136,0.0,125,0.20717853,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,3,0.0,2,32,-0.20400006,-0.20808005,-0.20808005,1.0188423,0.09575418,0.0,0.0,0.004080001,0.20400006,0.20808005,-26.917683,26.000002,2.241498,0.74716604,0.128,0.0,125,0.15892792,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,4,0.0,2,32,-0.20808005,-0.21224165,-0.21224165,1.04248,0.09068177,0.0,0.0,0.004161601,0.20808005,0.21224165,-27.546251,26.000002,2.2935019,0.7645006,0.2,0.0,125,0.17366011,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,5,0.0,2,32,-0.21224165,-0.21648648,-0.21648648,1.0803062,0.08311776,0.0,0.0,0.004244833,0.21224165,0.21648648,-27.465816,26.000002,2.3767211,0.7922404,0.104,0.0,125,0.15513873,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,6,0.0,2,32,-0.21648648,-0.22081621,-0.22081621,0.9663782,0.10804927,0.0,0.0,0.0043297294,0.21648648,0.22081621,-25.699493,26.000002,2.1260746,0.70869154,0.18400002,0.0,125,0.12620369,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,7,0.0,2,32,-0.22081621,-0.22523254,-0.22523254,1.0195003,0.09560922,0.0,0.0,0.004416324,0.22081621,0.22523254,-27.19468,26.000002,2.2429454,0.7476485,0.216,0.0,125,0.18958738,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,8,0.0,2,32,-0.22523254,-0.22973719,-0.22973719,1.0363623,0.09196819,0.0,0.0,0.004504651,0.22523254,0.22973719,-27.572403,26.000002,2.2800426,0.76001424,0.192,0.0,125,0.1601344,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,9,0.0,2,32,-0.22973719,-0.23433194,-0.23433194,0.9713915,0.10680917,0.0,0.0,0.0045947437,0.22973719,0.23433194,-26.050686,26.000002,2.137104,0.712368,0.23200001,0.008,125,0.15309311,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,10,0.0,2,32,-0.23433194,-0.23901857,-0.23901857,1.0028931,0.09933604,0.0,0.0,0.0046866387,0.23433194,0.23901857,-26.7792,26.000002,2.2064087,0.7354696,0.15200001,0.0,125,0.16143827,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,11,0.0,2,32,-0.23901857,-0.24379894,-0.24379894,1.01273,0.09711135,0.0,0.0,0.004780371,0.23901857,0.24379894,-27.84369,26.000002,2.2280505,0.74268353,0.17600001,0.0,125,0.14501707,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,12,0.0,2,32,-0.24379894,-0.24867491,-0.24867491,1.0241145,0.094598755,0.0,0.0,0.004875979,0.24379894,0.24867491,-27.126318,26.000002,2.2530968,0.7510323,0.17600001,0.0,125,0.1531512,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,13,0.0,2,32,-0.24867491,-0.2536484,-0.2536484,0.9531702,0.111385785,0.0,0.0,0.004973498,0.24867491,0.2536484,-26.153889,26.0,2.0970163,0.6990055,0.26,0.0,100,0.14233007,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,14,0.0,2,32,-0.2536484,-0.25872138,-0.25872138,1.0384862,0.09151953,0.0,0.0,0.005072968,0.2536484,0.25872138,-27.758224,26.000002,2.2847154,0.7615718,0.112,0.0,125,0.1724261,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,15,0.0,2,32,-0.25872138,-0.2638958,-0.2638958,1.0434974,0.09046958,0.0,0.0,0.0051744273,0.25872138,0.2638958,-27.178844,26.000002,2.2957401,0.76524675,0.16800001,0.0,125,0.14541893,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,16,0.0,2,32,-0.2638958,-0.2691737,-0.2691737,1.0171568,0.09612651,0.0,0.0,0.005277916,0.2638958,0.2691737,-26.844112,26.000002,2.2377896,0.7459299,0.14400001,0.0,125,0.14845502,,,,,,,,,0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,60,17,0.0,2,32,-0.2691737,-0.27455717,-0.27455717,1.0210685,0.09526459,0.0,0.0,0.0053834743,0.2691737,0.27455717,-27.211664,26.000002,2.2463953,0.7487985,0.16000001,0.0,125,0.16348144,,,,,,,,,0
