condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,30,13.582038828000805,none,0.0,0.6,0.02,400000,100.0,-24.588857650756836,26.0,0.0,0.0,0.6535825133323669,0.6486453413963318,0.22999998927116394,0.22999998927116394,0.9632189869880676,0.9571285843849182,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.15564464032649994,-26.064104080200195,0.5399344573915678,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,31,1.0992696050016093,none,0.0,0.6,0.02,400000,100.0,-26.557138442993164,26.0,0.0,0.0,0.6515413522720337,0.6428648233413696,0.20999999344348907,0.23999999463558197,0.9607835412025452,0.9474995732307434,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16293643414974213,-28.399309158325195,0.1415589031028654,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,32,1.1407717450001655,none,0.0,0.6,0.02,400000,100.0,-24.09581184387207,26.0,0.009999999776482582,0.009999999776482582,0.5186506509780884,0.5121540427207947,0.38999998569488525,0.4599999785423279,0.7802143096923828,0.7728762626647949,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.13857401907444,-27.58911895751953,0.639725806970442,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,33,1.1747716139998374,none,0.0,0.6,0.02,400000,100.0,-24.705678939819336,26.0,0.009999999776482582,0.0,0.542161762714386,0.5470459461212158,0.3999999761581421,0.3400000035762787,0.7982256412506104,0.7975970506668091,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.13999949395656586,-26.86710548400879,0.5162900942668748,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,34,1.0967913269996643,none,0.0,0.6,0.02,400000,100.0,-25.2820987701416,26.0,0.0,0.0,0.6086111664772034,0.6066474318504333,0.2199999988079071,0.25,0.8766489028930664,0.8589202761650085,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1622292548418045,-26.68429183959961,0.3996240320295205,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,35,1.1779224040001282,none,0.0,0.6,0.02,400000,100.0,-24.71525764465332,26.0,0.0,0.0,0.6100496649742126,0.6018301248550415,0.28999999165534973,0.28999999165534973,0.9030531048774719,0.8852133750915527,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1302562803030014,-26.24041748046875,0.514351386201106,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,36,1.1858316870002454,none,0.0,0.6,0.02,400000,100.0,-24.668081283569336,26.0,0.009999999776482582,0.0,0.6166456341743469,0.6178869009017944,0.20999999344348907,0.17999999225139618,0.8704136610031128,0.8704322576522827,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16680003702640533,-27.395063400268555,0.5238997743529828,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,37,1.2013407199992798,none,0.0,0.6,0.02,400000,100.0,-25.320045471191406,26.0,0.0,0.0,0.5823279023170471,0.5765159130096436,0.429999977350235,0.3999999761581421,0.8472254872322083,0.84168541431427,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.18565306067466736,-27.01063346862793,0.39194370607004814,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,38,1.1847750690012617,none,0.0,0.6,0.02,400000,100.0,-22.378158569335938,26.0,0.0,0.0,0.5482815504074097,0.5567255020141602,0.22999998927116394,0.23999999463558197,0.772777259349823,0.7838699221611023,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.15437622368335724,-27.81365203857422,0.9873749218823846,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,39,1.0976278830003139,none,0.0,0.6,0.02,400000,100.0,-23.465044021606445,26.0,0.0,0.0,0.5918086767196655,0.5910302996635437,0.25999999046325684,0.28999999165534973,0.8514672517776489,0.8480772972106934,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1313825100660324,-27.24418067932129,0.7673917791293448,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,40,1.1009774260000995,none,0.0,0.6,0.02,400000,100.0,-24.978107452392578,26.0,0.0,0.0,0.6291801929473877,0.6233595609664917,0.23999999463558197,0.22999998927116394,0.9102648496627808,0.9054856896400452,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.14463761448860168,-27.226696014404297,0.46115118312752285,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,41,1.1262470210003812,none,0.0,0.6,0.02,400000,100.0,-25.256864547729492,26.0,0.0,0.0,0.6047202348709106,0.601185142993927,0.2800000011920929,0.25,0.874314546585083,0.8709734678268433,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.17331711947917938,-28.43836784362793,0.40473138123504054,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,42,1.1997910400004912,none,0.0,0.6,0.02,400000,100.0,-23.045673370361328,26.0,0.0,0.009999999776482582,0.5197094678878784,0.5142934322357178,0.4099999964237213,0.429999977350235,0.7838593125343323,0.7831851243972778,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.17447885870933533,-28.297183990478516,0.8522714448260104,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,43,1.2006897829996888,none,0.0,0.6,0.02,400000,100.0,-29.570478439331055,26.0,0.0,0.0,0.9104735851287842,0.903243899345398,0.07999999821186066,0.07000000029802322,1.3168712854385376,1.3107349872589111,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.18912000954151154,-27.59990882873535,-0.46833425646889587,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,44,1.111541625999962,none,0.0,0.6,0.02,400000,100.0,-24.01325225830078,26.0,0.0,0.0,0.5445380806922913,0.544843316078186,0.28999999165534973,0.25,0.793015718460083,0.796063244342804,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.16782072186470032,-26.88718032836914,0.6564356792577385,1.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,45,1.1502033939996181,none,0.0,0.6,0.02,400000,100.0,-25.580751419067383,26.0,0.0,0.0,0.6449329853057861,0.6410180330276489,0.26999998092651367,0.28999999165534973,0.9506986737251282,0.9506434202194214,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.1512395143508911,-26.449209213256836,0.3391774153552711,0.0
rescue_short_anchor__borrow__t400k__a0p00__c0p60,rescue_short,borrow,short,0.0,0.6,46,1.1716696219991718,none,0.0,0.6,0.02,400000,100.0,-25.457014083862305,26.0,0.0,0.0,0.6526607275009155,0.6442385315895081,0.23999999463558197,0.14999999105930328,0.9526675343513489,0.9448730945587158,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,-0.6000000238418579,0.0,1.2102328538894653,0.6000000238418579,0.14269256591796875,-26.80702018737793,0.3642215704844399,0.0
