update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_raw_mean,energy_E_raw_median,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_min,energy_E_raw_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,support_s_mean,support_s_median,support_s_q25,support_s_q75,support_s_min,support_s_max,debt_charge_mean,debt_charge_median,debt_charge_q25,debt_charge_q75,debt_charge_min,debt_charge_max,debt_level_pre_mean,debt_level_pre_median,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_min,debt_level_pre_max,debt_level_post_mean,debt_level_post_median,debt_level_post_q25,debt_level_post_q75,debt_level_post_min,debt_level_post_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max,eval_return_end_mean_cp_mean,eval_return_end_mean_cp_median,eval_return_end_mean_cp_q25,eval_return_end_mean_cp_q75,eval_return_end_mean_cp_min,eval_return_end_mean_cp_max,eval_csr_cp_mean,eval_csr_cp_median,eval_csr_cp_q25,eval_csr_cp_q75,eval_csr_cp_min,eval_csr_cp_max,eval_dbar_end_cp_mean,eval_dbar_end_cp_median,eval_dbar_end_cp_q25,eval_dbar_end_cp_q75,eval_dbar_end_cp_min,eval_dbar_end_cp_max,eval_checkpoint_flag_mean,eval_checkpoint_flag_median,eval_checkpoint_flag_q25,eval_checkpoint_flag_q75,eval_checkpoint_flag_min,eval_checkpoint_flag_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.39999998,0.39999998,0.3999999761581421,0.3999999761581421,0.39999998,0.39999998,0.39999998,0.39999998,0.3999999761581421,0.3999999761581421,0.39999998,0.39999998,1.0447404,1.0389724,1.019595742225647,1.0671032071113586,0.9784316,1.1350667,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.536686,-27.520226,-28.134815216064453,-26.98329782485962,-28.931879,-26.322607,26.0,26.0,26.0,26.0,26.0,26.0,2.2984748,2.2857847,2.2431554794311523,2.3476739525794983,2.1525924,2.4971967,0.7661583,0.7619283,0.7477184981107712,0.7825580090284348,0.71753085,0.8323989,0.1528125,0.155,0.13749999925494194,0.17000000178813934,0.07,0.22,0.0003125,0.0,0.0,0.0,0.0,0.01,100.0,100.0,100.0,100.0,100,100,0.16019984,0.15729368,0.14264825358986855,0.17653607577085495,0.12611115,0.21411662,-0.00062344386,-0.0005861651,-0.000693605121341534,-0.0005102295253891498,-0.0010959309,-0.00039915967,54.970543,54.51586,52.835710525512695,57.48189163208008,50.188774,60.54487,1.6093216,1.6093243,1.6093030273914337,1.6093438565731049,1.6092222,1.6093736,27.468555,27.241207,26.401345252990723,28.72396993637085,25.077732,30.255863,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.39999998,0.39999998,0.3999999761581421,0.3999999761581421,0.39999998,0.39999998,-0.20000005,-0.20000005,-0.20000004768371582,-0.20000004768371582,-0.20000005,-0.20000005,-0.20000005,-0.20000005,-0.20000004768371582,-0.20000004768371582,-0.20000005,-0.20000005,1.0326464,1.0337217,1.017987310886383,1.0498546361923218,0.9528673,1.1076319,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000005,0.20000005,0.20000004768371582,0.20000004768371582,0.20000005,0.20000005,-27.370176,-27.4151,-27.99587631225586,-27.04631996154785,-28.46121,-25.809076,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2718675,2.2742329,2.239616811275482,2.309726297855377,2.09635,2.4368389,0.7572892,0.7580777,0.7465389370918274,0.7699088007211685,0.69878334,0.81227964,0.1595,0.164,0.1420000083744526,0.18400001525878906,0.072000004,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1601295,0.15757054,0.14520731195807457,0.17407873272895813,0.1316319,0.20499255,-0.00041875715,-0.00043278653,-0.0004983499966328964,-0.00030776583298575133,-0.0006715177,-0.00022872115,52.03315,52.07856,50.02751922607422,53.82418346405029,45.228527,60.258156,1.6088091,1.608839,1.6087121665477753,1.6089083552360535,1.6082962,1.6090896,26.000069,26.022743,24.99711513519287,26.895427227020264,22.597736,30.112576,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.20000005,-0.20000005,-0.20000004768371582,-0.20000004768371582,-0.20000005,-0.20000005,-0.20400006,-0.20400006,-0.2040000557899475,-0.2040000557899475,-0.20400006,-0.20400006,-0.20400006,-0.20400006,-0.2040000557899475,-0.2040000557899475,-0.20400006,-0.20400006,1.0219485,1.0204655,0.9943015277385712,1.0368200242519379,0.94603413,1.1238964,0.09546379,0.09540559,0.09187165088951588,0.1013207919895649,0.075180225,0.113231115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040000007,0.0040000007,0.0040000006556510925,0.0040000006556510925,0.0040000007,0.0040000007,0.20000005,0.20000005,0.20000004768371582,0.20000004768371582,0.20000005,0.20000005,0.20400006,0.20400006,0.2040000557899475,0.2040000557899475,0.20400006,0.20400006,-27.18799,-27.18405,-27.85194492340088,-26.497098445892334,-29.153122,-25.301771,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2483315,2.245069,2.1875070333480835,2.2810495495796204,2.0813167,2.4726214,0.7494439,0.74835634,0.7291690409183502,0.7603498697280884,0.69377226,0.8242072,0.15925,0.16800001,0.13600000739097595,0.18400001525878906,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15737079,0.16052619,0.14283650740981102,0.17241457104682922,0.11960211,0.20717853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.20400006,-0.20400006,-0.2040000557899475,-0.2040000557899475,-0.20400006,-0.20400006,-0.20808005,-0.20808005,-0.20808005332946777,-0.20808005332946777,-0.20808005,-0.20808005,-0.20808005,-0.20808005,-0.20808005332946777,-0.20808005332946777,-0.20808005,-0.20808005,1.0148927,1.0155587,0.9802504926919937,1.05056893825531,0.9477551,1.091761,0.097012185,0.096481934,0.08900841325521469,0.10465305112302303,0.08095413,0.11278333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004080001,0.004080001,0.004080000799149275,0.004080000799149275,0.004080001,0.004080001,0.20400006,0.20400006,0.2040000557899475,0.2040000557899475,0.20400006,0.20400006,0.20808005,0.20808005,0.20808005332946777,0.20808005332946777,0.20808005,0.20808005,-27.26283,-27.318493,-27.876425743103027,-26.903286457061768,-29.080568,-25.643568,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2328086,2.2342734,2.1565940976142883,2.31129789352417,2.0851028,2.4019222,0.7442695,0.7447579,0.7188647240400314,0.7704326659440994,0.69503427,0.80064076,0.15975001,0.16000001,0.14000000804662704,0.17600001394748688,0.080000006,0.24000001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15155093,0.15328072,0.13887688890099525,0.16115980967879295,0.116249256,0.18806379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.20808005,-0.20808005,-0.20808005332946777,-0.20808005332946777,-0.20808005,-0.20808005,-0.21224165,-0.21224165,-0.21224164962768555,-0.21224164962768555,-0.21224165,-0.21224165,-0.21224165,-0.21224165,-0.21224164962768555,-0.21224164962768555,-0.21224165,-0.21224165,1.0080519,1.0040251,0.9846613109111786,1.0378699600696564,0.91406137,1.092697,0.098588735,0.099077925,0.0916496142745018,0.10359918884932995,0.080779836,0.12188172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004161601,0.004161601,0.0041616009548306465,0.0041616009548306465,0.004161601,0.004161601,0.20808005,0.20808005,0.20808005332946777,0.20808005332946777,0.20808005,0.20808005,0.21224165,0.21224165,0.21224164962768555,0.21224164962768555,0.21224165,0.21224165,-26.98713,-26.94817,-27.619332790374756,-26.382678985595703,-28.549606,-25.434715,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2177584,2.2088995,2.1662981510162354,2.2833595275878906,2.0109751,2.4039814,0.73925287,0.7362998,0.7220994234085083,0.7611198425292969,0.67032504,0.80132717,0.1665,0.16000001,0.14400000870227814,0.1940000019967556,0.096,0.24800001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.14975473,0.14809619,0.13690336793661118,0.15849781036376953,0.1220765,0.1827943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.21224165,-0.21224165,-0.21224164962768555,-0.21224164962768555,-0.21224165,-0.21224165,-0.21648648,-0.21648648,-0.21648648381233215,-0.21648648381233215,-0.21648648,-0.21648648,-0.21648648,-0.21648648,-0.21648648381233215,-0.21648648381233215,-0.21648648,-0.21648648,1.0211359,1.0202758,1.006208598613739,1.0319980084896088,0.9513551,1.0934236,0.09547757,0.095439166,0.09289753064513206,0.09858345612883568,0.08064481,0.111852296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004244833,0.004244833,0.0042448327876627445,0.0042448327876627445,0.004244833,0.004244833,0.21224165,0.21224165,0.21224164962768555,0.21224164962768555,0.21224165,0.21224165,0.21648648,0.21648648,0.21648648381233215,0.21648648381233215,0.21648648,0.21648648,-27.187025,-27.17595,-27.559626579284668,-26.9945969581604,-28.37654,-25.082329,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2465441,2.2446513,2.213703155517578,2.2704408764839172,2.093023,2.40558,0.748848,0.74821717,0.7379010766744614,0.7568136304616928,0.6976744,0.80186003,0.15475,0.16000001,0.1420000083744526,0.17800001427531242,0.040000003,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15531054,0.15131478,0.14344745501875877,0.1626841276884079,0.12662676,0.19195002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.21648648,-0.21648648,-0.21648648381233215,-0.21648648381233215,-0.21648648,-0.21648648,-0.22081621,-0.22081621,-0.2208162099123001,-0.2208162099123001,-0.22081621,-0.22081621,-0.22081621,-0.22081621,-0.2208162099123001,-0.2208162099123001,-0.22081621,-0.22081621,1.01227,1.0118263,0.9918155372142792,1.033283680677414,0.96309525,1.0856813,0.09742453,0.09731532,0.09262258559465408,0.10190242156386375,0.08209537,0.10886914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043297294,0.0043297294,0.004329729359596968,0.004329729359596968,0.0043297294,0.0043297294,0.21648648,0.21648648,0.21648648381233215,0.21648648381233215,0.21648648,0.21648648,0.22081621,0.22081621,0.2208162099123001,0.2208162099123001,0.22081621,0.22081621,-27.00804,-27.121555,-27.29188060760498,-26.57440948486328,-28.248713,-25.699493,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2270384,2.2260623,2.1820377111434937,2.273269474506378,2.118852,2.3885465,0.74234617,0.7420207,0.7273459285497665,0.7577565312385559,0.706284,0.79618216,0.16175,0.164,0.14400000870227814,0.18400001525878906,0.112,0.216,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.14795882,0.14746952,0.1346021108329296,0.1601087972521782,0.12620369,0.18646313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.22081621,-0.22081621,-0.2208162099123001,-0.2208162099123001,-0.22081621,-0.22081621,-0.22523254,-0.22523254,-0.2252325415611267,-0.2252325415611267,-0.22523254,-0.22523254,-0.22523254,-0.22523254,-0.2252325415611267,-0.2252325415611267,-0.22523254,-0.22523254,1.0072061,1.0084283,0.9854105412960052,1.0307772159576416,0.92230713,1.0939893,0.09869247,0.09807801,0.0931620430201292,0.10341641493141651,0.08053984,0.119589455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004416324,0.004416324,0.004416324198246002,0.004416324198246002,0.004416324,0.004416324,0.22081621,0.22081621,0.2208162099123001,0.2208162099123001,0.22081621,0.22081621,0.22523254,0.22523254,0.2252325415611267,0.2252325415611267,0.22523254,0.22523254,-26.90677,-26.953018,-27.46015739440918,-26.640000820159912,-27.882511,-24.893196,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2158976,2.218587,2.167946457862854,2.2677552103996277,2.0291162,2.4068244,0.7386325,0.73952895,0.7226488590240479,0.75591841340065,0.67637205,0.8022748,0.16025001,0.15200001,0.13600000739097595,0.18400001525878906,0.112,0.224,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15270583,0.15058698,0.13716542348265648,0.16608769819140434,0.11341937,0.19030388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.22523254,-0.22523254,-0.2252325415611267,-0.2252325415611267,-0.22523254,-0.22523254,-0.22973719,-0.22973719,-0.22973719239234924,-0.22973719239234924,-0.22973719,-0.22973719,-0.22973719,-0.22973719,-0.22973719239234924,-0.22973719239234924,-0.22973719,-0.22973719,1.0120943,1.0166054,0.9968216568231583,1.0273459553718567,0.9410549,1.0741032,0.09747775,0.096248865,0.09389846213161945,0.10073753073811531,0.08431343,0.11453682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004504651,0.004504651,0.004504650831222534,0.004504650831222534,0.004504651,0.004504651,0.22523254,0.22523254,0.2252325415611267,0.2252325415611267,0.22523254,0.22523254,0.22973719,0.22973719,0.22973719239234924,0.22973719239234924,0.22973719,0.22973719,-27.08771,-27.14404,-27.58599090576172,-26.616162300109863,-28.597866,-25.444704,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.226652,2.2365766,2.1930514574050903,2.2602062225341797,2.070362,2.3630743,0.7422173,0.74552554,0.7310171872377396,0.7534020990133286,0.6901207,0.7876915,0.16900001,0.17600001,0.14400000870227814,0.19200000166893005,0.096,0.224,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15376438,0.1490929,0.14038344845175743,0.1646551750600338,0.124105126,0.20339835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,-0.22973719,-0.22973719,-0.22973719239234924,-0.22973719239234924,-0.22973719,-0.22973719,-0.23433194,-0.23433194,-0.23433193564414978,-0.23433193564414978,-0.23433194,-0.23433194,-0.23433194,-0.23433194,-0.23433193564414978,-0.23433193564414978,-0.23433194,-0.23433194,1.0062497,1.0041299,0.9780405908823013,1.0304247438907623,0.9546423,1.0676285,0.09886056,0.09905417,0.09323875792324543,0.10518682561814785,0.085579835,0.11100887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045947437,0.0045947437,0.004594743717461824,0.004594743717461824,0.0045947437,0.0045947437,0.22973719,0.22973719,0.22973719239234924,0.22973719239234924,0.22973719,0.22973719,0.23433194,0.23433194,0.23433193564414978,0.23433193564414978,0.23433194,0.23433194,-27.061378,-27.05899,-27.540305137634277,-26.70551347732544,-28.668804,-25.302708,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2137935,2.2091298,2.1517322063446045,2.2669796347618103,2.100255,2.3488295,0.7379312,0.7363766,0.7172440886497498,0.7556599080562592,0.70008504,0.7829432,0.16450001,0.164,0.14400000870227814,0.1860000118613243,0.08800001,0.23200001,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15528749,0.14844288,0.1441815197467804,0.16409309208393097,0.11279071,0.2080412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
