condition,phase,family,metric_horizon,alpha,c_upd,seed,update,update_u,update_counter,opt_step,energy_E_pre,energy_E_raw,energy_E_post,funding_z,funding_g,funding_income,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,episode_len_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,terminal_done_count_end,vartd_VarTD,actor_loss,critic_loss,entropy,total_loss,ratio0,eval_return_end_mean_cp,eval_csr_cp,eval_dbar_end_cp,eval_checkpoint_flag
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,0,1.0,1,16,1.0,0.45,0.45,1.0384048,0.09153668,0.05,0.05,0.0,0.0,0.0,-27.009108,26.0,2.2845361,0.76151204,0.14,0.0,100,0.1360506,-0.0005367753,53.558342,1.6093556,26.762543,1.0,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,1,0.0,1,16,0.45,0.5,0.5,1.0130329,0.097043626,0.05,0.05,0.0,0.0,0.0,-27.20836,26.000002,2.2287169,0.7429056,0.18400002,0.0,125,0.14540449,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,2,0.0,1,16,0.5,0.55,0.55,1.0256903,0.094256155,0.05,0.05,0.0,0.0,0.0,-27.97767,26.000002,2.2565637,0.7521879,0.17600001,0.0,125,0.1601904,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,3,0.0,1,16,0.55,0.6,0.6,1.0190952,0.09569844,0.05,0.05,0.0,0.0,0.0,-27.111416,26.000002,2.2420542,0.7473514,0.14400001,0.0,125,0.13702832,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,4,1.0,2,32,0.6,0.05,0.05,1.0324534,0.092799686,0.05,0.05,0.0,0.0,0.0,-26.730387,26.000002,2.271443,0.75714767,0.104,0.0,125,0.14613195,-0.00036220148,48.321632,1.6089941,24.144363,1.0,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,5,0.0,2,32,0.05,0.1,0.1,1.0185204,0.09582517,0.05,0.05,0.0,0.0,0.0,-27.400345,26.000002,2.2407897,0.7469299,0.192,0.0,125,0.16534561,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,6,0.0,2,32,0.1,0.15,0.15,1.0177885,0.09598678,0.05,0.05,0.0,0.0,0.0,-27.025114,26.000002,2.2391794,0.74639314,0.15200001,0.0,125,0.15170711,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,7,0.0,2,32,0.15,0.2,0.2,1.0106732,0.09757236,0.05,0.05,0.0,0.0,0.0,-26.631529,26.000002,2.2235253,0.7411751,0.16800001,0.0,125,0.1467068,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,8,0.0,2,32,0.2,0.25,0.25,1.0425456,0.09066808,0.05,0.05,0.0,0.0,0.0,-26.561914,26.000002,2.293646,0.7645487,0.136,0.0,125,0.16209465,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,9,0.0,2,32,0.25,0.3,0.3,0.9749935,0.10592695,0.05,0.05,0.0,0.0,0.0,-26.140053,26.000002,2.1450286,0.71500957,0.18400002,0.0,125,0.15298744,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,10,0.0,2,32,0.3,0.35000002,0.35000002,1.043556,0.090457395,0.05,0.05,0.0,0.0,0.0,-27.48131,26.000002,2.2958689,0.76528966,0.16000001,0.0,125,0.15718664,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,11,0.0,2,32,0.35000002,0.40000004,0.40000004,1.001594,0.09963365,0.05,0.05,0.0,0.0,0.0,-26.25188,26.000002,2.2035506,0.73451686,0.14400001,0.0,125,0.15133946,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,12,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0206069,0.0953659,0.0,0.0,0.0,0.0,0.0,-27.523893,26.000002,2.24538,0.74846,0.128,0.0,125,0.16528486,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,13,0.0,2,32,0.40000004,0.40000004,0.40000004,0.9524192,0.11157857,0.0,0.0,0.0,0.0,0.0,-26.111599,26.0,2.095364,0.69845474,0.13,0.0,100,0.14641003,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,14,0.0,2,32,0.40000004,0.40000004,0.40000004,1.0333661,0.09260489,0.0,0.0,0.0,0.0,0.0,-28.2969,26.000002,2.2734509,0.757817,0.104,0.0,125,0.14508756,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,15,0.0,2,32,0.40000004,0.40000004,0.40000004,0.95622015,0.110606275,0.0,0.0,0.0,0.0,0.0,-25.820127,26.000002,2.1037264,0.70124215,0.208,0.0,125,0.13744515,,,,,,,,,0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,40,16,0.0,2,32,0.40000004,0.40000004,0.40000004,1.018861,0.095750034,0.0,0.0,0.0,0.0,0.0,-27.353634,26.000002,2.241539,0.7471797,0.16000001,0.0,125,0.16180395,,,,,,,,,0
