condition,phase,family,metric_horizon,alpha,c_upd,seed,runtime_sec,support_mode,support_total,borrow_limit,borrow_interest,total_timesteps,eval_done_count,eval_return_end_mean,eval_len_end_mean,eval_CSR_post,eval_CSR_pre,eval_dbar_post_mean,eval_dbar_pre_mean,eval_occupied_post_mean,eval_occupied_pre_mean,eval_max_tilde_post_mean,eval_max_tilde_pre_mean,eval_episodes_per_env,eval_t_eval,eval_done_per_env_min,eval_done_per_env_max,mean_update_fraction,final_executed_updates,final_energy,total_support_injected,total_debt_charge,max_debt_level,final_vartd,train_final_return_end_mean,I_R_short,learned_R_short_0p5
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,30,13.591631395998775,frontload,0.6,0.0,0.0,400000,100.0,-23.453027725219727,26.0,0.009999999776482582,0.0,0.560329794883728,0.5654668211936951,0.3799999952316284,0.3100000023841858,0.8403877019882202,0.8377705812454224,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1511380821466446,-26.143239974975586,0.7698238501795923,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,31,1.0980538799994974,frontload,0.6,0.0,0.0,400000,100.0,-26.425960540771484,26.0,0.0,0.0,0.6736255884170532,0.6637890338897705,0.17000000178813934,0.25,0.9843806028366089,0.977250337600708,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.16023170948028564,-28.314130783081055,0.16810901206806853,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,32,1.2027674320015649,frontload,0.6,0.0,0.0,400000,100.0,-23.45677375793457,26.0,0.0,0.0,0.5017951726913452,0.5048917531967163,0.4099999964237213,0.3499999940395355,0.7449019551277161,0.7447630763053894,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.14095740020275116,-27.583032608032227,0.7690656616807533,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,33,1.1684428090011352,frontload,0.6,0.0,0.0,400000,100.0,-23.1677188873291,26.0,0.009999999776482582,0.009999999776482582,0.523676872253418,0.519386887550354,0.3799999952316284,0.4699999988079071,0.7784909605979919,0.7801038026809692,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.14348401129245758,-26.865230560302734,0.8275697098589954,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,34,1.1793140820009285,frontload,0.6,0.0,0.0,400000,100.0,-25.08985710144043,26.0,0.0,0.0,0.629287838935852,0.6313638687133789,0.2199999988079071,0.17000000178813934,0.9301730990409851,0.9269992113113403,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1659707874059677,-26.86243438720703,0.4385333084032439,0.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,35,1.095644369999718,frontload,0.6,0.0,0.0,400000,100.0,-24.32486343383789,26.0,0.019999999552965164,0.009999999776482582,0.5175427198410034,0.512517511844635,0.44999998807907104,0.4399999976158142,0.7551780343055725,0.74478679895401,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.12790155410766602,-26.11797332763672,0.5933662862794602,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,36,1.0689064289999806,frontload,0.6,0.0,0.0,400000,100.0,-24.583011627197266,26.0,0.0,0.0,0.6024848222732544,0.6053524017333984,0.22999998927116394,0.2800000011920929,0.8468653559684753,0.860214352607727,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.16482268273830414,-27.388965606689453,0.5411176792596645,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,37,1.1439971809995768,frontload,0.6,0.0,0.0,400000,100.0,-24.6083984375,26.0,0.0,0.0,0.604286789894104,0.5968612432479858,0.25999999046325684,0.26999998092651367,0.8592240214347839,0.8515171408653259,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.1804819107055664,-26.927005767822266,0.5359794466122365,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,38,1.0624483459996554,frontload,0.6,0.0,0.0,400000,100.0,-23.78999137878418,26.0,0.0,0.0,0.6272448301315308,0.6236757040023804,0.3100000023841858,0.3199999928474426,0.9037194848060608,0.9009978771209717,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.15065130591392517,-27.70481300354004,0.7016231733283154,1.0
rescue_short_anchor__support__t400k__a0p00__c0p60,rescue_short,support,short,0.0,0.6,39,1.1436248360005266,frontload,0.6,0.0,0.0,400000,100.0,-25.58418083190918,26.0,0.0,0.0,0.7188878059387207,0.7057301998138428,0.20999999344348907,0.23999999463558197,1.0481960773468018,1.0364559888839722,4.0,104.0,4.0,4.0,0.01600000075995922,2.0,0.40000003576278687,0.6000000238418579,0.0,0.0,0.13623131811618805,-27.485607147216797,0.3384833099983909,0.0
