update,update_u_mean,update_u_median,update_u_q25,update_u_q75,update_u_min,update_u_max,update_counter_mean,update_counter_median,update_counter_q25,update_counter_q75,update_counter_min,update_counter_max,opt_step_mean,opt_step_median,opt_step_q25,opt_step_q75,opt_step_min,opt_step_max,energy_E_pre_mean,energy_E_pre_median,energy_E_pre_q25,energy_E_pre_q75,energy_E_pre_min,energy_E_pre_max,energy_E_raw_mean,energy_E_raw_median,energy_E_raw_q25,energy_E_raw_q75,energy_E_raw_min,energy_E_raw_max,energy_E_post_mean,energy_E_post_median,energy_E_post_q25,energy_E_post_q75,energy_E_post_min,energy_E_post_max,funding_z_mean,funding_z_median,funding_z_q25,funding_z_q75,funding_z_min,funding_z_max,funding_g_mean,funding_g_median,funding_g_q25,funding_g_q75,funding_g_min,funding_g_max,funding_income_mean,funding_income_median,funding_income_q25,funding_income_q75,funding_income_min,funding_income_max,support_s_mean,support_s_median,support_s_q25,support_s_q75,support_s_min,support_s_max,debt_charge_mean,debt_charge_median,debt_charge_q25,debt_charge_q75,debt_charge_min,debt_charge_max,debt_level_pre_mean,debt_level_pre_median,debt_level_pre_q25,debt_level_pre_q75,debt_level_pre_min,debt_level_pre_max,debt_level_post_mean,debt_level_post_median,debt_level_post_q25,debt_level_post_q75,debt_level_post_min,debt_level_post_max,episode_return_end_mean_mean,episode_return_end_mean_median,episode_return_end_mean_q25,episode_return_end_mean_q75,episode_return_end_mean_min,episode_return_end_mean_max,episode_len_end_mean_mean,episode_len_end_mean_median,episode_len_end_mean_q25,episode_len_end_mean_q75,episode_len_end_mean_min,episode_len_end_mean_max,terminal_min_dists_end_mean_mean,terminal_min_dists_end_mean_median,terminal_min_dists_end_mean_q25,terminal_min_dists_end_mean_q75,terminal_min_dists_end_mean_min,terminal_min_dists_end_mean_max,terminal_dbar_end_mean,terminal_dbar_end_median,terminal_dbar_end_q25,terminal_dbar_end_q75,terminal_dbar_end_min,terminal_dbar_end_max,terminal_occupied_end_mean_mean,terminal_occupied_end_mean_median,terminal_occupied_end_mean_q25,terminal_occupied_end_mean_q75,terminal_occupied_end_mean_min,terminal_occupied_end_mean_max,terminal_CSR_train_mean,terminal_CSR_train_median,terminal_CSR_train_q25,terminal_CSR_train_q75,terminal_CSR_train_min,terminal_CSR_train_max,terminal_done_count_end_mean,terminal_done_count_end_median,terminal_done_count_end_q25,terminal_done_count_end_q75,terminal_done_count_end_min,terminal_done_count_end_max,vartd_VarTD_mean,vartd_VarTD_median,vartd_VarTD_q25,vartd_VarTD_q75,vartd_VarTD_min,vartd_VarTD_max,actor_loss_mean,actor_loss_median,actor_loss_q25,actor_loss_q75,actor_loss_min,actor_loss_max,critic_loss_mean,critic_loss_median,critic_loss_q25,critic_loss_q75,critic_loss_min,critic_loss_max,entropy_mean,entropy_median,entropy_q25,entropy_q75,entropy_min,entropy_max,total_loss_mean,total_loss_median,total_loss_q25,total_loss_q75,total_loss_min,total_loss_max,ratio0_mean,ratio0_median,ratio0_q25,ratio0_q75,ratio0_min,ratio0_max,eval_return_end_mean_cp_mean,eval_return_end_mean_cp_median,eval_return_end_mean_cp_q25,eval_return_end_mean_cp_q75,eval_return_end_mean_cp_min,eval_return_end_mean_cp_max,eval_csr_cp_mean,eval_csr_cp_median,eval_csr_cp_q25,eval_csr_cp_q75,eval_csr_cp_min,eval_csr_cp_max,eval_dbar_end_cp_mean,eval_dbar_end_cp_median,eval_dbar_end_cp_q25,eval_dbar_end_cp_q75,eval_dbar_end_cp_min,eval_dbar_end_cp_max,eval_checkpoint_flag_mean,eval_checkpoint_flag_median,eval_checkpoint_flag_q25,eval_checkpoint_flag_q75,eval_checkpoint_flag_min,eval_checkpoint_flag_max
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.44999998807907104,0.44999998807907104,0.45,0.45,0.45,0.45,0.44999998807907104,0.44999998807907104,0.45,0.45,1.0447404,1.0389724,1.019595742225647,1.0671032071113586,0.9784316,1.1350667,0.09046434,0.091417216,0.08568486198782921,0.09558824263513088,0.073271185,0.10509168,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.536686,-27.520226,-28.134815216064453,-26.98329782485962,-28.931879,-26.322607,26.0,26.0,26.0,26.0,26.0,26.0,2.2984748,2.2857847,2.2431554794311523,2.3476739525794983,2.1525924,2.4971967,0.7661583,0.7619283,0.7477184981107712,0.7825580090284348,0.71753085,0.8323989,0.1528125,0.155,0.13749999925494194,0.17000000178813934,0.07,0.22,0.0003125,0.0,0.0,0.0,0.0,0.01,100.0,100.0,100.0,100.0,100,100,0.16019984,0.15729368,0.14264825358986855,0.17653607577085495,0.12611115,0.21411662,-0.00062344386,-0.0005861651,-0.000693605121341534,-0.0005102295253891498,-0.0010959309,-0.00039915967,54.970543,54.51586,52.835710525512695,57.48189163208008,50.188774,60.54487,1.6093216,1.6093243,1.6093030273914337,1.6093438565731049,1.6092222,1.6093736,27.468555,27.241207,26.401345252990723,28.72396993637085,25.077732,30.255863,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.45,0.45,0.44999998807907104,0.44999998807907104,0.45,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0326464,1.0337217,1.017987310886383,1.0498546361923218,0.9528673,1.1076319,0.09304589,0.092529185,0.08915691450238228,0.09594494849443436,0.07804913,0.111463495,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.370176,-27.4151,-27.99587631225586,-27.04631996154785,-28.46121,-25.809076,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2718675,2.2742329,2.239616811275482,2.309726297855377,2.09635,2.4368389,0.7572892,0.7580777,0.7465389370918274,0.7699088007211685,0.69878334,0.81227964,0.1595,0.164,0.1420000083744526,0.18400001525878906,0.072000004,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1601295,0.15757054,0.14520731195807457,0.17407873272895813,0.1316319,0.20499255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.5,0.5,0.5,0.5,0.5,0.5,0.55,0.55,0.550000011920929,0.550000011920929,0.55,0.55,0.55,0.55,0.550000011920929,0.550000011920929,0.55,0.55,1.0403606,1.0343337,1.011101245880127,1.0615804493427277,0.9722444,1.1336937,0.091486074,0.09239912,0.0867819432169199,0.09747659415006638,0.07350321,0.10659962,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.39404,-27.259575,-28.036320686340332,-26.758962631225586,-29.294966,-25.657452,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2888389,2.2755795,2.2244672179222107,2.3355236053466797,2.1389804,2.494176,0.7629463,0.75852656,0.7414890974760056,0.778507873415947,0.7129935,0.831392,0.15325001,0.16000001,0.1340000070631504,0.17800001427531242,0.080000006,0.208,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.16085948,0.1631864,0.14198491722345352,0.17633040994405746,0.120542884,0.20997947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,16.0,16.0,16.0,16.0,16,16,0.55,0.55,0.550000011920929,0.550000011920929,0.55,0.55,0.6,0.6,0.6000000238418579,0.6000000238418579,0.6,0.6,0.6,0.6,0.6000000238418579,0.6000000238418579,0.6,0.6,1.0336359,1.0288181,1.0019554197788239,1.0680645406246185,0.9659999,1.0898831,0.0928766,0.09359191,0.08549623191356659,0.099550761282444,0.08130493,0.10814341,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.50981,-27.594276,-27.99046754837036,-27.023823261260986,-29.322617,-25.936377,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2740445,2.2634451,2.204345941543579,2.3497889041900635,2.1252422,2.3977907,0.7580148,0.75448173,0.7347819805145264,0.7832629829645157,0.7084141,0.7992636,0.14850001,0.14400001,0.1340000070631504,0.16200001165270805,0.080000006,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15575516,0.15653251,0.1428351141512394,0.1638943813741207,0.12311525,0.1917905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.6,0.6,0.6000000238418579,0.6000000238418579,0.6,0.6,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,1.0289799,1.023109,0.9996539354324341,1.0555811822414398,0.93765134,1.1202445,0.09394469,0.0948181,0.08798952959477901,0.10007972829043865,0.07581507,0.115437955,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.266005,-27.204079,-27.935555934906006,-26.62804126739502,-28.973904,-25.679977,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2638009,2.2508845,2.1992825865745544,2.3223248720169067,2.062874,2.4645872,0.75460035,0.7502949,0.7330942004919052,0.7741083204746246,0.6876247,0.8215291,0.15850002,0.15600002,0.1420000083744526,0.17000001296401024,0.08800001,0.23200001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.15410872,0.15352775,0.14036079496145248,0.16245261952280998,0.1277501,0.18829244,-0.00039789316,-0.00036975392,-0.00045053120993543416,-0.0003094813509960659,-0.0009128146,-0.00016151155,48.286015,48.237637,45.99023914337158,50.73652458190918,42.000454,53.352303,1.608815,1.6088359,1.6087084412574768,1.608955830335617,1.6083534,1.6090589,24.126522,24.102406,22.978517055511475,25.351801872253418,20.98376,26.659748,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.1,0.1,0.10000000149011612,0.10000000149011612,0.1,0.1,0.1,0.1,0.10000000149011612,0.10000000149011612,0.1,0.1,1.0230414,1.0199462,1.005434274673462,1.037097305059433,0.9421899,1.0955985,0.0950967,0.09551132,0.09181324392557144,0.09875687770545483,0.08024196,0.11423787,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.19342,-27.205833,-27.516180992126465,-26.989007472991943,-28.36966,-25.38602,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.250736,2.2439265,2.2119996547698975,2.2816596627235413,2.072859,2.4103646,0.75024533,0.7479755,0.7373332381248474,0.7605532556772232,0.690953,0.8034549,0.15400001,0.16000001,0.1340000070631504,0.17600001394748688,0.048,0.23200001,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,125.0,125.0,125,125,0.1559811,0.15389046,0.14532068371772766,0.16406984999775887,0.12063818,0.19467616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.1,0.1,0.10000000149011612,0.10000000149011612,0.1,0.1,0.15,0.15,0.15000000596046448,0.15000000596046448,0.15,0.15,0.15,0.15,0.15000000596046448,0.15000000596046448,0.15,0.15,1.0126903,1.0161607,0.9937783628702164,1.0269009470939636,0.958481,1.0908947,0.09731902,0.09634726,0.09399446286261082,0.10144311748445034,0.08111575,0.11003199,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.024185,-27.096334,-27.368927001953125,-26.60261297225952,-28.339523,-25.595173,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2279632,2.235598,2.1863560676574707,2.259227156639099,2.1087003,2.4000163,0.74265444,0.7451994,0.728785365819931,0.7530757486820221,0.7029001,0.80000544,0.16000001,0.15200001,0.14400000870227814,0.19200000166893005,0.096,0.216,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1485267,0.1479182,0.13555527478456497,0.1582362838089466,0.123808295,0.18691038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.15,0.15,0.15000000596046448,0.15000000596046448,0.15,0.15,0.2,0.2,0.20000000298023224,0.20000000298023224,0.2,0.2,0.2,0.2,0.20000000298023224,0.20000000298023224,0.2,0.2,1.0107074,1.0112045,0.9837864190340042,1.0344144403934479,0.92954916,1.0751753,0.09787434,0.09745313,0.09238161705434322,0.10380388610064983,0.08410555,0.11761177,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.943022,-26.923298,-27.60174560546875,-26.697781562805176,-27.89197,-25.02778,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2236006,2.2246943,2.1643733382225037,2.2757572531700134,2.045049,2.3654327,0.7412002,0.7415648,0.7214577794075012,0.7585857510566711,0.681683,0.7884776,0.15550001,0.148,0.1340000070631504,0.17600001394748688,0.112,0.216,0.0005,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.1530691,0.15103328,0.13867542892694473,0.1665404811501503,0.11018208,0.19397944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.2,0.2,0.20000000298023224,0.20000000298023224,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0133417,1.0153792,0.997031643986702,1.0334435105323792,0.943333,1.0661334,0.09718607,0.09652077,0.0925919096916914,0.10068601369857788,0.085874975,0.113937564,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.10269,-27.170647,-27.57437515258789,-26.567187309265137,-28.421564,-25.428875,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.229396,2.2338789,2.1935133934020996,2.273621141910553,2.0753741,2.3455403,0.74313205,0.7446263,0.7311711609363556,0.7578737139701843,0.6917914,0.78184676,0.16625,0.17600001,0.13600000739097595,0.19200000166893005,0.080000006,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15465769,0.14904913,0.13929146900773048,0.16746611893177032,0.12427333,0.20436221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,2,32.0,32.0,32.0,32.0,32,32,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.30000001192092896,0.30000001192092896,0.3,0.3,0.3,0.3,0.30000001192092896,0.30000001192092896,0.3,0.3,1.0088186,1.0133028,0.9771986752748489,1.0370930433273315,0.94356906,1.0827758,0.098328196,0.096983746,0.09181357361376286,0.10539076291024685,0.08264644,0.11387566,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.05,0.05,0.05000000074505806,0.05000000074505806,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.07391,-27.116316,-27.519038677215576,-26.716333866119385,-28.670704,-25.240576,26.000002,26.000002,26.000001907348633,26.000001907348633,26.000002,26.000002,2.2194452,2.2293105,2.149880051612854,2.2816503047943115,2.0758934,2.3821545,0.7398151,0.74310356,0.7166266888380051,0.7605501115322113,0.6919645,0.7940515,0.16875,0.17200002,0.15200001001358032,0.19200000166893005,0.096,0.24000001,0.00025,0.0,0.0,0.0,0.0,0.008,125.0,125.0,125.0,125.0,125,125,0.15551002,0.15037411,0.14318500459194183,0.1639721654355526,0.1115638,0.20644116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0
